Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Knae	A	0101	Dikhoghai	C327778-6	 	Pi 		713	Va	M6 V M8 V	{ 0 }	(56A-1)	[]	BD	0	0
1201	Knae	A	0101	Dikhoghai	X327000-6	 	Di Pi 		013	Va	M6 V M8 V	{ -3 }	(500+3)	[0000]	BD	0	15
1447	Knae	A	0101	Dikhoghai	X327000-6	 	Di Pi 		013	Wild	M6 V M8 V	{ -3 }	(500-3)	[0000]	BD	0	-15
1508	Knae	A	0101	Dikhoghai	X327000-6	 	Di 		013	Wild	M6 V M8 V	{ -3 }	(500-3)	[0000]	B	0	-15
1900	Knae	A	0101	Dikhoghai	B327336-9	 	Lo 		913	NaVa	M6 V M8 V	{ 0 }	(920-2)	[334D]	B	0	-36

1105	Knae	A	0103	Asgvughz	C200875-5	 	Na Pi Ph Va 		703	Va	F2 V	{ 0 }	(577+1)	[]	BDe	0	0
1201	Knae	A	0103	Asgvughz	X200000-5	 	Di Na Pi Va 		003	Va	F2 V	{ -3 }	(500+5)	[0000]	BD	0	25
1447	Knae	A	0103	Asgvughz	X200000-5	 	Di Na Pi Va 		003	Wild	F2 V	{ -3 }	(500+1)	[0000]	BD	0	5
1508	Knae	A	0103	Asgvughz	X200000-5	 	Di Va 		003	Wild	F2 V	{ -3 }	(500+5)	[0000]	B	0	25
1900	Knae	A	0103	Asgvughz	A200755-A	 	Na Pi Va 		803	NaVa	F2 V	{ 2 }	(865+2)	[695A]	BD	0	480

1105	Knae	A	0104	Zora	B404A78-C	 	Hi Ic Va In 		512	Va	G1 V M6 V	{ 0 }	(697+2)	[]	BE	0	0
1201	Knae	A	0104	Zora	X404000-C	 	Di Ic Va In 		012	Va	G1 V M6 V	{ 0 }	(600-3)	[0000]	BE	0	-18
1447	Knae	A	0104	Zora	X404000-C	 	Di Ic Va In 		012	Wild	G1 V M6 V	{ 0 }	(600-2)	[0000]	BE	0	-12
1508	Knae	A	0104	Zora	X404000-C	 	Di Ic Va 		012	Wild	G1 V M6 V	{ -1 }	(600-1)	[0000]	B	0	-6
1900	Knae	A	0104	Zora	D404775-4	 	Ic Va Pi 		612	NaVa	G1 V M6 V	{ -2 }	(365+2)	[6527]	BD	0	180

1105	Knae	A	0109	Duegingoeudh	A586630-6	 	Ag Ri Ni 		312	Va	F2 V	{ 0 }	(954-4)	[]	BC	0	0
1201	Knae	A	0109	Duegingoeudh	C586652-6	 	Ag Ri Ni 		412	Va	F2 V	{ 0 }	(956-4)	[8656]	BC	0	-1080
1447	Knae	A	0109	Duegingoeudh	C586442-1	 	Ni Pa 		212	Wild	F2 V	{ -2 }	(934+2)	[1251]	Bc	0	216
1508	Knae	A	0109	Duegingoeudh	C586433-2	 	Ni Pa 		312	Wild	F2 V	{ -2 }	(930+3)	[3241]	Bc	0	81
1900	Knae	A	0109	Duegingoeudh	C586455-4	 	Ni Pa 		312	NaVa	F2 V	{ -2 }	(933-5)	[5227]	Bc	0	-405

1105	Knae	E	0111	Anesdokon	C100231-9	 	Lo Va 		702	Va	M0 V M7 V M2 V	{ 0 }	(A10+1)	[]	B	0	0
