Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar
0106	Phecda	C100452-9	Va Ni	{ -1 }	(B32-5)	[4319]	-	-	-	322	11	SoCf	A0 V
0201	Severn	B757476-B	Ga Ni Pa	{ 2 }	(935+2)	[767E]	-	KM	-	131	14	SoCf	G2 V M5 V
0203	Teilhard	B789775-A	Ri	{ 3 }	(36D+0)	[8A4B]	-	-	-	733	17	SoCf	K6 V M5 V
0209	Corinna	B687464-A	Ga Ni Pa Re O:0806 Di (Neozinga)	{ 1 }	(C33-3)	[4579]	-	M	-	203	12	SoCf	G1 V
0301	Azul	E637100-9	Lo	{ -2 }	(D00-5)	[1119]	-	-	-	222	7	SoCf	K6 V
0305	Hyperborea	B5A75AF-9	Fl Ni Fr Fo	{ 0 }	(942+1)	[7585]	-	-	R	301	10	SoCf	M8 V G8 V
0309	Luding	B758799-A	Ag	{ 3 }	(A6C-1)	[3A66]	-	-	-	202	11	SoCf	G8 V
0310	Nereus	A79A6A8-9	Wa Ni Dolp4	{ 1 }	(254+2)	[6768]	-	KM	-	200	9	SoCf	F3 V M3 V
0401	Heimdall	E764973-5	Hi Pr	{ -1 }	(586+1)	[4867]	-	-	-	431	11	SoCf	G5 V
0502	Alpha Trianguli	D200145-8	Va Lo	{ -3 }	(700-1)	[1159]	-	-	-	103	10	SoCf	F6 IV
0504	Amity 3	C753300-A	Lo Po Sa	{ 0 }	(520+5)	[332B]	-	-	-	303	11	SoCf	G9 V
0506	Ob	B410576-C	Ni	{ 1 }	(946+2)	[563G]	-	-	-	501	13	SoCf	M9 V
0606	Merak	C00047C-B	As Va Ni	{ 0 }	(833-1)	[542E]	-	-	-	500	5	SoCf	A1 V
0610	Veloz	B410513-C	Ni	{ 1 }	(945+4)	[769E]	-	-	-	802	11	SoCf	G5 V
0706	Asterope	C201151-A	Ic Va Lo Tz	{ 0 }	(600-3)	[115B]	-	-	-	600	3	SoCf	M6 V M5 V
0707	Daedalus	A668889-9	Ph Pa Ri Dolp1	{ 3 }	(778-4)	[7B39]	-	KM	-	504	13	SoCf	G6 V
0806	Euxene	A783985-E	Hi Pr Cp	{ 4 }	(B89+0)	[7D4D]	-	KM	-	600	7	SoCf	G4 V M1 V
0807	Denali	A745574-D	Ni Ag Tz	{ 3 }	(844+1)	[784B]	-	KM	-	101	7	SoCf	M0 V F7 V
0809	Monterey	A747211-D	Lo Tz	{ 2 }	(D12+0)	[148C]	-	KM	-	122	10	SoCf	M7 V M2 V
0901	Niva	C849144-A	Lo Ho	{ 0 }	(D00+0)	[1159]	-	-	-	101	7	SoCf	M4 V M3 V
1005	Xunjiang	A843246-D	Lo Po Tz	{ 1 }	(D11+0)	[238G]	-	-	-	701	8	SoCf	M7 V
1009	Home	A86699A-E	Ga Hi Pr Cx	{ 5 }	(A89+3)	[DE1E]	-	KM	-	121	11	SoCf	G2 V
1105	Inerria	B646A77-C	Hi In	{ 4 }	(499+4)	[9E1B]	-	-	-	201	11	SoCf	G8 V
1202	Liao	C664ADC-8	Hi Fo	{ 0 }	(E95+2)	[9A9A]	-	-	R	412	10	SoCf	G5 V
1204	Strider	B7A1446-C	He Ni Co	{ 1 }	(835+5)	[155G]	-	K	-	820	7	SoCf	M7 V
1206	Canaan	B6B2202-D	He Lo	{ 2 }	(412+5)	[142E]	-	KM	-	300	8	SoCf	M1 V
1303	Bleak	A831322-E	He Lo Po Tz	{ 1 }	(721+0)	[745G]	-	K	-	131	10	SoCf	M8 V M7 V
1304	Xin	B51079A-B	Na Pi Ho Tz	{ 2 }	(868+4)	[8919]	-	-	-	101	8	SoCf	K0 V
1401	Darsei	A765845-F	Ga Ph Pa Ri	{ 3 }	(B7D+5)	[BB3I]	-	-	-	412	8	Bo	G4 V D
1404	Dahir	B773A66-D	Hi In Tr Tz Mr	{ 5 }	(C9G+1)	[9F5E]	-	KM	-	503	13	SoCf	K6 V
1409	Lagrange	B41048C-D	Ni Da	{ 1 }	(334+2)	[651C]	-	-	A	200	7	SoCf	F7 V
1410	Covenant	C767840-8	Ga Ph Pa Ri Dolp0	{ 0 }	(C76+1)	[A87A]	-	-	-	104	14	SoCf	G6 V M3 V
1509	Aldebaran	E000354-B	As Va Lo	{ -1 }	(920-5)	[321B]	-	-	-	120	10	SoCf	K5 III
1602	Melilae	B746783-A	Ag Pi Tr	{ 3 }	(A6B+1)	[8A5D]	-	-	-	202	9	SoCf	G3 V D
1610	Damascus	D722430-8	He Ni Po Tz	{ -3 }	(A32+1)	[819B]	-	-	-	703	15	SoCf	M7 V M2 V M9 V
1705	Wovoka	A887785-C	Ga Ag Ri Cp Dolp3	{ 4 }	(96C+2)	[9B9D]	-	-	-	202	10	SoCf	G6 V K7 V
1706	Rayah	C8739A6-A	Hi In Tz	{ 3 }	(68C+0)	[9C3A]	-	-	-	202	11	SoCf	M7 V M6 V
