Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Anta	A	0102	Riry	D756553-7	S	Ag Ni Ga		814	Im	G5 V	{ -2 }	(742-2)	[2324]	BC	8	-140
Anta	A	0103	Khadiraash	E000110-7		As Lo Va		323	Im	K8 V	{ -3 }	(300-3)	[1112]	B	11	-9
Anta	A	0108	Sag	BABA455-A	N	Fl Ni Oc		115	Im	M2 V M2 V	{ 1 }	(C34+1)	[2538]	B	12	192
Anta	A	0110	Llupi	E798400-5		Ni Pa		203	Im	G2 V	{ -3 }	(630-3)	[1111]	Bc	8	-72
Anta	A	0203	OCCULUN	C5429DA-8	S	He Hi In Po		900	Im	K3 V M1 V	{ 1 }	(B8A+1)	[BA7A]	BE	11	990
Anta	A	0204	Anashakila	E6747AA-6		Ag Pi		803	Im	F8 V	{ -1 }	(966-1)	[9678]	BCD	7	-378
Anta	A	0206	Gii	C564620-8		Ag Ni Ri		304	Im	F3 V M9 V	{ 0 }	(C54+0)	[1613]	BC	7	288
Anta	A	0207	Uran	A98975A-E	N	Ri		602	Im	G0 V	{ 3 }	(B6E+3)	[9A7G]	BC	9	3234
Anta	A	0210	Luolilali	C566375-8		Lo		205	Im	M3 V	{ -2 }	(A20-2)	[1136]	B	10	-60
Anta	A	0302	Utenowhu	A000545-C		As Ni Va		123	Im	M0 V	{ 1 }	(C45+1)	[363A]	B	10	300
Anta	A	0304	Amam	B646422-9	N	Ni Pa		302	Im	G4 V	{ 0 }	(833+0)	[1415]	Bc	10	96
Anta	A	0307	Urlulimiim	C549412-9		Ni		312	Im	F6 V M4 V	{ -1 }	(932-1)	[1315]	B	15	-72
Anta	A	0309	Kakuukudi	B544541-A		Ag Ni		902	Im	K8 V M4 V	{ 2 }	(946+2)	[1716]	BC	15	540
Anta	A	0310	Rakupii	C686667-4	S	Ag Ni Ga Ri O:0410		104	Im	G2 V	{ 0 }	(854+0)	[6654]	BC	11	192
Anta	A	0402	Fo	E553359-5		Lo Po		513	Im	G0 V M5 V	{ -3 }	(520-3)	[4166]	B	11	-45
Anta	A	0403	Kakuwhi	B544778-7		Ag Pi		214	Im	K1 V	{ 1 }	(969+1)	[7857]	BCD	13	567
Anta	A	0404	Kiida	E100521-9		Ni Va		813	Im	M3 V	{ -2 }	(B42-2)	[1315]	B	10	-220
Anta	A	0406	Ukam	C428532-B		Ni		702	Im	M2 V	{ 0 }	(944+0)	[1517]	B	11	180
Anta	A	0408	Pomstedonn	C432667-7		Na Ni Po O:0410		213	Im	M3 V	{ -2 }	(852-2)	[6457]	B	5	-192
Anta	A	0409	Irke	E563300-7		Lo		512	Im	K8 V	{ -3 }	(520-3)	[1112]	B	13	-45
Anta	A	0410	Omwyf	B75968A-B	N	Ni		604	Im	G1 V	{ 1 }	(C55+1)	[877D]	B	9	360
Anta	A	0501	Iimashirer	D550555-5	S	De Ni Po		410	Im	G4 V	{ -3 }	(741-3)	[3233]	B	4	-105
Anta	A	0503	Barimagu	B88A140-9	A	Lo Wa		803	Im	G2 V	{ 0 }	(600+0)	[1114]	B	6	6
Anta	A	0505	Umokara	D536884-6		Ph		105	Im	K2 V M1 V	{ -2 }	(A75-2)	[6634]	Be	13	-800
Anta	A	0507	Kuz	B758766-6		Ag O:		410	Im	K3 V	{ 1 }	(968+1)	[6845]	BC	9	504
Anta	A	0508	Iiruda	C858455-8	S	Ni Pa		724	Im	G4 V M9 V	{ -2 }	(C31-2)	[2236]	Bc	12	-96
Anta	A	0602	Kievi	A897586-B		Ag Ni		801	Im	M3 V M9 V	{ 2 }	(846+2)	[474A]	BC	12	480
Anta	A	0603	Kuk	C58055A-A		De Ni Pr		224	Im	M0 V M4 V	{ 0 }	(D44+0)	[757C]	Bc	15	260
Anta	A	0604	Uur	D100410-7		Ni Va		301	Im	A2 V	{ -3 }	(630-3)	[1112]	B	10	-72
Anta	A	0605	Thylif	E43677A-6		Fo	R	503	Im	M2 V	{ -2 }	(965-2)	[9578]		9	-630
Anta	A	0607	Igalashgi	A564635-B		Ag Ni Ri		622	Im	F9 V M1 V	{ 3 }	(C57+3)	[4939]	BC	13	1512
Anta	A	0609	Shaam	A736688-D	N	Ni		904	Im	M0 V	{ 1 }	(C55+1)	[675D]	B	6	360
Anta	A	0702	Likimar	C565510-5		Ag Ni Pr		134	Va	G2 V M5 V	{ -1 }	(743-1)	[1411]		14	-105
Anta	A	0704	Dika	C56468D-7		Ag Ni Ri		503	Na	G4 V M0 V	{ 0 }	(854+0)	[A69B]		11	192
Anta	A	0707	Errdougillo	B563855-9		Ri Ph		913	Im	F4 V	{ 2 }	(E7B+2)	[6A37]	BCe	9	2464
Anta	A	0801	Aggiki	E948100-7		Lo		503	Na	G2 V M8 V	{ -3 }	(300-3)	[1112]		15	-9
Anta	A	0804	Lesham	D895556-7		Ag Ni		214	Cs	G2 V	{ -2 }	(742-2)	[4346]		11	-140
Anta	A	0806	SHAKAM	A5869CA-C		Hi Pr		121	Im	G5 V	{ 3 }	(E8E+3)	[BC7E]	BcE	9	5292
Anta	A	0808	Inungae	B643743-7	S	Po Pi		605	Im	G3 V	{ 0 }	(968+0)	[4724]	BD	13	504
Anta	A	0809	Derbly	B310467-C	S	Ni O:1109		113	Im	M2 V M5 V	{ 1 }	(A34+1)	[455C]	B	11	160
Anta	A	0810	Hekklulkyg	A974469-9		Ni Pa O:1109		310	Im	G3 V	{ 0 }	(733+0)	[546A]	Bc	12	84
Anta	B	0903	Pome	B562100-A		Lo		204	Va	K4 V M8 V	{ 1 }	(700+1)	[1215]		9	7
Anta	B	0904	Laashidudka	D430548-8		De Ni Po		723	Cs	M2 V M4 V	{ -3 }	(C41-3)	[5258]		14	-180
Anta	B	0906	PRITINE	C583A88-C		Hi		824	Im	G4 V	{ 2 }	(I9D+2)	[AC5C]	BE	14	4680
Anta	B	0908	ZEDESU	C5549A8-A	S	Hi		902	Im	F4 V	{ 2 }	(D8C+2)	[9B5A]	BE	14	2808
Anta	B	1001	Rashene	B526416-A		Ni		303	Na	M2 V	{ 1 }	(934+1)	[3549]		11	144
Anta	B	1002	Uhapi	A550779-C		De Po		600	Na	M1 V	{ 2 }	(96C+2)	[896D]		11	1512
Anta	B	1006	Maihamue	E586120-7		Lo		404	Im	G9 V	{ -3 }	(300-3)	[1112]	B	11	-9
Anta	B	1101	Baangen	E69A301-9		Lo Wa		912	Cs	K4 V	{ -2 }	(820-2)	[1115]		11	-48
Anta	B	1104	Puskaian	E683768-1		Ri O:1201		514	Va	M1 V	{ -1 }	(964-1)	[7651]		12	-252
Anta	B	1105	Dakkre	D522304-7	S	He Lo Po		514	Im	A3 III	{ -3 }	(520-3)	[1135]	B	8	-45
Anta	B	1106	Bigirashgi	A878322-A	N	Lo		213	Im	M0 V M7 V	{ 1 }	(920+1)	[1416]	B	8	27
Anta	B	1109	GUMURLAG	A7979CB-E	N	Hi In Cp		904	Im	G0 V	{ 4 }	(F8G+4)	[BD7G]	BEF	13	8640
Anta	B	1201	Tonsrypu	A420631-A		De He Na Ni Po		302	Va	K1 V M0 V	{ 1 }	(A55+1)	[2716]		7	300
Anta	B	1202	Fof	B687263-9		Lo Ga O:1201		801	Va	F5 V M4 V	{ 0 }	(510+0)	[1226]		9	10
Anta	B	1203	Arshi	C54A598-6		Ni Wa		800	Va	K4 V	{ -2 }	(742-2)	[5356]		5	-140
Anta	B	1205	Aladukuur	E749233-6		Lo		811	Im	G2 V M9 V	{ -3 }	(410-3)	[1123]	B	8	-24
Anta	B	1206	Egshu	A543630-C		Ni Po		724	Im	G2 V	{ 1 }	(E55+1)	[1717]	B	15	420
Anta	B	1210	Ninime	B553210-A	N	Lo Po		514	Im	K9 V	{ 1 }	(910+1)	[1315]	B	12	18
Anta	B	1301	Gar	B568655-B		Ag Ni Ri		413	Va	K4 V M2 V	{ 3 }	(C57+3)	[4939]		11	1512
Anta	B	1305	Pe	D748778-6	S	Ag Pi		924	Im	M1 V	{ -1 }	(966-1)	[7656]	BCD	10	-378
Anta	B	1307	Egigguga	E200323-7		Lo Va		712	Im	K6 V M5 V	{ -3 }	(520-3)	[1124]	B	12	-45
Anta	B	1310	Engduitwas	C543344-6	S	Lo Po		104	Im	F6 V	{ -2 }	(520-2)	[1134]	B	16	-30
Anta	B	1403	Khanmishim	E666556-3		Ag Ni Ga Pr		512	Va	G8 V	{ -2 }	(742-2)	[4342]		9	-140
Anta	B	1404	Rala	C572332-8		He Lo		314	Va	G0 V M0 V	{ -2 }	(A20-2)	[1114]		17	-60
Anta	B	1501	Whowhana	E553435-5	C	Ni Po		405	Va	G3 V	{ -3 }	(630-3)	[2133]		12	-72
Anta	B	1502	Manuginiim	A767433-C		Ni Ga Pa		704	Va	G1 V	{ 1 }	(A34+1)	[1529]		12	160
Anta	B	1504	Laagerlus	D54A148-5		Lo Wa		524	Va	G6 V M7 V	{ -3 }	(300-3)	[1155]		16	-9
Anta	B	1508	Unugushaka	B000336-B		As Lo Va		123	Im	K5 IV M5 V	{ 1 }	(A20+1)	[244A]	B	9	30
Anta	B	1509	Lunshuu	B000775-D	S	As Na Va Pi		903	Im	K2 V	{ 2 }	(C6D+2)	[593B]	BD	12	2184
Anta	B	1603	Ikashi	A55567C-A		Ag Ni		504	Na	M3 V	{ 2 }	(C56+2)	[988D]		11	864
Anta	B	1604	Khurash	B100426-C		Ni Va		913	Va	M2 V	{ 1 }	(A34+1)	[354B]		16	160
Anta	B	1608	Jikaagi	D400610-7	S	Na Ni Va		512	Im	M3 V K2 V	{ -3 }	(851-3)	[1312]	B	12	-144
Anta	B	1610	She	B968766-9	N	Ag Ri Mr		704	Im	K4 V M2 V	{ 3 }	(D6C+3)	[6A48]	BC	11	3276
Anta	C	1701	Rugad	D540365-5		De He Lo Po O:1802		800	Cs	G9 V M0 V	{ -3 }	(520-3)	[1133]		3	-45
Anta	C	1703	CONIRE	B4349BF-B		Hi		303	Na	G9 V	{ 3 }	(E8E+3)	[ECAG]		12	5292
Anta	C	1704	Ger	B431230-B		Lo Po		500	Va	G6 IV	{ 1 }	(410+1)	[1316]		8	8
Anta	C	1709	Wyfawhag	C100565-B		Ni Va O:1604		601	Im	K3 V	{ 0 }	(844+0)	[3539]	B	4	160
Anta	C	1801	Shikhiisu	EA5A89B-3		Oc Ph Fo	R	202	Cs	F9 V	{ -2 }	(A74-2)	[A675]		10	-640
Anta	C	1802	Ap	B75A659-B		Ni Wa		804	Cs	K8 V M5 V	{ 1 }	(C55+1)	[776C]		8	360
Anta	C	1804	Ciam	B83A421-9	C	Ni Wa		102	Va	K0 V	{ 0 }	(833+0)	[1415]		15	96
Anta	C	1806	Fogdda	C300100-A		Lo Va		615	Im	G2 V M6 V	{ 0 }	(900+0)	[1115]	B	16	9
Anta	C	1808	Fendad	A514744-B		Ic Pi		424	Im	M1 V	{ 2 }	(F6C+2)	[5939]	BD	14	2520
Anta	C	1810	Kukatote	B541769-A	W	He Po Pi O:1808		403	Im	G3 V M6 V	{ 2 }	(C6B+2)	[896B]	BD	12	1848
Anta	C	1903	Lazada	D552666-2		Ni Po O:1802		304	Cs	G4 V M5 V	{ -3 }	(851-3)	[5341]		10	-144
Anta	C	1904	Sakumiiku	E778743-5	C	Ag Pi		504	Va	G4 V M7 V	{ -1 }	(966-1)	[4622]		11	-378
Anta	C	1905	Shadunug	C69A799-A		Wa Pi		924	Im	M3 V M3 V	{ 1 }	(F6A+1)	[886B]	BD	7	1050
Anta	C	1909	Irenmer	E5588DD-1		Pa Ph Fo	R	814	Im	F6 V M3 V	{ -2 }	(A73-2)	[C695]		11	-480
Anta	C	1910	Uumimi	E410200-8		Lo		713	Im	G5 IV M4 V	{ -3 }	(810-3)	[1113]	B	5	-48
Anta	C	2001	Schen	C506331-9	C	Ic Lo Va		403	Va	F1 V M8 V	{ -1 }	(820-1)	[1215]		13	-24
Anta	C	2002	Ert	C535100-9		Lo		814	Va	K8 V	{ -1 }	(800-1)	[1114]		9	-8
Anta	C	2003	Moder	C422556-9		He Ni Po		703	Va	M2 V	{ -1 }	(A43-1)	[4448]		14	-150
Anta	C	2006	Hikly	B410431-B		Ni		204	Im	K2 V M9 V	{ 1 }	(A34+1)	[1517]	B	12	160
Anta	C	2008	Amisap	C540533-9		De He Ni Po		404	Im	M1 V	{ -1 }	(B43-1)	[2426]	B	12	-165
Anta	C	2009	Roiirawhi	E67358B-5		Ni Fo	R	324	Im	G0 V	{ -3 }	(741-3)	[7277]		7	-105
Anta	C	2105	Ka	D8B6867-8		Fl Ph O:2006		603	Im	F2 V	{ -2 }	(D76-2)	[8658]	Be	18	-1248
Anta	C	2110	Aswa	C88A585-8	S	Ni Wa Pr		604	Im	M2 V M3 V	{ -2 }	(B42-2)	[3336]	Bc	4	-220
Anta	C	2201	Ngoripawa	B433620-9		Na Ni Po		700	Va	M0 V M8 V	{ 0 }	(854+0)	[1614]		6	192
