Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Beyo	A	0102	Station One	E552100-7		Lo Po Da	A	700	MaCl	F5 V	{ -3 }	(311-5)	[1112]		9	2
Beyo	A	0103	Hunyadi	A687799-C	K	Ag Ga Ri		501	MaCl	G0 V M5 V	{ 4 }	(A6E+5)	[8B6D]		8	4,200
Beyo	A	0104	Barba Amarilla	C540445-8		De He Ni Po		601	MaCl	G6 V	{ -2 }	(731-4)	[2236]		8	13
Beyo	A	0105	Shalimar	B867649-7	KV	Ag Ni Ga Ri		300	MaCl	F6 V	{ 1 }	(855+2)	[7768]		12	400
Beyo	A	0108	Lanthesandra	D945576-6		Ag Ni		300	NaHu	F7 V M3 V M1 V	{ -2 }	(742-3)	[4345]		6	39
Beyo	A	0110	La Luz Negra	B833683-8		Na Ni Po		700	NaHu	G8 V M4 V	{ -1 }	(853-4)	[3525]		12	72
Beyo	E	0111	Quiatenon	D67A6B8-6		Ni Wa EslyW		400	CAEM	G4 V	{ -3 }	(851-3)	[6356]		11	28
Beyo	E	0112	G'Henna	B5487C7-A		Ag Pi EslyW		300	CAEM	F2 V	{ 3 }	(96C+3)	[7A5A]		6	1,944
Beyo	E	0114	Al Mushtar	B869363-8		Lo EslyW O:0112		200	CAEM	F5 V M2 V	{ -1 }	(521-4)	[1225]		11	6
Beyo	E	0119	Sha'anoe	B8637C8-A		Ri		100	NaHu	F1 V	{ 3 }	(96C+3)	[7A5A]		4	1,944
Beyo	I	0122	Rabanitas	A869346-B		Lo		700	NaHu	G6 V	{ 1 }	(521+1)	[244A]		9	10
Beyo	I	0124	LYREHC	E425944-8		Hi In		700	NaHu	F9 V	{ 0 }	(B89-2)	[7936]		9	634
Beyo	I	0126	George Heap	B558621-7		Ag Ni		600	NaHu	F5 V	{ 0 }	(854-4)	[2613]		8	96
Beyo	M	0134	Yetinal	E878100-5		Lo		101	JaPa	F3 V	{ -3 }	(311-5)	[1111]		6	2
Beyo	M	0137	Nuit Rouge	A548200-9		Lo		701	JaPa	F1 V	{ 0 }	(511-4)	[1214]		7	3
Beyo	A	0202	Trocadentilius 19	C540431-9	KV	De He Ni Po		101	MaCl	F7 V	{ -1 }	(732-5)	[1315]		12	21
Beyo	A	0203	Figaro's	C563655-5		Ni Ri		700	MaCl	F3 V M1 V	{ -1 }	(853-3)	[4533]		7	84
Beyo	A	0204	Borgne	C99A6A7-8	K	Ni Wa		800	MaCl	F6 V M3 V	{ -2 }	(852-2)	[6458]		11	64
Beyo	A	0205	Alpha Centre	A668778-C		Ag Ri		700	MaCl	F5 V	{ 4 }	-9.60E+05	[7B5C]		5	3,024
Beyo	A	0207	IP	B5429D9-A		He Hi In Po Pz	A	401	NaHu	G9 V M4 V F0 V F5 V	{ 4 }	(C8E+5)	[AD6B]		7	6,720
Beyo	A	0209	Maximummer	C966655-4		Ag Ni Ri		800	NaHu	F1 V M1 V	{ 0 }	(854-2)	[4632]		11	128
Beyo	E	0212	0.4 Surtan	EAAA651-8	V	Fl Ni EslyW		400	CAEM	M1 V	{ -3 }	(851-5)	[2314]		6	20
Beyo	E	0213	Z'chmel	D5596BA-2	KV	Ni EslyW		601	CAEM	F0 V M7 V	{ -3 }	(851-1)	[8374]		12	36
Beyo	E	0215	Dorsai	A968494-D		Ni Pa		500	NaHu	F3 V	{ 1 }	(634-1)	[253B]		10	65
Beyo	E	0216	Ani yun'Wiya	C8A66B6-8		Fl Ni		800	NaHu	G3 V M1 V	{ -2 }	(852-3)	[5447]		9	56
Beyo	E	0217	Qat	C541644-5		He Ni Po		101	NaHu	G2 V M3 V	{ -2 }	(852-4)	[4433]		9	48
Beyo	E	0218	INNUIT	B9779CD-7		Hi In Pz	A	200	NaHu	F1 V	{ 2 }	(B8B+5)	[DB9B]		8	4,840
Beyo	I	0222	Station Two	C534420-6		Ni Rs		801	NaHu	M1 V M6 V	{ -2 }	(631-5)	[1211]		8	9
Beyo	I	0224	Demimonde	E405000-0		Ba Ic Va		000	NaHu	G8 V M1 V	{ -3 }	(200-5)	[0000]		11	0
Beyo	I	0225	Phoenix	C666559-A	V	Ag Ni Ga Pr DroyW		200	NaXX	F7 V M4 V	{ 1 }	(745+2)	[666B]		9	280
Beyo	I	0228	Dizurgo	B000227-B		As Lo Va		800	NaHu	G1 V	{ 1 }	(411+1)	[235B]		6	4
Beyo	M	0235	Hostel	A584110-8	V	Lo		801	JaPa	G2 V M9 V	{ -1 }	(411-5)	[1113]		7	2
Beyo	M	0236	Trend	B562489-9	K	Ni		300	JaPa	F8 V	{ 0 }	(633+1)	[546A]		10	54
Beyo	M	0238	11 Gamma Chi	B844886-6		Pa Ph Pi		701	NaHu	F8 V M4 V	{ 0 }	(A77-1)	[7845]		4	441
Beyo	A	0302	Trayfowen	BA65649-9		Ag Ni Ri Da	A	800	CsIm	F7 V	{ 2 }	(856+3)	[786A]		13	720
Beyo	A	0303	Jararaca	E575465-5		Ni Pa O:0304		400	MaCl	F7 V M2 V	{ -3 }	(631-5)	[2133]		7	9
Beyo	A	0304	Omega Sextans	A767853-9	K	Ga Ri Pa Ph		900	MaCl	F9 V	{ 2 }	(A7B-1)	[5A26]		6	693
Beyo	A	0305	Thorn	E552779-2	V	Po		800	MaCl	F1 V M1 V	{ -2 }	(963-1)	[8563]		8	146
Beyo	A	0309	Araaraga	E546610-6		Ag Ni		101	NaHu	F5 V M7 V	{ -2 }	(852-5)	[1411]		6	40
Beyo	E	0312	Chicomecoatl	D433322-9		Lo Po		700	NaHu	M3 V M2 V	{ -2 }	(521-5)	[1115]		6	5
Beyo	E	0315	INTERCOURSE	A864996-A	V	Hi Pr		501	NaHu	F5 V	{ 3 }	(C8D+2)	[8C49]		6	2,496
Beyo	E	0316	The Dunes	B5408B9-9	K	De He Po Ph Pi		400	NaHu	F2 V M8 V	{ 1 }	(A7A+2)	[996A]		6	1,400
Beyo	E	0319	Enigma	E664212-7	V	Lo		200	NaHu	K1 V	{ -3 }	(411-5)	[1113]		9	2
Beyo	I	0324	J'preall	D6A4656-8		Fl Ni		200	NaHu	M0 V	{ -3 }	(851-4)	[5347]		13	24
Beyo	I	0325	D'Escrime	E968000-0		Ba		000	NaHu	F2 V M0 V	{ -3 }	(200-5)	[0000]		11	0
Beyo	I	0326	Aros	D8467AB-5	W	Ag Pi		900	NaHu	G4 V	{ 0 }	(967+2)	[9777]		10	756
Beyo	I	0327	Ufhlug	C645214-6		Lo		100	NaHu	G2 V M1 V	{ -2 }	(411-4)	[1134]		6	2
Beyo	I	0329	Six Mile Run	B57A257-B		Lo Wa		100	NaHu	F2 V	{ 1 }	(411+1)	[235B]		9	4
Beyo	I	0330	Nur Jehan	B432200-9		Lo Po		800	NaHu	K4 V	{ 0 }	(411-4)	[1214]		5	2
Beyo	M	0332	ALBAZAR	AAA995A-E	K	Fl Hi In Rs		401	CsIm	F4 V M1 V	{ 4 }	(C8G+5)	[BD7G]		13	7,680
Beyo	M	0335	Novak's Drift	A967435-9	KV	Ni Pa		800	NaHu	F3 V M6 V	{ 0 }	(633-2)	[2437]		6	43
Beyo	M	0337	Gonzo	XB66000-0	V	Ba Fo	R	001	NaHu	F1 V	{ -3 }	(200-5)	[0000]		7	0
Beyo	M	0338	Eromnek	B4025A9-8		Ic Ni Va		700	JaPa	M3 V M0 V	{ -1 }	(743+1)	[6469]		9	84
Beyo	A	0402	BEAUMONDE	CA99974-B		Hi In		900	MaCl	F7 V M4 V	{ 3 }	(B8E+1)	[7C39]		5	1,232
Beyo	A	0403	Vlad	D663659-2		Ni Ri Da	A	400	MaCl	F9 V	{ -2 }	(852-1)	[7463]		12	72
Beyo	A	0404	Anastasia's Mate	C786376-7		Lo Ga		500	MaCl	F6 V	{ -2 }	(521-3)	[2146]		9	7
Beyo	A	0405	Lilith	D7665A7-3		Ag Ni Ga Pr Da	A	700	MaCl	F7 V M3 V	{ -2 }	(742-2)	[5353]		6	45
Beyo	A	0409	Between	A996721-A		Ag Pi		100	NaHu	F3 V	{ 3 }	(96C-1)	[3A16]		9	583
Beyo	A	0410	Niquithah	A566798-8		Ag Ri		601	NaHu	F7 V	{ 2 }	(A6A+2)	[7958]		13	1,200
Beyo	E	0411	Xochiquetzal	C742300-5		He Lo Po Da	A	700	NaHu	F3 V M1 V	{ -2 }	(521-5)	[1111]		11	5
Beyo	E	0413	Paradise	C66427C-9	V	Lo		900	NaHu	G2 V	{ -1 }	(411+2)	[518C]		6	8
Beyo	E	0416	Do'or Noobt	B679210-9		Lo		500	NaHu	K1 V	{ 0 }	(411-4)	[1214]		9	2
Beyo	E	0417	Aytch Pe'el	A688463-9		Ni Pa O:		101	NaHu	F4 V M9 V	{ 0 }	(733-3)	[1426]		6	44
Beyo	E	0418	Rama	X000555-7		As Ni Va Fo Rs	R	701	NaHu	M1 V	{ -3 }	(741-5)	[3235]		10	14
Beyo	I	0421	Farhaven	B437762-7		O:		401	NaHu	G3 V M3 V	{ 0 }	(968-4)	[3713]		13	259
Beyo	I	0422	Za'Kass-K'Narr	D552315-3	KV	Lo Po		501	NaHu	F3 V	{ -3 }	(521-5)	[1131]		11	5
Beyo	I	0425	Vale	AAA8887-A	V	Fl Ph Pz	A	200	NaHu	F7 V	{ 2 }	(A7B+2)	[8A5A]		6	1,540
Beyo	I	0430	BATTELLE	A9779B9-D		Hi In Pz Rs	A	200	CsIm	G2 V	{ 4 }	(B8G+5)	[AD6E]		11	7,040
Beyo	M	0432	T'Mek 4.987	B540305-7		De He Lo Po		600	ZyCo	F8 V	{ -1 }	(521-3)	[1235]		6	7
Beyo	M	0435	New Luna	B866855-7		Ga Ri Pa Ph		100	JaPa	K2 V	{ 1 }	(A79-1)	[6935]		10	567
Beyo	A	0502	Opar Navis 16	C867872-6		Ga Ri Pa Ph		500	MaCl	G4 V	{ 0 }	(A77-4)	[4812]		7	294
Beyo	A	0503	Kawstee Chiluhvehk	B564595-6		Ag Ni Pr		300	MaCl	F4 V	{ 0 }	(744-2)	[3534]		6	90
Beyo	A	0504	Jheszes	B423250-9		Lo Po		600	MaCl	F4 V	{ 0 }	(411-4)	[1214]		9	2
Beyo	E	0512	Tezcatlipoca	D548220-7		Lo Da	A	400	NaHu	G4 V	{ -3 }	(411-5)	[1112]		6	2
Beyo	E	0515	Cthulhu	B310655-B		Na Ni		500	NaHu	M0 V	{ 1 }	(855-1)	[4739]		8	180
Beyo	E	0516	NACIREMA	C876972-5		Hi In		500	NaHu	G8 V	{ 1 }	(B89-3)	[5A11]		7	554
Beyo	E	0517	Nyarlathotep	C425578-8		Ni		200	NaHu	M1 V	{ -2 }	(742-2)	[5358]		13	45
Beyo	E	0518	Corrigan's Revenge	A101686-D		Ic Na Ni Va		300	NaHu	G2 IV	{ 1 }	(855+1)	[574C]		7	200
