Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar
0107	Xuan	B554444-A	Ni Pa Co	{ 1 }	(834+5)	[25AE]	-	-	-	200	10	SoCf	K3 V
0109	Edifice	E520125-7	De He Lo Po	{ -3 }	(800-2)	[3143]	-	-	-	402	8	SoCf	M1 V G5 V
0110	Novosibirsk	B665610-8	Ga Ni Ag Ri Tu Tz	{ 1 }	(D52+1)	[9779]	-	-	-	103	11	SoCf	M2 V M9 V
0204	Dezerta	D630144-6	De Lo Po	{ -3 }	(700-1)	[2163]	-	-	-	203	13	SoCf	K9 V
0208	Gliklik	C68A553-A	Wa Ni Pr Dolp4	{ 0 }	(942-1)	[454B]	-	-	-	530	12	SoCf	G5 V M3 V
0301	Senmovigita	C410626-9	Ni Na Ho Lk	{ -1 }	(753+1)	[655A]	-	-	-	302	8	SoCf	F6 V K2 V
0304	Brulanta	E410200-8	Lo Ho Tz	{ -3 }	(910+0)	[1165]	-	-	-	101	11	SoCf	M5 V
0306	Dresden	E775200-5	Lo	{ -3 }	(510-5)	[1104]	-	-	-	204	11	SoCf	G4 V M3 V
0309	Maro	C99A672-7	Wa Ni	{ -2 }	(A51+4)	[9485]	-	-	-	221	10	SoCf	G9 V M4 V M5 V
0401	Tundro	E620558-7	De He Ni Po Co Tz	{ -3 }	(740+1)	[4247]	-	-	-	201	10	SoCf	M5 V
0403	Bream	A59A58B-D	Wa Ni Dolp3	{ 1 }	(447+2)	[5669]	-	-	-	211	8	SoCf	G6 V
0404	Aglaea	A664AA9-B	Hi Lk Cp	{ 3 }	(69E+1)	[BD8A]	-	-	-	401	10	SoCf	G2 V
0501	Dresselhaus	E8B9543-8	Fl Ni	{ -3 }	(F40+5)	[721B]	-	-	-	203	12	SoCf	A5 V
0506	Whitlock	C857454-7	Ga Ni Pa Tu Tz	{ -2 }	(631+0)	[3277]	-	-	-	402	10	SoCf	M9 V M0 V
0507	Bowin Prime	A863988-7	Hi Pr	{ 1 }	(68A+0)	[9A17]	-	-	-	313	12	SoCf	G4 V
0508	Nunavut	A79566A-B	Ni Ag Tu Sa Mr AslaW	{ 2 }	(D57+4)	[689B]	-	M	-	504	14	SoCf	G4 V
0601	Shun	XAC9000-0	Fl Ba Fo	{ -3 }	(900-5)	[0000]	-	-	R	020	7	SoCf	K5 V M9 V
0604	Baccarin	B55689A-9	Ph Pa	{ 1 }	(474-2)	[6945]	-	-	-	401	13	SoCf	G0 V
0704	Poire	A674773-A	Ag Pi	{ 3 }	(F6B+0)	[8A5D]	-	-	-	213	17	SoCf	G5 V G3 V
0706	Bathsheba	E575369-5	Lo O:0404	{ -3 }	(820-2)	[1114]	-	-	-	831	12	SoCf	G0 V
0707	Harrow	C316325-A	Ic Lo Ho Lk	{ 0 }	(C20-1)	[438D]	-	K	-	334	16	SoCf	K9 V M7 V
0807	Poltava	E8C635A-9	Fl Lo	{ -2 }	(F20+4)	[2138]	-	-	-	323	10	SoCf	K1 V
0809	Fakhri	C9A5323-8	Fl Lo Tz	{ -2 }	(D20+0)	[314A]	-	K	-	101	4	SoCf	M7 V G4 V
0903	Taronga	C648463-7	Ni Pa O:1203	{ -2 }	(533+4)	[9255]	-	-	-	933	15	SoCf	K7 V
0905	Anapa	D564534-2	Ni Ag Pr	{ -2 }	(840+0)	[8332]	-	-	-	303	9	SoCf	G9 V M5 V
0906	Conrad	C896412-7	Ni Pa Tu	{ -1 }	(730+2)	[7337]	-	KM	-	110	10	SoCf	G0 V M1 V
0907	Childress	E545566-5	Ni Ag Ho Tz O:1203	{ -2 }	(343-2)	[9385]	-	M	-	210	11	SoCf	K0 V M6 V
0908	Yuanyan	D744246-5	Lo	{ -3 }	(910-1)	[6151]	-	-	-	512	14	SoCf	G0 V
0909	Erskine	B310355-8	Lo	{ -1 }	(920+1)	[2219]	-	-	-	102	13	SoCf	M3 V M9 V
1002	Galleon	D4A5330-8	Fl Lo Tz	{ -3 }	(A20+3)	[2188]	-	-	-	103	13	SoCf	M4 V K6 V
1003	Jeonju	C999122-7	Lo	{ -2 }	(300-3)	[611A]	-	-	-	124	14	SoCf	K4 V
1005	Grume	D4AA310-A	Fl Lo Ho Tz	{ -1 }	(A20+0)	[128B]	-	-	-	433	13	SoCf	M1 V M0 V
1101	Sallow	E4A3447-8	Fl Ni Px AslaW	{ -3 }	(E31+5)	[415D]	-	-	-	913	12	SoCf	G5 V M5 V
1105	Jadis	C879789-7	Pi Co Sa	{ -1 }	(965+1)	[767B]	-	-	-	514	14	SoCf	K9 V
1106	Ibrahim	C620547-8	De He Ni Po Ho Lk	{ -2 }	(B40+0)	[139A]	-	-	-	321	14	SoCf	K0 V F9 V
1107	Ford Secundus	C5538DD-1	Ph Po Co Fo	{ -1 }	(879-2)	[5774]	-	-	R	111	13	SoCf	G0 V M7 V
1109	Lelaina	E410000-0	Ba Co Tz	{ -3 }	(600-5)	[0000]	-	-	-	030	10	SoCf	M1 V
1203	Alta Minato	A96A786-C	Wa Ri Ho	{ 3 }	(B66-1)	[4A48]	-	-	-	213	10	SoCf	F6 V
1207	Revere	E410200-8	Lo	{ -3 }	(C10-5)	[6106]	-	-	-	132	16	SoCf	G9 V
1210	Vestal	B988940-8	Hi Pr	{ 1 }	(888-1)	[AA5B]	-	-	-	402	6	SoCf	G2 V
1306	Flavius	E403157-8	Ic Va Lo Lk	{ -3 }	(D00+2)	[113A]	-	-	-	131	11	SoCf	M5 V M4 V
1308	Liu Qi	B669884-8	Ph Ri	{ 1 }	(97B+0)	[C92B]	-	-	-	101	6	SoCf	K6 V
1310	Erzsi	X200000-0	Va Ba Sa Fo	{ -3 }	(600-5)	[0000]	-	-	R	011	7	SoCf	M6 III
1401	Kochab	D400155-7	Va Lo Ho	{ -3 }	(400-2)	[118A]	-	-	-	621	9	SoCf	K4 III
1408	Yanos	C887944-6	Ga Hi Pr Dolp0	{ 0 }	(387-2)	[8964]	-	-	-	302	10	SoCf	F6 V M5 V
1501	Boroka	D510546-7	Ni Tz	{ -3 }	(341+1)	[6258]	-	-	-	611	11	SoCf	M6 V
1510	Gyula	C200653-9	Va Ni Na Tz	{ -1 }	(C51-5)	[6505]	-	-	-	122	9	SoCf	M8 V M3 V
1602	Gamine	C201532-9	Ic Va Ni Co Tz	{ -1 }	(D40+4)	[8475]	-	-	-	420	9	SoCf	M0 V
1605	Sextus	B7B5625-A	Fl Ni Lk	{ 1 }	(957+2)	[4739]	-	K	-	113	13	SoCf	M3 V
1606	Malebranche	C4A2746-8	Fl He Tz	{ -1 }	(965-4)	[761A]	-	-	-	102	9	SoCf	M0 V
