Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Core	A	0103	Irkigkhan	C9C4733-9		Fl		123	ImDc	M2 V	{ 0 }	(E69-3)	[4726]	B	8	-2268
Core	A	0104	Shana Ma	E551112-7		Lo Po		913	ImDc	K2 IV M7 V	{ -3 }	(310-5)	[1113]	B	9	-15
Core	A	0106	Niizediju	B9C6886-9	N	Fl Ph		704	ImDc	A1 V	{ 1 }	(E7A+0)	[7948]	Be	7	980
Core	E	0112	Per	A673310-B		Lo		103	ImDc	M0 V M0 V	{ 1 }	(820-3)	[1416]	B	13	-48
Core	E	0113	Khishi	C798200-A		Lo		303	ImDc	M0 V	{ 0 }	(710-4)	[1215]	B	11	-28
Core	E	0114	Khid	B550401-C	NS	De Ni Po		220	ImDc	M1 V	{ 2 }	(835-2)	[1618]	B	14	-240
Core	E	0116	Idpuu	B585656-A		Ag Ni Ri		821	ImDc	M2 V	{ 3 }	(B57+2)	[5949]	BC	8	770
Core	E	0117	Neki	B664489-8	N	Ni Pa		510	ImDc	M0 V M9 V M4 V	{ -1 }	(732+0)	[5369]	Bc	13	42
Core	E	0120	Kein	C544403-A		Ni Pa		600	ImDc	K2 V	{ 0 }	(633-3)	[1427]	Bc	11	-162
Core	I	0125	Trevor	B664310-B		Lo		810	ImDc	M0 V M1 V	{ 1 }	(620-3)	[1416]	B	4	-36
Core	I	0126	Deseca	B541762-A		He Po Pi O:0325		513	ImDc	G7 V M4 V	{ 2 }	(D6B-2)	[3916]	BD	12	-1716
Core	I	0127	Marsus	B578598-B	NS	Ag Ni		314	ImDc	M1 V	{ 3 }	(C47+3)	[585B]	BC	10	1008
Core	I	0128	Protalus	B559463-B	N	Ni O:0428		123	ImDc	K0 V	{ 1 }	(B34-2)	[1528]	B	13	-264
Core	I	0129	Rollabon	B984331-8		Lo		522	ImDc	M3 V	{ -1 }	(920-5)	[1214]	B	13	-90
Core	I	0130	Katock	E200301-A		Lo Va		102	ImDc	M2 V M0 V	{ -1 }	(720-5)	[1216]	B	8	-70
