Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Corr	A	0102	Tersta	C574522-7		Ag Ni An		320	Im	F3 V	{ -1 }	(743-1)	[1413]	BC	11	-105
Corr	A	0104	KHOUTH	A8C3999-D		Fl Hi In Cp		420	Im	M3 V	{ 4 }	(D8G+4)	[AD6E]	BEF	13	7488
Corr	A	0105	Ankirst	C556112-9		Lo		421	Im	M1 V K3 V	{ -1 }	(600-1)	[1115]	B	11	-6
Corr	A	0106	Ofo-Nebus	B541488-9	N	He Ni Po Varg1		701	Im	M1 V M0 V	{ 0 }	(733+0)	[4459]	B	11	84
Corr	A	0109	Synez	E864256-7		Lo		620	Im	M2 V	{ -3 }	(410-3)	[1146]	B	9	-24
Corr	A	0205	Koergfoes	B54359A-B	N	Ni Po RsE VargW		322	Im	M1 V	{ 1 }	(B45+1)	[767D]	B	7	275
Corr	A	0206	MIKESH	C8B7ACB-D	S	Fl Hi In		625	Im	K1 V	{ 3 }	(J9F+3)	[CD7F]	BE	10	8550
Corr	A	0209	Pergzitt	B625354-B		Lo		311	Im	K5 V M6 V	{ 1 }	(720+1)	[1439]	B	11	21
Corr	A	0210	Dry	C310877-A	S	Na Ph Pi		801	Im	M1 V M9 V	{ 1 }	(B7A+1)	[895A]	BDe	6	880
Corr	A	0301	Overlook	E5758B7-5		Pa Ph Pi		601	Im	M0 V	{ -2 }	(A75-2)	[8655]	BcDe	12	-800
Corr	A	0304	Serk	B89A866-C	N	Wa Ph Pi Mr		723	Im	M2 V	{ 2 }	(F7C+2)	[7A4B]	BDe	8	2880
Corr	A	0306	Hesarus	B553556-9	N	Ni Po		320	Im	M1 V	{ 0 }	(944+0)	[4548]	B	8	180
Corr	A	0307	Caulins Belt	A000268-C	N	As Lo Va Mr		911	Im	M5 V	{ 1 }	(610+1)	[235C]	B	9	12
Corr	A	0308	Faraway	D682546-4	S	Ni Pr		713	Im	M1 V	{ -3 }	(741-3)	[4243]	Bc	7	-105
Corr	A	0401	Auritaurus	C859344-8	S	Lo		621	Im	F9 V	{ -2 }	(820-2)	[1136]	B	12	-48
Corr	A	0402	Rrev Rigr	B100657-C		Na Ni Va Varg6		610	Im	M7 V	{ 1 }	(955+1)	[675C]	B	11	270
Corr	A	0407	Sigma 7	C000795-7		As Na Va Pi		112	Im	A9 V M9 V	{ -1 }	(967-1)	[5635]	BD	16	-441
Corr	A	0502	Koppel	E563305-7		Lo		334	Im	K9 V	{ -3 }	(520-3)	[1135]	B	10	-45
Corr	A	0509	Naxx-Iygo	C7B5464-8		Fl Ni O:0510		712	Im	M8 V	{ -2 }	(931-2)	[2236]	B	10	-72
Corr	A	0510	Pamock	C561542-9		Ni Pr		623	Im	M2 V K8 V	{ -1 }	(C43-1)	[1415]	Bc	11	-180
Corr	A	0601	Greenrok	A560236-C		De Lo		501	Im	M2 V M5 V	{ 1 }	(510+1)	[134B]	B	14	10
Corr	A	0603	Taratun	D893443-6	S	Ni		323	Im	M5 V	{ -3 }	(630-3)	[1123]	B	12	-72
Corr	A	0605	Aka Gee	B432579-B		Ni Po		103	Im	M0 V K3 V	{ 1 }	(A45+1)	[666C]	B	13	250
Corr	A	0606	Degarla	A611644-A	N	Ic Na Ni		310	Im	K8 V	{ 1 }	(955+1)	[4738]	B	12	270
Corr	A	0608	Desolate	B9B4502-A	W	Fl Ni		420	Im	G5 V	{ 2 }	(946+2)	[1716]	B	8	540
Corr	A	0609	Semiplast	C561662-8		Ni Ri O:0709		502	Im	M1 V M7 V	{ -1 }	(A53-1)	[2514]	BC	9	-180
Corr	A	0701	Gzorraeth	A590410-9		De He Ni		501	Va	K6 V	{ 0 }	(733+0)	[1414]		11	84
Corr	A	0709	Mowanda	B200534-A	A	Ni Va		411	Im	A9 V	{ 2 }	(946+2)	[3738]	B	11	540
Corr	A	0804	Tsetsurri	D435775-6				523	Va	F4 V	{ -2 }	(965-2)	[5534]		9	-630
Corr	A	0807	Bersha	E552302-5		Lo Po		902	Im	K2 V M0 V	{ -3 }	(520-3)	[1111]	B	10	-45
Corr	B	0901	Ruedzu Vounga	B541400-8		He Ni Po		822	Va	F0 V	{ -1 }	(A32-1)	[1313]		10	-80
Corr	B	0906	Yopogirp	A548320-D		Lo		701	Im	M2 V G7 V	{ 1 }	(620+1)	[1418]	B	16	18
Corr	B	0910	DRAYNE	B6749C9-C	A	Hi In RsB		801	Im	F4 V M4 V	{ 5 }	(C8G+5)	[AE6D]	BEf	13	8640
Corr	B	1003	Tylupa	B000205-B		As Lo Va		113	Cs	M4 V	{ 1 }	(810+1)	[1339]		15	16
Corr	B	1005	Mount	A675887-8	S	Pa Ph Pi		301	Im	M1 V M8 V	{ 0 }	(B78+0)	[8858]	BcDe	11	704
Corr	B	1006	Wieresh	B559430-8		Ni		803	Im	M1 V	{ -1 }	(932-1)	[1313]	B	11	-72
Corr	B	1010	Byla Hoso	D554534-7		Ag Ni		124	Im	G1 V	{ -2 }	(742-2)	[3335]	BC	13	-140
Corr	B	1103	Senizue	B591574-7		He Ni		820	Va	F9 V	{ -1 }	(743-1)	[3435]		9	-105
Corr	B	1104	Goseghi	E557543-3	C	Ag Ni		403	Va	M1 V	{ -2 }	(742-2)	[2321]		8	-140
Corr	B	1107	Formation	B511358-C	N	Ic Lo		704	Im	K0 III RD	{ 1 }	(920+1)	[345C]	B	7	27
Corr	B	1109	SHUSHAKA	A772988-E		He Hi In		815	Im	M0 V K2 V	{ 4 }	(H8G+4)	[9D5E]	BEf	11	9792
Corr	B	1201	New Vland	A79785A-B		Pa Ph Pi Varg2		501	Cs	M1 V	{ 2 }	(B7C+2)	[AA7D]		11	2112
Corr	B	1203	Voorghish	D556459-4		Ni Pa		203	Va	G0 V M5 V	{ -3 }	(630-3)	[5165]		8	-72
Corr	B	1204	Tetraggoe	B692300-8	C	He Lo		203	Va	M0 V	{ -1 }	(820-1)	[1213]		8	-24
Corr	B	1205	DURIMA	B420ADE-E	N	De He Hi In Na Po		234	Im	F7 V	{ 4 }	(J9G+4)	[EE9J]	BEf	11	12160
Corr	B	1207	Courage	E40088C-7		Na Va Ph Pi		401	Im	M0 V	{ -2 }	(A76-2)	[B68A]	BDe	6	-960
Corr	B	1209	KAASU	AA7A9CD-F		Hi In Oc Cs		922	Im	K6 V	{ 4 }	(F8G+4)	[DD9J]	BEF	16	8640
Corr	B	1210	Latu	B87A46B-D		Ni Wa O:1209		402	Im	M2 V K4 V	{ 1 }	(834+1)	[657F]	B	17	128
Corr	B	1301	Nakeremma	D523110-7		Lo Po		801	Cs	M0 V	{ -3 }	(300-3)	[1112]		11	-9
Corr	B	1304	Iceball	C635400-6		Ni		324	Cs	F4 V	{ -2 }	(631-2)	[1211]		14	-48
Corr	B	1307	Sebastion	C568447-6	S	Ni Pa		203	Im	K1 V	{ -2 }	(631-2)	[4256]	Bc	6	-48
Corr	B	1309	Naasakiira	C556687-8	S	Ag Ni		623	Im	K7 V	{ -1 }	(D53-1)	[6558]	BC	17	-234
Corr	B	1401	Oegongrek	B000200-A		As Lo Va		720	Na	G6 V	{ 1 }	(610+1)	[1315]		15	12
Corr	B	1402	Zontra'Lee	E788885-6		Ri Pa Ph		903	Na	M3 V	{ -1 }	(A76-1)	[6734]		11	-480
Corr	B	1404	Vwogeck	E573320-6		Lo Varg3		324	Cs	F0 V	{ -3 }	(520-3)	[1111]		11	-45
Corr	B	1405	Sluru	C76A752-9		Ri Wa		323	Im	M1 V	{ 1 }	(E6A+1)	[3815]	BC	8	980
Corr	B	1408	Xinox	D87A653-5		Ni Wa		324	Im	M4 V	{ -3 }	(851-3)	[3322]	B	9	-144
Corr	B	1409	Draack Elka	C572586-9		He Ni		922	Im	G6 V M2 V	{ -1 }	(B43-1)	[4448]	B	11	-165
Corr	B	1501	Gvan	A543578-D		Ni Po		110	Va	M1 V M5 V	{ 1 }	(845+1)	[565D]		14	200
Corr	B	1504	Buianah	A797534-A		Ag Ni Varg6		123	Cs	G9 V K7 V	{ 2 }	(C46+2)	[3738]		10	720
Corr	B	1506	Errd Lomon	C410462-9		Ni O:1606		703	Im	K5 V	{ -1 }	(932-1)	[1315]	B	7	-72
Corr	B	1602	Koorfagh	E67377B-5		Pi		323	Va	M1 V	{ -2 }	(965-2)	[9577]		11	-630
Corr	B	1603	Gagh Veth	E556423-1		Ni Pa Fo	R	334	Va	G2 V	{ -3 }	(630-3)	[1121]		12	-72
