Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Cruc	A	0101	Aiwo	B685740-6		Ag Ga Ri		502	NaHu	B9 V F0 V	{ 2 }	(969-2)	[2911]		14	389
Cruc	A	0103	Boe	B897875-A		Pa Ph Pi		301	NaHu	G2 V K7 V	{ 2 }	(B7B+1)	[6A38]		9	847
Cruc	A	0106	Acier	EAC5652-9		Fl Ni		920	NaHu	F9 V M1 V	{ -2 }	(A52-5)	[2415]		9	50
Cruc	A	0109	Yaren	C574497-8		Ni Pa		410	NaHu	K1 V M2 V	{ -2 }	(731-2)	[4258]		6	17
Cruc	E	0113	Jammu	B75A348-A		Lo Wa		900	NaHu	G6 V	{ 1 }	(521+1)	[345A]		9	10
Cruc	E	0120	Negril	D652694-3		Ni Po		712	NaHu	K4 V	{ -3 }	(851-5)	[4331]		12	20
Cruc	I	0121	Okaya	A6298C9-A		Ph Pi Pz	A	104	GlFe	M3 V	{ 2 }	(E7B+3)	[9A6B]		11	3,234
Cruc	I	0123	Suwa	D7C5305-9		Fl Lo		100	NaHu	M1 V	{ -2 }	(521-4)	[1137]		10	6
Cruc	I	0124	Uda	C641238-5		He Lo Po		703	NaHu	F4 V	{ -2 }	(411-2)	[2155]		15	3
Cruc	I	0129	Kilchu	C431141-6		Lo Po		400	NaHu	F3 V M1 V	{ -2 }	(311-5)	[1112]		7	2
Cruc	M	0136	Zynki	E78A346-4		Lo Wa		404	NaHu	K7 V	{ -3 }	(521-4)	[2143]		9	6
Cruc	M	0140	K'Mara	B534787-A		KarhW		411	KaWo	G8 V M1 V	{ 2 }	(B6B+2)	[795A]		11	1,452
Cruc	A	0202	Baiti	B575524-B		Ag Ni		520	NaHu	G5 V M7 V	{ 2 }	(946+1)	[3739]		7	216
Cruc	A	0204	Anetan	C663659-8		Ni Ri		903	NaHu	M3 V	{ -1 }	(B53+1)	[7569]		12	165
Cruc	A	0206	Nauru	C599344-9		Lo		400	NaHu	F6 V M4 V	{ -1 }	(521-3)	[1237]		3	7
Cruc	A	0209	Masinloc	B520210-7		De He Lo Po		501	NaHu	M2 V	{ -1 }	(411-5)	[1112]		9	2
Cruc	E	0214	Fauve	A665756-C	K	Ag Ga Ri		703	GdKa	B7 V	{ 4 }	(C6E+3)	[6B4B]		15	3,024
Cruc	E	0215	Nagar	D545655-5		Ag Ni		312	GdKa	M7 III	{ -2 }	(852-4)	[4433]		12	48
Cruc	E	0217	Macroform	C542543-8		He Ni Po		500	NaHu	G9 V	{ -2 }	(742-5)	[2325]		11	28
Cruc	E	0219	Ochon	E422430-7		He Ni Po		103	NaHu	M0 V	{ -3 }	(631-5)	[1112]		16	9
Cruc	I	0222	Odate	A541643-A		He Ni Po		400	GlFe	M0 V	{ 1 }	(855-2)	[3727]		8	160
Cruc	I	0225	Kobe	A5536B9-B	K	Ni Po Da	A	601	NaHu	M1 V M3 V	{ 1 }	(955+2)	[776C]		11	450
Cruc	I	0227	Iida	D8C4894-9		Fl Ph		300	NaHu	M3 V M9 V	{ -1 }	(A78-3)	[6737]		9	392
Cruc	M	0233	Hmrilma	C562488-8		Ni		400	NaHu	K6 V	{ -2 }	(631-2)	[4258]		12	14
Cruc	M	0234	Rill	A879778-A		Pi		211	NaHu	F5 V M1 V	{ 2 }	(B6B+2)	[795A]		5	1,452
Cruc	M	0238	Sora	A200210-B		Lo Va KarhW		504	KaWo	B0 V	{ 1 }	(811-3)	[1316]		11	6
Cruc	M	0240	Himrai	D666678-5		Ag Ni Ga Ri KarhW		200	KaWo	M2 III F0 V	{ -1 }	(853-1)	[6555]		5	108
Cruc	A	0302	Nibok	C554788-8		Ag		110	NaHu	F5 V	{ 0 }	(A68+1)	[7758]		5	480
Cruc	A	0304	Masyaf	E756633-5		Ag Ni Ga		602	NaHu	M3 V	{ -2 }	(852-5)	[3422]		13	40
Cruc	A	0306	Gali	B797587-7		Ag Ni		503	NaHu	A8 V	{ 0 }	(744+1)	[5557]		12	112
Cruc	A	0308	Koniek	A567783-9		Ag Ri		500	NaHu	K6 V	{ 3 }	(96C+1)	[4A26]		11	648
Cruc	E	0311	Arrah	E5436A8-6		Ni Po Da	A	210	NaHu	M3 V	{ -3 }	(851-3)	[6356]		7	28
Cruc	E	0314	Kataga	D430410-6		De Ni Po		103	GdKa	M0 V	{ -3 }	(631-5)	[1111]		13	9
Cruc	E	0316	Ttrino	A583464-8	S	Ni O:0416		410	GdKa	M0 V	{ -1 }	(732-3)	[2336]		9	29
Cruc	E	0320	Zhidah	E560314-7		De Lo		114	NaHu	A3 V	{ -3 }	(521-5)	[1135]		12	5
Cruc	I	0321	Nikko	E764887-6		Ri Pa Ph		420	NaHu	M2 V	{ -1 }	(A76-1)	[8756]		7	378
Cruc	I	0322	Mito	D8B9410-9		Fl Ni		214	NaHu	M0 V	{ -2 }	(B31-5)	[1214]		11	17
Cruc	I	0324	Honjo	C527598-8		Ni		810	NaHu	G0 V M0 V	{ -2 }	(842-2)	[5358]		11	51
