Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Daib	A	0210	Grumith	D8D5341-8		Lo Da	A	523	Im	M2 V	{ -3 }	(A20-3)	[1114]	B	11	-90
Daib	A	0407	Perishan	A300200-E		Lo Va		323	Na	M0 V M6 V	{ 1 }	(910+1)	[1319]		16	18
Daib	A	0409	Eola	D76A147-8	S	Lo Wa Da	A	402	Im	M1 V M2 V	{ -3 }	(500-3)	[1158]	B	11	-15
Daib	A	0410	Jurin	A85A166-F		Lo Wa Rs O:0114		903	Im	M2 V	{ 1 }	(600+1)	[124E]	B	9	6
Daib	A	0507	WARINIR	A889978-F		Hi Cs Pr		600	Im	M3 V	{ 3 }	(B8F+3)	[9C5F]	BcEF	14	4455
Daib	A	0510	Nyanar	B567466-B	N	Ni Pa O:0507		423	Im	M1 V M8 V	{ 1 }	(B34+1)	[354A]	Bc	8	176
Daib	A	0608	Imili	A3107BG-E		Na Pi		623	Im	G3 V	{ 2 }	(E6D+2)	[C9AJ]	BD	10	2548
Daib	A	0705	Bharna	C66957C-A		Ni Pr		104	Im	K3 V	{ 0 }	(B44+0)	[858D]	Bc	15	220
Daib	A	0707	Skara	C200746-A		Na Va Pi		513	Im	M2 V	{ 1 }	(D6A+1)	[6849]	BD	9	910
Daib	A	0709	Pillars	C433501-C		Ni Po		804	Im	K4 V	{ 0 }	(B44+0)	[1518]	B	11	220
Daib	A	0710	Azer	A9D8650-E		Ni		515	Im	M3 V	{ 1 }	(E55+1)	[1719]	B	11	420
Daib	A	0805	Sundown	D884622-6		Ag Ni Ri		812	Im	G2 V	{ -1 }	(853-1)	[2512]	BC	13	-144
Daib	A	0807	Eketa	E74A634-5		Ni Wa Fo	R	133	Im	M2 V	{ -3 }	(851-3)	[4333]		12	-144
Daib	A	0808	Twillight	B657436-B		Ni Ga Pa		613	Im	K0 V	{ 1 }	(A34+1)	[354A]	Bc	17	160
Daib	A	0810	Glimis	B100441-E		Ni Va		813	Im	M2 V	{ 1 }	(A34+1)	[151A]	B	12	160
Daib	B	0904	Guurilii	C426542-B	S	Ni		700	Im	M2 V M2 V	{ 0 }	(744+0)	[1517]	B	9	140
Daib	B	0909	Caeseria	C31058B-B		Ni		224	Im	K2 V	{ 0 }	(D44+0)	[757D]	B	10	260
Daib	B	1003	Sethnakhte	B553346-B		Lo Po		802	Im	K6 V M2 V	{ 1 }	(720+1)	[244A]	B	7	21
Daib	B	1004	Capua	B000249-E	N	As Lo Va		722	Im	K8 V M6 V M7 V	{ 1 }	(810+1)	[336F]	B	10	16
Daib	B	1006	Karnak	C693422-9		Ni		222	Im	G4 V	{ -1 }	(A32-1)	[1315]	B	10	-80
Daib	B	1008	Aswan	B000412-E	N	As Ni Va		425	Im	K4 V	{ 1 }	(D34+1)	[151A]	B	12	208
Daib	B	1101	SHAID MAMKE	D00097C-B	S	As Hi In Na Va		505	Im	M6 III M2 V	{ 2 }	(G8D+2)	[CB8E]	BE	11	3744
Daib	B	1104	Parasol	C548632-8		Ag Ni Asla7		802	Im	M0 V M2 V	{ -1 }	(A53-1)	[2514]	BC	11	-180
Daib	B	1107	Homer	C000452-D		As Ni Va Asla4		504	Im	K3 V M5 V	{ 0 }	(A33+0)	[1419]	B	14	120
Daib	B	1108	Mordor	B434253-E	N	Lo Asla3		500	Im	M2 V	{ 1 }	(410+1)	[132B]	B	10	8
Daib	B	1202	Attica	B200515-D		Ni Va Da	A	714	Im	K3 V	{ 1 }	(C45+1)	[363B]	B	10	300
