Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Dark	A	0106	Uiwe	D100389-A		Lo Va		523	AsMw	M2 V	{ -1 }	(A21+1)	[426B]		17	20
Dark	A	0107	Oukheayekh	C10068A-8		Na Ni Va		200	AsVc	K0 V	{ -2 }	(852+1)	[847A]		9	80
Dark	A	0109	Oifairouw	A646215-9		Lo		512	AsMw	G6 V	{ 0 }	(711-2)	[1237]		9	6
Dark	E	0112	Eweuas	A585645-B	R	Ag Ni Ri		104	AsVc	M1 V	{ 3 }	(C57+1)	[4939]		14	420
Dark	E	0114	Ouleawos	C556248-7		Lo		302	AsVc	M2 V M2 V	{ -2 }	(411-2)	[2157]		10	3
Dark	E	0115	Tyakhyo	D100369-A		Lo Va O:0112		200	AsVc	M1 V	{ -1 }	(521+1)	[426B]		10	10
Dark	E	0116	Kheawyarl	B79A36A-A		Lo Wa O:0112		314	AsVc	G1 V	{ 1 }	(A21+3)	[547C]		10	60
Dark	E	0117	Hleoe	C594778-8		Ag Pi		603	AsSc	K2 V	{ 0 }	(C68+1)	[7758]		12	576
Dark	E	0120	Ealyurei	E100266-7		Lo Va O:0220		602	AsSc	G6 V M5 V	{ -3 }	(411-4)	[1146]		9	2
Dark	I	0128	Eiyea	B8B3699-9		Fl Ni		714	AsTv	G3 V	{ 0 }	(D54+1)	[766A]		13	260
Dark	I	0130	Ktealau	E998123-7		Lo		803	AsTv	K1 V	{ -3 }	(311-5)	[1124]		14	2
Dark	M	0135	Aoaou	C9B6598-9		Fl Ni		323	AsMw	K0 V M8 V	{ -1 }	(C43-1)	[5459]		18	130
Dark	M	0136	Iykye	C6B6686-9		Fl Ni		805	AsT7	F1 V	{ -1 }	(D53-2)	[5548]		10	156
Dark	M	0140	Hkiho	E553167-7		Lo Po O:0239		613	AsT5	F9 V M3 V	{ -3 }	(311-3)	[1157]		10	2
Dark	A	0201	Yeasea	E58426A-7		Lo O:Reav-0237		902	AsSc	M1 V M7 V	{ -3 }	(411-1)	[4179]		7	4
Dark	A	0206	Eahaeahs	E523498-7		Ni Po		114	AsT7	M1 V M2 V	{ -3 }	(631-3)	[4157]		14	13
Dark	A	0207	Aohoikiy	A40016B-D	R	Lo Va O:		524	AsSF	M3 III D	{ 1 }	(911+3)	[327F]		16	27
