Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Delp	A	0102	Murphy	C544596-6		Ag Ni		101	ImDc	M0 V	{ -1 }	(743-2)	[4445]	BC	11	67
Delp	A	0103	Oxnard	E6756A9-5		Ag Ni		524	ImDc	M2 V M6 V	{ -2 }	(852-1)	[7466]	BC	15	72
Delp	A	0105	Dunlap	A575221-B		Lo		604	ImDc	K3 V M8 V	{ 1 }	(811-3)	[1317]	B	15	6
Delp	A	0106	Wrall	D100595-9		Ni Va Da	A	600	ImDc	M2 V	{ -2 }	(742-4)	[3337]	B	6	34
Delp	A	0107	McPherson	B564657-9		Ag Ni Ri Cp		303	ImDc	K4 V	{ 2 }	(B56+2)	[6859]	BC	10	660
Delp	A	0108	Kornag	E310240-9		Lo		820	ImDc	M2 V G4 V	{ -2 }	(611-5)	[1114]	B	12	3
Delp	A	0109	Freyja	B435522-9	S	Ni		100	ImDc	G7 V	{ 0 }	(744-4)	[1515]	B	9	67
Delp	A	0110	Ravenkin	E310587-9		Ni		303	ImDc	M0 V M6 V	{ -2 }	(A42-2)	[5359]	B	6	64
Delp	E	0112	Catan	C679345-A		Lo		104	ImDc	M2 V M7 V	{ 0 }	(921-2)	[1338]	B	10	14
Delp	E	0114	Leng-Hioh	D100101-7		Lo Va		423	ImDc	M0 V	{ -3 }	(311-5)	[1113]	B	11	2
Delp	E	0118	Doghailen	D541458-6		He Ni Po		220	ImDc	M2 V G2 V	{ -3 }	(631-3)	[4156]	B	13	13
Delp	I	0122	Aprapo	C310853-8		Na Ph Pi Pz	A	803	ImDc	M7 III	{ -1 }	(D77-4)	[5725]	BDe	6	382
Delp	I	0123	Cosimio	C667249-8		Lo Ga		903	ImDc	G0 V	{ -2 }	(711-1)	[3169]	B	15	6
Delp	I	0127	Kirby	B893133-8		Lo		803	ImDc	G2 V	{ -1 }	(611-4)	[1125]	B	14	4
Delp	I	0129	Walden	E687769-4		Ag Ga Ri O:0329		533	ImDc	G1 V	{ 0 }	(966+1)	[8765]	BC	12	324
Delp	M	0133	Cey	B310101-9		Lo		412	ImDc	M6 V M8 V	{ 0 }	(611-4)	[1115]	B	8	4
Delp	M	0134	IIMNIME	E767988-3		Hi Ga Pr		323	ImDc	M1 V	{ -1 }	(B86-1)	[9853]	BcE	13	475
Delp	M	0138	Dashuun	B577765-A		Ag Pi O:Mass-3136		612	ImDc	G0 V M8 V	{ 3 }	(C6C+1)	[5A38]	BCD	9	864
