Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Dene	A	0108	New Ramma	D565540-6	S	Ag Ni Pr		703	Im	K6 V G6 V M6 V	{ -2 }	(742-2)	[1311]	BcC	8	-140
Dene	A	0201	MARZ	A584985-A	S	Hi Pr		101	Im	G4 V G6 V	{ 3 }	(C8D+3)	[7C38]	BcE	10	4212
Dene	A	0202	Carthage	B3107B9-C		Na Pi		724	Im	M2 V	{ 2 }	(F6C+2)	[896D]	BD	13	2520
Dene	A	0203	Enaaka	B777786-6		Ag An Pi		922	Im	F5 V	{ 1 }	(968+1)	[6845]	BCD	10	504
Dene	A	0207	Rubrak	C554511-7	S	Ag Ni		701	Im	K3 V M7 V	{ -1 }	(743-1)	[1413]	BC	12	-105
Dene	A	0208	Teh	D563136-5	S	Lo		802	Im	M2 V	{ -3 }	(300-3)	[1144]	B	7	-9
Dene	A	0209	Kretikaa	B20057B-C		Ni Va		623	Im	K2 V	{ 1 }	(C45+1)	[767E]	B	8	300
Dene	A	0303	Kiiga	D530624-7		De Na Ni Po Da	A	201	Im	M0 V M7 V	{ -3 }	(851-3)	[4335]	B	11	-144
Dene	A	0304	Riacon	B666441-8	N	Ni Ga Pa		301	Im	G6 V M8 V	{ -1 }	(732-1)	[1314]	Bc	11	-56
Dene	A	0306	Saki	D576642-6		Ag Ni		701	Im	K8 V	{ -2 }	(852-2)	[2412]	BC	8	-192
Dene	A	0310	Horizon	E310725-8		Na Pi		324	Im	F2 V K0 V	{ -2 }	(F66-2)	[5536]	BD	13	-1260
Dene	A	0403	Gessert	C554315-9		Lo		320	Im	G0 V A2 V	{ -1 }	(720-1)	[1237]	B	10	-21
Dene	A	0404	Miwald	C53349B-A	S	Ni Po		602	Im	M0 V M5 V	{ 0 }	(833+0)	[647C]	B	10	96
Dene	A	0406	PRETORIA	B656967-C	N	Hi Ga Cp Mr		720	Im	G5 IV	{ 3 }	(D8E+3)	[9C5C]	BEF	13	4914
Dene	A	0409	L'sis	A764896-8	N	Ri Pa Ph		101	Im	F6 V	{ 1 }	(B79+1)	[7947]	BcCe	13	792
Dene	A	0502	El D'Nah	C549456-B		Ni		502	Im	K6 V	{ 0 }	(833+0)	[344A]	B	8	96
Dene	A	0503	Spectre	B100654-A		Na Ni Va Da	A	802	Im	M8 V	{ 1 }	(A55+1)	[4738]	B	9	300
