Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Dias	A	0103	ALADON	B6579CB-C		Hi Ga		404	ImDs	G0 V	{ 3 }	(F8E+3)	[BC7E]	BE	13	5670
Dias	A	0104	Maxalla	A596444-D		Ni Pa		115	ImDs	M1 V	{ 1 }	(C34+1)	[253B]	Bc	13	192
Dias	A	0108	Sikora	E874626-6		Ag Ni		104	ImDs	K2 V	{ -2 }	(852-2)	[5445]	BC	11	-192
Dias	E	0111	Mosul	C5868B9-8		Ri Pa Ph		401	ImDs	M1 V	{ 0 }	(B78+0)	[9869]	BcCe	9	704
Dias	E	0113	Toga	E674200-5		Lo Fo	R	812	ImDs	K8 V M4 V	{ -3 }	(410-3)	[1111]		14	-24
Dias	E	0114	Ainor Lisea	C777510-9		Ag Ni		704	ImDs	M3 V M9 V	{ 0 }	(B44+0)	[1514]	BC	11	220
Dias	E	0116	Karaguuka	D789655-8		Ni Ri		214	ImDs	G1 V M4 V	{ -2 }	(D52-2)	[4436]	BC	8	-312
Dias	E	0117	Zeranga	B100544-E		Ni Va		204	ImDs	A1 V	{ 1 }	(B45+1)	[363C]	B	7	275
Dias	E	0120	Tomsk	C4247A8-A		Pi Pz	A	513	ImDs	M3 V M6 V	{ 1 }	(D6A+1)	[785A]	BD	7	910
Dias	I	0121	Cod	D553200-8		Lo Po		504	ImDs	M2 V M3 V	{ -3 }	(810-3)	[1113]	B	12	-48
Dias	M	0137	Keeper	C556312-9		Lo		403	ImDs	K9 V	{ -1 }	(820-1)	[1215]	B	9	-24
Dias	M	0138	Ranushana	E100586-A		Ni Va		304	ImDs	K3 V	{ -1 }	(B43-1)	[4449]	B	11	-165
Dias	M	0139	Kiev	A530132-9		De Lo Po		102	ImDs	M2 V	{ 0 }	(500+0)	[1115]	B	10	5
Dias	A	0202	Chipper	B792743-A	N	He Pi		803	ImDs	M3 V	{ 2 }	(C6B+2)	[4927]	BD	8	1848
Dias	A	0206	RANN	E89A9AB-8		Hi In Wa Fo (Eershe'yaat)	R	314	ImDs	K4 V	{ 0 }	(G89+0)	[B97A]		11	1296
Dias	A	0207	Justi	B686567-B	W	Ag Ni Ga Pr O:0209		304	ImDs	M2 V	{ 3 }	(B47+3)	[585B]	BcC	10	1155
Dias	A	0209	SOYUZ	B300948-E		Hi In Na Va		401	ImDs	M0 V	{ 4 }	(C8G+4)	[9D5E]	BEf	12	6912
Dias	E	0211	Emma	D591888-6		He Ph Pi		902	ImDs	M3 V	{ -2 }	(A75-2)	[8656]	BDe	12	-800
Dias	E	0213	Khaavu	C427631-A	S	Ni		404	ImDs	K4 V	{ 0 }	(C54+0)	[2616]	B	9	288
Dias	E	0214	Baanis	C100120-C		Lo Va		903	ImDs	K5 V	{ 0 }	(600+0)	[1117]	B	13	6
Dias	E	0215	Jalhoun	E310320-9		Lo		704	ImDs	K9 V M6 V	{ -2 }	(920-2)	[1114]	B	13	-54
Dias	E	0218	Yidii	E435577-9		Ni		912	ImDs	M3 V	{ -2 }	(A42-2)	[5359]	B	12	-200
Dias	E	0220	Kyzyl	E57649D-7		Ni Pa		103	ImDs	M2 V M2 V	{ -3 }	(630-3)	[819B]	Bc	15	-72
Dias	I	0225	Karakaara	E642356-8		He Lo Po		603	ImDs	G8 V	{ -3 }	(820-3)	[2147]	B	12	-72
Dias	I	0227	Waken	D100762-9		Na Va Pi O:0228		602	ImDs	F0 IV M2 V	{ -1 }	(B68-1)	[3615]	BD	12	-616
Dias	I	0228	Ebasha	A579546-E		Ni Cp		423	ImDs	M2 V M3 V	{ 1 }	(C45+1)	[464D]	B	8	300
Dias	M	0232	Kimba	C55576A-8		Ag O:0233		301	ImDs	G5 V M5 V	{ 0 }	(A68+0)	[977A]	BC	7	560
Dias	M	0233	Siphon	B86A533-D		Ni Wa Pr		204	ImDs	M2 V M6 V	{ 1 }	(B45+1)	[262A]	Bc	9	275
Dias	M	0236	Doom	E100566-7		Ni Va Fo Px O:0237	R	723	ImDs	M1 V	{ -3 }	(741-3)	[4246]		10	-105
Dias	M	0237	SUNZ	C8679A8-A		Hi Ga Pr		904	ImDs	K9 V	{ 2 }	(F8C+2)	[9B5A]	BcE	10	3240
Dias	M	0238	Kashi	C312488-B	S	Ic Ni		600	ImDs	F6 IV	{ 0 }	(633+0)	[445B]	B	14	72
Dias	A	0303	Jumar	C000794-B		As Na Va Pi		305	ImDs	A8 V	{ 1 }	(E6B+1)	[5839]	BD	10	1078
Dias	A	0306	Jae Mona	B200544-D		Ni Va Da	A	923	ImDs	K0 V	{ 1 }	(C45+1)	[363B]	B	17	300
Dias	A	0310	BAYSE	E6859B8-7		Hi Ga Pr Fo	R	505	ImDs	K1 V	{ -1 }	(B88-1)	[9857]		13	-792
Dias	E	0315	Chengdu	C537521-A		Ni		313	ImDs	K1 V	{ 0 }	(B44+0)	[1516]	B	12	220
Dias	I	0323	Hannah	D979369-8		Lo O:0524		402	ImDs	M1 V	{ -3 }	(720-3)	[4169]	B	9	-63
Dias	I	0324	Kendell	B896664-A		Ag Ni O:0524		803	ImDs	A4 V	{ 2 }	(B56+2)	[4838]	BC	15	792
Dias	I	0326	Ebekiigase	C310543-B		Ni		802	ImDs	M3 V M5 V	{ 0 }	(944+0)	[2528]	B	13	180
Dias	I	0327	Pane	C747676-8		Ag Ni		503	ImDs	K2 V	{ -1 }	(B53-1)	[5547]	BC	8	-198
Dias	M	0335	Khaasamiiri	C675468-9		Ni Pa O:0336		222	ImDs	M0 V	{ -1 }	(A32-1)	[4359]	Bc	13	-80
Dias	M	0336	Carl's World	B567844-A		Ri Pa Ph		425	ImDs	K2 V M7 V	{ 3 }	(H7C+3)	[6B38]	BcCe	15	4896
Dias	M	0338	VORNAM	E675979-8		Hi In		604	ImDs	M0 V M5 V	{ 0 }	(F89+0)	[A969]	BE	15	1215
Dias	M	0339	Sequoia	A546548-D		Ag Ni		212	ImDs	G2 V	{ 2 }	(A46+2)	[575D]	BC	8	600
Dias	A	0401	Kampala	B645352-C		Lo		104	ImDs	K6 V M6 V	{ 1 }	(920+1)	[1418]	B	12	27
Dias	A	0402	Apinar	A542310-D		He Lo Po		423	ImDs	M4 V	{ 1 }	(A20+1)	[1418]	B	8	30
Dias	A	0406	Gentry	C681200-A		Lo		110	ImDs	M0 V M3 V	{ 0 }	(510+0)	[1215]	B	9	10
Dias	A	0407	Isaasakhur	C310572-B		Ni		213	ImDs	M0 V	{ 0 }	(B44+0)	[1517]	B	9	220
Dias	A	0410	Vita Levu	B6938CE-A		Ph Pi Pz	A	300	ImDs	K4 V M2 V	{ 2 }	(A7B+2)	[CA9E]	BDe	10	1760
Dias	E	0413	Allenwald	D310400-A		Ni		303	ImDs	M1 V M8 V M3 V	{ -1 }	(932-1)	[1315]	B	7	-72
Dias	E	0414	Kashaashii	D574400-8	S	Ni Pa		703	ImDs	M1 V	{ -3 }	(930-3)	[1113]	Bc	6	-108
