Hex  Name                 UWP       Remarks              {Ix} (Ex)    [Cx]   N B Z PBG W  A  Stellar        
---- -------------------- --------- -------------------- ---- ------- ------ - - - --- -- -- ---------------
0206 Fenn                 C9B2443-8 Fl He Ni             {-2} (A31+0) [1234] - - - 712 8  Na F1 V M1 V      
0301                      ???????-?                                          - - - ??1    -- M0 V           
0307 Mosant               B667656-A Ag Ga Ni Ri          {+3} (856+4) [6949] - M - 913 9  Na G5 V           
0308 Ixa                  D455543-5 Ag Ni                {-2} (643+1) [7376] - - - 413 10 Na K1 V BD        
0405 Tironar              C547522-6 Ag Ni                {-1} (942-1) [1427] - - - 701 7  Na G9 V           
0504 Kush                 C570475-4 De He Ni             {-2} (330+0) [2213] - - - 502 8  Na F0 V M3 VI     
0506 Emderim              E302100-9 Ic Lo Va             {-2} (901-2) [111A] - - - 814 10 Na M3 V           
0603 Ouser                C211233-9 Ic Lo                {-1} (611-2) [3148] - - - 500 4  Na M7 V           
0701 Cull                 D866587-3 Ag Ga Ni Pr          {-2} (541+1) [8368] - - - 335 14 Na A9 V G1 V M8 VI
0702 Ragol                C000436-9 As Ni Va             {-1} (932+3) [4374] - - - 712 9  Na K7 II          
0709                      ???????-?                                          - - - ??3    -- K0 V           
1104                      ???????-?                                          - - - ??0    -- F3 IV M7 V     
1206                      ???????-?                                          - - - ??3    -- K4 VI          
1207                      ???????-?                                          - - - ??3    -- F6 V K8 V      
1301                      ???????-?                                          - - - ??2    -- M7 V M8 VI     
1307                      ???????-?                                          - - - ??5    -- M2 III         
1802                      ???????-?                                          - - - ??4    -- G2 V           
1906                      ???????-?                                          - - - ??0    -- M8 V           
1909                      ???????-?                                          - - - ??0    -- K4 V           
2007                      ???????-?                                          - - - ??1    -- M0 VI M7 V     
2104                      ???????-?                                          - - - ??3    -- M5 IV          
2206                      ???????-?                                          - - - ??3    -- K8 II M0 V     
2302                      ???????-?                                          - - - ??0    -- M0 V           
2404                      ???????-?                                          - - - ??0    -- M2 V           
2409                      ???????-?                                          - - - ??3    -- K4 V           
2507                      ???????-?                                          - - - ??3    -- K6 V           
2510                      ???????-?                                          - - - ??0    -- BD             
2609                      ???????-?                                          - - - ??2    -- K3 IV BD       
2610                      ???????-?                                          - - - ??2    -- M5 IV          
2802                      ???????-?                                          - - - ??2    -- G5 V M0 VI BD  
2902                      ???????-?                                          - - - ??0    -- G5 V M2 VI     
2903                      ???????-?                                          - - - ??2    -- M5 III         
2904                      ???????-?                                          - - - ??5    -- K3 V M9 VI     
2907                      ???????-?                                          - - - ??4    -- A2 V           
3002                      ???????-?                                          - - - ??1    -- G7 V           
3005                      ???????-?                                          - - - ??2    -- M3 V           
3010                      ???????-?                                          - - - ??4    -- M1 V M7 V      
3104                      ???????-?                                          - - - ??4    -- A6 V           
3108                      ???????-?                                          - - - ??1    -- M2 V           
3204                      ???????-?                                          - - - ??3    -- M6 V           
3207                      ???????-?                                          - - - ??2    -- K9 V BD        
