Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Empt	A	0110	Akgakhong	C521100-B		He Lo Po VargW		910	Jr	M1 V	{ 0 }	(400+0)	[1116]		14	4
Empt	A	0201	Odzsouu	C89A557-9		Ni Wa Varg1 Bwap4		423	Jr	G1 V	{ -1 }	(C43-1)	[5459]		12	-180
Empt	A	0204	Sekhthodu	B793434-9		Ni		624	Jr	M1 V M5 V	{ 0 }	(C33+0)	[2437]		12	144
Empt	A	0205	Roenksu	B550558-9	F	De Ni Po Varg2 Bwap3		922	Jr	K4 V M6 V	{ 0 }	(B44+0)	[5559]		15	220
Empt	A	0206	Kuell	A572774-A		He Pi Varg3 Bwap0		524	Jr	K2 V	{ 2 }	(F6B+2)	[5938]		17	2310
Empt	A	0208	IKON	C553AC7-C	M	Hi Po Varg4 Bwap0		103	Jr	K5 V	{ 2 }	(F9D+2)	[AC5C]		12	3900
Empt	A	0302	Knaekiril	A540500-9		De He Ni Po Varg7		623	Jr	G0 V	{ 0 }	(C44+0)	[1514]		12	240
Empt	A	0305	Suezkha	B543463-8		Ni Po VargW O:0205		323	Jr	K5 V	{ -1 }	(B32-1)	[1325]		16	-88
Empt	A	0308	Gvurrdakh	C6538AA-7		Po Ph VargW		703	Jr	M1 V	{ -1 }	(A77-1)	[A779]		8	-560
Empt	A	0406	Varkh Bhargra	B100316-9		Lo Va		124	Jr	M1 V M8 V	{ 0 }	(B20+0)	[2348]		17	33
Empt	A	0410	Tsai	C686641-4		Ag Ni Ga Ri Varg0		713	Jr	K5 V	{ 0 }	(854+0)	[2611]		11	192
Empt	A	0501	Surrvok	C674785-7		Ag Pi		601	Jr	K9 V M1 V	{ 0 }	(968+0)	[5735]		12	504
Empt	A	0510	Aeghzivik	B858873-8		Pa Ph Varg8		601	Jr	K2 V	{ 0 }	(B78+0)	[5825]		8	704
Empt	A	0601	Byegh Aengz	A56079D-A		De Ri VargW		434	Jr	F7 V	{ 3 }	(G6C+3)	[BA9E]		17	4032
Empt	A	0605	Aekhfe	C575304-6		Lo Varg4		220	Jr	M1 V	{ -2 }	(520-2)	[1134]		9	-30
Empt	A	0704	Kaekhaenae	C556677-4		Ag Ni Varg8 Bwap0		102	Jr	F9 V M3 V K1 V	{ -1 }	(853-1)	[6554]		8	-144
Empt	A	0705	Tsahrroek	A551530-B		Ni Po Cp Varg2		825	Jr	M0 V	{ 1 }	(E45+1)	[1616]		16	350
Empt	A	0706	Vekhaetak	D420320-7		De He Lo Po Varg6		724	Jr	M4 V M8 V	{ -3 }	(520-3)	[1112]		11	-45
Empt	A	0709	Khebha	A550351-E		De Lo Po Varg8		724	Jr	G5 V	{ 1 }	(B20+1)	[141A]		14	33
Empt	A	0805	Bha Kakharkh	E8D7416-8		Ni Varg1 Bwap0		824	Jr	M1 V	{ -3 }	(C30-3)	[3147]		14	-144
Empt	A	0809	Sudvoukh	D550596-7		De Ni Po Varg8		520	Jr	F9 V M7 V M9 V	{ -3 }	(741-3)	[4246]		10	-105
Empt	B	0903	Ourskadh	C201477-7		Ic Ni Va Varg9		423	Jr	M3 V	{ -2 }	(631-2)	[4257]		11	-48
Empt	B	0905	Aerzorak	C99758A-9		Ag Ni Varg7 Bwap2		324	Jr	M1 V	{ 0 }	(D44+0)	[757B]		14	260
Empt	B	0906	Ghungzon	B437443-D		Ni Varg4 Bwap1		100	Jr	M2 V	{ 1 }	(634+1)	[152A]		7	96
Empt	B	0907	Threythkhe	C513310-A		Ic Lo Varg6		100	Jr	K9 V	{ 0 }	(520+0)	[1315]		10	15
Empt	B	1003	Enzaeng	C726315-8		Lo Varg3 Bwap0		425	Jr	M3 V	{ -2 }	(C20-2)	[1136]		10	-72
Empt	B	1004	Saezzok	B424373-9		Lo VargW		424	Jr	G1 V	{ 0 }	(B20+0)	[1326]		15	33
Empt	B	1103	Gousong	C424576-A		Ni VargW		633	Jr	F6 IV	{ 0 }	(D44+0)	[4549]		13	260
Empt	B	1105	Oloe	B647675-9		Ag Ni Bwap0		925	Jr	M1 V	{ 1 }	(F55+1)	[4737]		17	450
Empt	B	1106	Aetsoek	A67969A-A	F	Ni VargW		622	Ja	G8 V	{ 1 }	(C55+1)	[877C]		11	360
Empt	B	1107	Ksuel	D573555-8		Ni		325	Jr	M1 V	{ -3 }	(E41-3)	[3236]		15	-210
Empt	B	1109	Daalii	D578674-5		Ag Ni		825	Ja	K7 V	{ -2 }	(852-2)	[4433]		16	-192
