Hex  Name                 UWP       Remarks              {Ix} (Ex) [Cx] N B  Z PBG W A    Stellar
---- -------------------- --------- -------------------- ---- ---- ---- - -- - --- - ---- ------------
0905 Outpost 47           B784481-A Ni                                  - NS - 101 - SI
0906 Dionysus             D74A435-5 Ni Wa                               - -  - 101 - SI
0909 Phelos               C7568CE-3                                     - S  - 101 - SI
0910 Calanna              B7878DB-A                                     - -  A 101 - DC
1002 Nim                  X442324-0 Ni Po                               - -  A 101 - SI
1003 Alegros              C210410-A Ni                                  - -  - 101 - SI
1009 Calenbre             B485732-A Ag                                  - -  - 101 - SI
1010 Sentinel             C5738CF-4                                     - S  A 101 - PA
1101 Indigo               C85A737-6 Ag Wa                               - -  - 101 - SI
1104 Novus                C627555-6 Ni                                  - S  - 101 - SI
1105 Gorbachev            E472752-5                                     - -  - 101 - SI
1106 Tizar                A866A83-D                                     - -  - 101 - SI
1108 Tyber                A893A87-E In Cp                               - NS - 101 - TC
1202 Tybalt               D8C5676-7 Ni                                  - S  - 101 - SI
1207 Ajax                 CAC4699-5 Ni                                  - -  - 100 - TC
1208 Tyberia              A756819-E                                     - N  - 101 - TC
1301 Nerf                 C100473-8 Ni                                  - -  - 100 - SI
1303 Ziggy                C344123-8 Ni                                  - -  - 100 - SI
1304 Tsandzia             B853779-6 Po                                  - -  - 101 - TC
1305 Aggy                 B000130-A Ni                                  - N  - 101 - TC
1306 David                B100243-A Ni                                  - -  - 101 - TC
1307 Goliath              BAB8353-B Ni                                  - S  - 101 - TC
1310 Yssaria              E342455-7 Ni Po                               - -  - 101 - SI
1402 Melchizidek          D585746-3 Ag Ri                               - -  - 100 - SI
1404 Bernard              C3538C7-9 Po                                  - S  - 101 - TC
1409 Ronin                C224276-A Ni                                  - -  - 100 - SI
1501 Mesa                 B548858-7                                     - -  - 100 - SI
1502 Helen                C568310-5 Ni                                  - -  - 101 - SI
1504 Neptune              C78A89E-A Ri Wa                               - -  - 100 - SI
1505 Mary                 B8B79DF-7                                     - N  - 101 - TC
1507 Jerenus              C455114-9 Ni                                  - -  - 101 - SI
1601 Achellios            C775ADG-9 In                                  - -  R 100 - Na
1603 Avernus              D000120-A Ni                                  - -  - 101 - SI
1610 Spiten               B425331-8 Ni                                  - N  - 101 - SI
