Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Beyo	A	0102	Station One	E552100-7		Lo Po Da	A	700	MaCl	F5 V	{ -3 }	(300-5)	[1112]		6	-15
Beyo	A	0103	Hunyadi	A687799-C	K	Ag Ga Ri		511	MaCl	G0 V M5 V	{ 4 }	(B6E+5)	[8B6D]		10	4,620
Beyo	A	0104	Barba Amarilla	C540445-8		De He Ni Po		613	MaCl	G6 V	{ -2 }	(A31-4)	[2236]		13	-120
Beyo	A	0105	Shalimar	B867649-7	KV	Ag Ni Ga Ri		310	MaCl	F6 V	{ 2 }	(855+2)	[7868]		9	400
Beyo	A	0108	Lanthesandra	D945576-6		Ag Ni		300	Co	F7 V M3 V M1 V	{ -2 }	(742-3)	[4345]		3	-168
Beyo	A	0110	La Luz Negra	B833683-8		Na Ni Po		720	Co	G8 V M4 V	{ -1 }	(A53-4)	[3525]		8	-600
Beyo	E	0111	Quiatenon	D67A6B8-6		Ni Wa EslyW		410	Es	G4 V	{ -3 }	(851-3)	[6356]		12	-120
Beyo	E	0112	G'Henna	B5487C7-A		Ag Pi EslyW		310	Es	F2 V	{ 3 }	(A6C+3)	[7A5A]		8	2,160
Beyo	E	0114	Al Mushtar	B869363-8		Lo EslyW O:0112		200	Es	F5 V M2 V	{ -1 }	(520-4)	[1225]		7	-40
Beyo	E	0119	Sha'anoe	B8637C8-A		Ri Pz	A	130	Co	F1 V	{ 3 }	(C6C+3)	[7A5A]		13	2,592
Beyo	I	0122	Rabanitas	A869346-B		Lo Cx		720	Co	G6 V	{ 1 }	(721+1)	[244A]		11	14
Beyo	I	0124	Lyrehc	E425944-8		Hi In		700	Co	F9 V	{ 0 }	(B89-2)	[7936]		9	-1,584
Beyo	I	0126	George Heap	B558621-7		Ag Ni		600	Co	F5 V	{ 0 }	(854-4)	[2613]		12	-640
Beyo	M	0134	Yetinal	E878100-5		Lo		131	JaPa	F3 V	{ -3 }	(300-5)	[1111]		10	-15
Beyo	M	0137	Nuit Rouge	A548200-9		Lo		703	JaPa	F1 V	{ 0 }	(710-4)	[1214]		9	-28
Beyo	A	0202	Trocadentilius 19	C540431-9	KV	De He Ni Po		121	MaCl	F7 V	{ 0 }	(932-5)	[1415]		8	-270
Beyo	A	0203	Figaro's	C563655-5		Ni Ri		700	MaCl	F3 V M1 V	{ -1 }	(853-3)	[4533]		10	-360
Beyo	A	0204	Borgne	C99A6A7-8	K	Ni Wa		830	MaCl	F6 V M3 V	{ -2 }	(B52-2)	[6458]		14	-220
Beyo	A	0205	Alpha Centre	A668778-C		Ag Ri		700	MaCl	F5 V	{ 4 }	(96E+4)	[7B5C]		9	3,024
Beyo	A	0207	Ip	B5429D9-A		He Hi In Po Pz	A	403	NaHu	F0 V M4 V G9 V F5 V	{ 4 }	(E8E+5)	[AD6B]		12	7,840
Beyo	A	0209	Maximummer	C966655-4		Ag Ni Ri		810	Co	F1 V M1 V	{ 0 }	(854-2)	[4632]		11	-320
Beyo	E	0212	0.4 Surtan	EAAA651-8	V	Fl Ni EslyW		420	Es	M1 V	{ -3 }	(A51-5)	[2314]		12	-250
Beyo	E	0213	Z'chmel	D5596BA-2	KV	Ni Da EslyW	A	634	Es	F0 V M7 V	{ -2 }	(851-1)	[8474]		16	-40
Beyo	E	0215	Dorsai	A968494-D		Ni Pa		500	Co	F3 V	{ 1 }	(634-1)	[253B]		9	-72
Beyo	E	0216	Ani yun'Wiya	C8A66B6-8		Fl Ni		830	Co	G3 V M1 V	{ -2 }	(B52-3)	[5447]		9	-330
Beyo	E	0217	Qat	C541644-5		He Ni Po		101	Co	G2 V M3 V	{ -2 }	(852-4)	[4433]		9	-320
Beyo	E	0218	Innuit	B9779CD-7		Hi In Pz	A	230	Co	F1 V	{ 2 }	(B8B+5)	[DB9B]		15	4,840
Beyo	I	0222	Station Two	C534420-6		Ni Rs		831	Co	M1 V M6 V	{ -2 }	(631-5)	[1211]		14	-90
Beyo	I	0224	Demimonde	E405000-0		Ba Ic Va		000	Co	G8 V M1 V	{ -3 }	(200-5)	[0000]		11	-10
Beyo	I	0225	Phoenix	C666559-A	V	Ag Ni Ga Pr DroyW		230	Co	F7 V M4 V	{ 1 }	(A45+2)	[666B]		7	400
Beyo	I	0228	Dizurgo	B000227-B		As Lo Va		800	NaHu	G1 V	{ 1 }	(411+1)	[235B]		10	4
Beyo	M	0235	Hostel	A584110-8	V	Lo		813	JaPa	G2 V M9 V	{ -1 }	(700-5)	[1113]		16	-35
Beyo	M	0236	Trend	B562489-9	K	Ni		300	JaPa	F8 V	{ 0 }	(633+1)	[546A]		10	54
Beyo	M	0238	11 Gamma Chi	B844886-6		Pa Ph Pi		731	NaHu	F8 V M4 V	{ 0 }	(A77-1)	[7845]		12	-490
Beyo	A	0302	Trayfowen	BA65649-9		Ag Ni Ri Da	A	800	CsIm	F7 V	{ 2 }	(856+3)	[786A]		9	720
Beyo	A	0303	Jararaca	E575465-5		Ni Pa O:0304		400	MaCl	F7 V M2 V	{ -3 }	(631-5)	[2133]		6	-90
Beyo	A	0304	Omega Sextans	A767853-9	K	Ga Ri Pa Ph		910	MaCl	F9 V	{ 2 }	(B7B-1)	[5A26]		12	-847
Beyo	A	0305	Thorn	E552779-2	V	Po		820	MaCl	F1 V M1 V	{ -2 }	(963-1)	[8563]		9	-162
Beyo	A	0309	Araaraga	E546610-6		Ag Ni		103	Co	F5 V M7 V	{ -2 }	(852-5)	[1411]		6	-400
Beyo	E	0312	Chicomecoatl	D433322-9		Lo Po		730	Co	M2 V M3 V	{ -2 }	(820-5)	[1115]		7	-80
Beyo	E	0315	Intercourse	A864996-A	V	Hi Pr		501	Co	F5 V	{ 3 }	(C8D+2)	[8C49]		8	2,496
Beyo	E	0316	The Dunes	B5408B9-9	K	De He Po Ph Pi Pz	A	400	Co	F2 V M8 V	{ 1 }	(A7A+2)	[996A]		6	1,400
Beyo	E	0319	Enigma	E664212-7	V	Lo		220	Co	K1 V	{ -3 }	(410-5)	[1113]		9	-20
Beyo	I	0324	J'preall	D6A4656-8		Fl Ni		230	Co	M0 V	{ -3 }	(B51-4)	[5347]		9	-220
Beyo	I	0325	D'Escrime	E968000-0		Ba		020	Co	F2 V M0 V	{ -3 }	(200-5)	[0000]		10	-10
Beyo	I	0326	Aros	D8467AB-5	W	Ag Pi Pz	A	900	Co	G4 V	{ 0 }	(967+2)	[9777]		9	756
Beyo	I	0327	Ufhlug	C645214-6		Lo		100	Co	G2 V M1 V	{ -2 }	(410-4)	[1134]		10	-16
Beyo	I	0329	Six Mile Run	B57A257-B		Lo Wa		110	NaHu	F2 V	{ 1 }	(511+1)	[235B]		8	5
Beyo	I	0330	Nur Jehan	B432200-9		Lo Po		810	NaHu	K4 V	{ 0 }	(510-4)	[1214]		8	-20
Beyo	M	0332	Albazar	AAA995A-E	K	Fl Hi In Rs		431	CsIm	F4 V M1 V	{ 4 }	(F8G+5)	[BD7G]		15	9,600
Beyo	M	0335	Novak's Drift	A967435-9	KV	Ni Pa		800	NaHu	F3 V M6 V	{ 1 }	(633-2)	[2537]		11	-108
Beyo	M	0337	Gonzo	XB66000-0	V	Ba Fo	R	003	NaHu	F1 V	{ -3 }	(200-5)	[0000]		10	-10
Beyo	M	0338	Eromnek	B4025A9-8		Ic Ni Va		700	JaPa	M0 V M3 V	{ -1 }	(743+1)	[6469]		7	84
Beyo	A	0402	Beaumonde	CA99974-B		Hi In		920	MaCl	F7 V M4 V	{ 3 }	(D8E+1)	[7C39]		10	1,456
