Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W
0101	Weiss	AA89430-E		Ni 		820	  	F5 VI  M5 D         	1				
0105	Bethe	C214339-9		Ic Lo 		324	  	F7 V   M7 D         	-1				
0107	Epiru	B623630-8	S	Ni Na Po 		810	  	F6 V   M4 D         	-1				
0109	Isseyido	C788122-8	S	Lo 		412	  	K6 VI               	-2				
0112	Tempus III	X547763-1		Ag Pi 	R	910	  	K6 V   M9 D         	-1				
0114	Sandpiper	E834311-8		Lo 	 	224	  	G4 V                	-3				
0117	Keltan	D500231-8	S	Va Lo 	 	420	  	K2 V   M6 D         	-3				
0118	Lerm	B5108BB-8	S	Ph Na Pi 	 	810	  	F8 VI               	0				
0122	Savia	B675653-A	M  	Ni Ag 	 	224	  	F7 VI  M1 D         	2				
0124	Wilson	B67878D-8		Ag Pi 	 	510	  	F7 VI               	1				
0125	Troy	B500510-B	NS	Va Ni 	 	204	  	F7 V   M2 D         	2				
0126	Ektron	E9A2000-8		Fl He Di	 	024	  	F6 V                	-3				
0134	Hattan	A654300-E		Lo 	 	104	  	F1 V   M9 D   M1 D  	1				
0202	Gitosy	C1307BB-A	S	De Na Po 		620	  	F2 V   M3 D         	1				
0204	Atson	B35666A-B	S	Ni Ag 		124	  	F3 V                	2				
0207	Tamarind	B623630-8		Ni Na Po 		724	  	F5 VI               	-1				
0208	Shaalgar	A85889A-C	N	Ph Pa 		322	  	F7 V   M1 D         	2				
0209	Oort	BA88215-6	S	Lo 		110	  	F5 VI  M5 D         	-1				
0210	Tigiers	C6667AA-0	S	Ga Ag Ri 		222	  	F9 V                	1				
0215	Burskin	B300462-9	NS	Va Ni 	 	523	  	F1 V                	1				
0217	Hollandae	D542200-6		He Lo Po 	 	220	  	F0 V   M0 D         	-3				
0218	Bora	E510400-8		Ni 	 	625	  	F4 V   M7 D         	-3				
0219	Lovice	B210000-B	NS	Di 	 	020	  	F4 IV               	2				
0228	Filo	D330500-7	S	De Ni Po 	 	900	  	M3 V              	-3				
0229	Vickers	X544510-1		Ni Ag 	R	820	  	F5 VI  M1 D       	-2				
0234	Maylo	C627683-5	S  	Ni 	 	403	  	F1 V                	-2				
