Sector	SS	Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	Worlds	Allegiance	Stellar
Varan	A	0104	A-0104	X376000-0	Ba	{-3}	(800+0)	[0000]		 		020	8	Na	F5 V M4 V
Varan	A	0107	A-0107	X869000-0	Ba	{-3}	(700+0)	[0000]		 		003	12	Na	K7 V Bd
Varan	A	0108	A-0108	X579000-0	Ba Tz	{-3}	(A00+0)	[0000]		 		032	15	Na	M5 V
Varan	A	0110	A-0110	X332000-0	Ba Po	{-3}	(500+0)	[0000]		 		012	10	Na	G5 V M9 VI KD
Varan	A	0202	A-0202	X899000-0	Ba Co	{-3}	(800+0)	[0000]		 		012	7	Na	M7 III
Varan	A	0204	A-0204	X310000-0	Ba Tz	{-3}	(600+0)	[0000]		 		002	6	Na	M0 V Bd
Varan	A	0206	A-0206	X363000-0	Ba Co	{-3}	(600+0)	[0000]		 		000	6	Na	F7 V M3 V M2 V
Varan	A	0302	A-0302	X543000-0	Ba Po	{-3}	(700+0)	[0000]		 		015	15	Na	G7 V
Varan	A	0304	A-0304	X140000-0	De Ba Po	{-3}	(800+0)	[0000]		 		002	12	Na	A1 V A2 V
Varan	A	0308	A-0308	X567000-0	Ba	{-3}	(400+0)	[0000]		 		032	15	Na	K5 V
Varan	A	0310	A-0310	X352000-0	Ba Po	{-3}	(700+0)	[0000]		 		002	10	Na	G9 IV K1 V
Varan	A	0402	A-0402	X847000-0	Ba	{-3}	(700+0)	[0000]		 		032	15	Na	G7 V
Varan	A	0408	A-0408	X100000-0	Va Ba	{-3}	(700+0)	[0000]		 		034	14	Na	G0 VI M3 VI M3 VI
Varan	A	0410	A-0410	X9A0000-0	He Ba	{-3}	(800+0)	[0000]		 		021	11	Na	G1 III
Varan	A	0505	A-0505	X564000-0	Ba	{-3}	(500+0)	[0000]		 		002	5	Na	K7 V M4 VI
Varan	A	0507	A-0507	X575000-0	Ba Co	{-3}	(B00+0)	[0000]		 		032	13	Na	G3 V K5 VI
Varan	A	0601	A-0601	X8A3000-0	Fl Ba Co	{-3}	(700+0)	[0000]		 		002	9	Na	K5 II M2 II
Varan	A	0610	A-0610	X659000-0	Ba	{-3}	(500+0)	[0000]		 		020	9	Na	F7 V
Varan	A	0701	A-0701	X9A5000-0	Fl Ba Co	{-3}	(500+0)	[0000]		 		002	6	Na	F3 V
Varan	A	0702	A-0702	XDFA000-0	Ba Lk Sa	{-3}	(300+0)	[0000]		 		030	6	Na	G4 V
Varan	A	0807	A-0807	X655000-0	Ga Ba	{-3}	(700+0)	[0000]		 		032	14	Na	G2 V
Varan	A	0810	A-0810	X243000-0	Ba Po	{-3}	(400+0)	[0000]		 		030	13	Na	K0 V
Varan	B	0901	B-0901	X66A000-0	Wa Ba	{-3}	(500+0)	[0000]		 		032	10	Na	G0 III M6 V
Varan	B	0905	B-0905	X889000-0	Ba	{-3}	(800+0)	[0000]		 		022	13	Na	K6 V
Varan	B	0908	B-0908	X688000-0	Ba	{-3}	(400+0)	[0000]		 		015	14	Na	G2 V M4 V
Varan	B	0910	B-0910	X340000-0	He Ba Po Tz	{-3}	(900+0)	[0000]		 		024	13	Na	K7 VI
Varan	B	1002	B-1002	X696000-0	Ba	{-3}	(400+0)	[0000]		 		002	11	Na	G4 V M3 V
Varan	B	1008	B-1008	X995000-0	Ba Sa	{-3}	(900+0)	[0000]		 		022	15	Na	F8 V
Varan	B	1010	B-1010	X979000-0	Ba	{-3}	(500+0)	[0000]		 		020	12	Na	G7 IV M2 V
Varan	B	1101	B-1101	X469000-0	Ba	{-3}	(C00+0)	[0000]		 		010	8	Na	F7 V K6 VI
Varan	B	1109	B-1109	X000000-0	As Ba	{-3}	(300+0)	[0000]		 		000	8	Na	K1 V Bd
Varan	B	1202	Scimitar	X985450-9	Ni Pa Lk Sa	{-2}	(834+3)	[325A]	Bc	 		110	9	Na	F9 V
Varan	B	1205	B-1205	X7A7000-0	Fl Ba	{-3}	(600+0)	[0000]		 		012	7	Na	K1 V M5 VI M5 VI
Varan	B	1207	B-1207	X658000-0	Ba	{-3}	(600+0)	[0000]		 		012	14	Na	G2 V
Varan	B	1208	B-1208	X878000-0	Ba Co	{-3}	(900+0)	[0000]		 		011	15	Na	A9 IV GD
Varan	B	1303	B-1303	X330000-0	De Ba Po	{-3}	(600+0)	[0000]		 		002	10	Na	G8 V M4 V MD
Varan	B	1401	B-1401	X460000-0	De Ba	{-3}	(B00+0)	[0000]		 		012	7	Na	K2 V M6 III
Varan	B	1407	B-1407	X425000-0	Ba Co Tz	{-3}	(300+0)	[0000]		 		020	10	Na	M3 V
