#--------1---------2---------3---------4---------5-------
#PlanetName   Loc. UPP Code   B   Notes         Z  PBG Al
#----------   ---- ---------  - --------------- -  --- --
Mithryn       0103 A310143-C    Lo                 113 --
Joder         0104 D340234-3    De Lo Po           323 --
Zitnord       0106 C46A544-A    Ni Wa              524 --
Kopalmanni    0107 D164447-9    Ni                 602 --
Peleto        0110 C563556-A  S Ni                 304 --
Landera       0203 B696688-7  N Ag Ni              110 --
Irshington    0204 E230878-8    De Na Po           302 --
Murchoberg    0206 B9C4596-9    Fl Ni              203 --
Thushira      0208 B479787-7  N                    200 --
Leoniel       0209 C8C6102-5    Fl Lo           A  223 --
Somag         0301 B322686-B    Na Ni Po           632 --
FOSSER        0303 E731999-6    Hi Na Po           323 --
Balzan        0305 E766389-7    Lo                 524 --
Fowler        0307 B7CA400-A  N Fl Ni Wa           114 --
Olivendel     0310 C889423-5    Ni                 403 --
JANSSEN       0401 C335985-9    Hi                 114 --
Bakegen       0402 C321310-8  S Lo Po Co           614 --
Rodarmi       0406 B100746-A  N Na Va              424 --
Amiraga       0407 EAC9310-8    Fl Lo              113 --
Vondelizzi    0408 D73178C-4  S Na Po              710 --
Dunman        0501 C46889A-4    Ri                 813 --
Kachadon      0503 C300456-A    Ni Va              134 --
MEHROFF       0506 A00099A-F    As Hi In Na Cp     123 --
Ylavann       0510 C756444-5    Ni                 123 --
Wordelia      0601 C364556-8  S Ag Ni              113 --
Tsaradur      0607 B300557-9  N Ni Va              123 --
Humannet      0706 C552641-7  S Ni Po              424 --
Huderhon      0707 B47A500-E  S Ni Wa              100 --
Penebog       0708 A56758A-8    Ag Ni              813 --
Walthatut     0709 C6527BC-3  S Po                 315 --
Neopid        0710 C430886-6    De Na Po           122 --
Torissa       0801 B100133-D  N Lo Va              212 --
Risters       0803 D41089C-7  S Na                 210 --
Thomagoz      0805 E774427-2    Ni                 114 --
Kaaria        0807 A9A6300-D    Fl Lo              224 --
Fekahos       0809 A574877-A  N                    323 --
#--------1---------2---------3---------4---------5-------
