Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
0103	Stratton Saint Mar	C20048A-8	Va Ni	{-2}	(C33+3)	[2288]	B	-	-	604	7	Im	M0 V
0108	Bo	E7B4100-6	Fl Lo	{-3}	(500-2)	[1177]	B	-	-	313	8	Im	G5 V
0109	Purcell	A2007A8-A	Va Na Pi	{+2}	(A69-2)	[597E]	DB	-	-	514	6	Im	M5 V
0110	Entre-Folhas	D200577-6	Va Ni	{-3}	(943-5)	[3279]	B	S	-	705	7	Im	M5 V
0112	Bandio	C200466-6	Va Ni	{-2}	(930-5)	[5255]	B	S	-	505	7	Im	M0 V
0116	Kamisai	A7828BE-C	Ph Ri	{+3}	(C7A+4)	[CB3B]	eCB	-	-	612	10	Im	A0 V
0117	Merosina	B2008D9-9	Va Ph Na Pi	{+1}	(D76+4)	[5989]	eDB	-	-	417	8	Im	D
0118	Tabernes de Valldi	C200551-8	Va Ni	{-2}	(942-2)	[5388]	B	-	-	204	7	Im	M0 V
0120	Inanda	A200965-E	Va Hi Na In	{+4}	(D89+3)	[DD6F]	fEB	-	-	504	8	Im	G0 V
0128	Gresham	E200112-4	Va Lo	{-3}	(600-1)	[1182]	B	-	-	712	7	Im	M0 V
0129	Konigstuhl	CCB0401-9	He Ni	{-1}	(A31-3)	[6334]	B	-	-	402	9	Im	F0 V
0130	Maxaub	D6A5300-9	Fl Lo	{-2}	(E20+1)	[1129]	B	S	-	704	10	Im	K5 V M5 V
0131	Cumberland	B6B7777-A	Fl	{+2}	(F69-2)	[594A]	B	-	-	404	10	Im	M0 V M5 V
0133	Dolinsk	A5A599A-C	Fl Hi In	{+4}	(F89-3)	[9D38]	fEB	N	-	709	12	Im	D D
0135	Opera	ACB378D-9	Fl	{+1}	(866-4)	[B84A]	B	-	-	405	11	Im	K5 V M5 V
0136	Swidnik	CAB5303-A	Fl Lo	{+0}	(D20-1)	[436A]	B	-	-	703	8	Im	G0 V
0137	Casals	D200424-9	Va Ni	{-2}	(B30+1)	[3246]	B	S	-	904	7	Im	M0 V
