Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Fore	A	0103		XXXXXXX-X				XXX	ZhCo							
Fore	A	0104		XXXXXXX-X				XXX	ZhCo							
Fore	A	0202		XXXXXXX-X				XXX	ZhCo							
Fore	A	0203		XXXXXXX-X				XXX	ZhCo							
Fore	A	0302		XXXXXXX-X				XXX	ZhCo							
Fore	A	0304		XXXXXXX-X				XXX	ZhCo							
Fore	A	0305		XXXXXXX-X				XXX	ZhCo							
Fore	A	0306		XXXXXXX-X				XXX	ZhCo							
Fore	A	0308		XXXXXXX-X				XXX	ZhCo							
Fore	A	0309		XXXXXXX-X				XXX	ZhCo							
Fore	A	0401		XXXXXXX-X				XXX	ZhCo							
Fore	A	0402		XXXXXXX-X				XXX	ZhCo							
Fore	A	0403		XXXXXXX-X				XXX	ZhCo							
Fore	A	0404		XXXXXXX-X				XXX	ZhCo							
Fore	A	0408		XXXXXXX-X				XXX	ZhCo							
Fore	A	0502		XXXXXXX-X				XXX	ZhCo							
Fore	A	0503		XXXXXXX-X				XXX	ZhCo							
Fore	A	0504		XXXXXXX-X				XXX	ZhCo							
Fore	A	0505		XXXXXXX-X				XXX	ZhCo							
Fore	A	0507		XXXXXXX-X				XXX	ZhCo							
Fore	A	0508		XXXXXXX-X				XXX	ZhCo							
Fore	A	0604		XXXXXXX-X				XXX	ZhCo							
Fore	A	0607		XXXXXXX-X				XXX	ZhCo							
Fore	A	0610		XXXXXXX-X				XXX	ZhCo							
Fore	A	0708		XXXXXXX-X				XXX	ZhCo							
Fore	A	0801		XXXXXXX-X				XXX	ZhCo							
Fore	A	0807		XXXXXXX-X				XXX	ZhCo							
Fore	A	0810		XXXXXXX-X				XXX	ZhCo							
Fore	B	0902		XXXXXXX-X				XXX	ZhCo							
Fore	B	0908		XXXXXXX-X				XXX	ZhCo							
Fore	B	0909		XXXXXXX-X				XXX	ZhCo							
Fore	B	0910		XXXXXXX-X				XXX	ZhCo							
Fore	B	1007		XXXXXXX-X				XXX	ZhCo							
Fore	B	1102		XXXXXXX-X				XXX	ZhCo							
Fore	B	1103		XXXXXXX-X				XXX	ZhCo							
Fore	B	1109		XXXXXXX-X				XXX	ZhCo							
Fore	B	1205		XXXXXXX-X				XXX	ZhCo							
Fore	B	1209		XXXXXXX-X				XXX	ZhCo							
Fore	B	1303		XXXXXXX-X				XXX	ZhCo							
Fore	B	1304		XXXXXXX-X				XXX	ZhCo							
Fore	B	1307		XXXXXXX-X				XXX	ZhCo							
Fore	B	1403		XXXXXXX-X				XXX	ZhCo							
Fore	B	1404		XXXXXXX-X				XXX	ZhCo							
Fore	B	1405		XXXXXXX-X				XXX	ZhCo							
Fore	B	1410		XXXXXXX-X				XXX	ZhCo							
