Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Forn	A	0102	Cianan	B565553-9		Ag Ni Pr		814	ImDc	G3 V	{ 1 }	(C45+1)	[2626]	BcC	11	300
Forn	A	0106	Imondec	B580310-B		De Lo		902	ImDc	M0 V M4 V	{ 1 }	(720+1)	[1416]	B	15	21
Forn	A	0107	Casidhe	B000655-D		As Na Ni Va		315	ImDc	G1 V	{ 1 }	(E55+1)	[473B]	B	13	420
Forn	A	0109	Gimki	E869569-6		Ni Pr O:0209		100	ImDc	M3 V	{ -3 }	(741-3)	[6267]	Bc	8	-105
Forn	E	0113	Proust	A89A368-B		Lo Wa O:0114		303	ImDc	M1 V	{ 1 }	(820+1)	[345B]	B	13	24
Forn	E	0114	Empuura	A8B5753-D		Fl		803	ImDc	G4 V	{ 2 }	(C6D+2)	[492A]	B	11	2184
Forn	E	0120	Resh	C692233-9		He Lo		700	ImDc	G5 V M1 V	{ -1 }	(410-1)	[1126]	B	4	-8
Forn	I	0124	Hankel	C654320-9		Lo		502	ImDc	G2 V M5 V	{ -1 }	(720-1)	[1214]	B	10	-21
Forn	I	0127	Alia	A427787-C		Pi		400	ImDc	K0 V	{ 2 }	(96C+2)	[795C]	BD	15	1512
Forn	I	0128	Kaar	B998552-9		Ag Ni		810	ImDc	M2 V	{ 1 }	(845+1)	[1615]	BC	16	200
Forn	M	0133	Eng	C546445-8		Ni Pa		704	ImDc	M0 V	{ -2 }	(A31-2)	[2236]	Bc	7	-80
Forn	M	0134	Guimaas	C424564-B		Ni O:0135		404	ImDc	M3 V	{ 0 }	(B44+0)	[3539]	B	13	220
Forn	M	0135	De Hall	A866651-D		Ag Ni Ga Ri		604	ImDc	G8 V	{ 3 }	(C57+3)	[2919]	BC	17	1512
Forn	M	0136	South	A547200-E		Lo		903	ImDc	K0 V M0 V	{ 1 }	(710+1)	[1319]	B	11	14
Forn	M	0140	Noos	A556779-C		Ag		400	ImDc	G6 V	{ 3 }	(96D+3)	[8A6D]	BC	4	2457
Forn	A	0202	Giiar Me	E435568-9		Ni O:0102		310	ImDc	K3 V M1 V	{ -2 }	(842-2)	[5359]	B	9	-160
Forn	A	0203	Sefe	C200576-B		Ni Va		212	ImDc	M5 III	{ 0 }	(A44+0)	[454A]	B	13	200
Forn	A	0208	Holst	C567634-5		Ag Ni Ri		423	ImDc	M1 V	{ 0 }	(854+0)	[4633]	BC	10	192
Forn	A	0209	Shiirkan	A302885-C	N	Ic Na Va Ph Cp Pi		422	ImDc	K1 V	{ 2 }	(E7C+2)	[6A3A]	BDe	12	2688
Forn	E	0211	Geam	C000642-A		As Na Ni Va		621	ImDc	M2 V M9 V M5 V	{ 0 }	(B54+0)	[2616]	B	12	264
Forn	E	0212	Polor	C658169-9		Lo O:0114		400	ImDc	M3 V	{ -1 }	(300-1)	[216A]	B	13	-3
Forn	E	0214	Rokke	B557633-6		Ag Ni		400	ImDc	M3 V M6 V	{ 0 }	(854+0)	[3623]	BC	3	192
