Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ghoe	A	0101		X231000-0		Ba Lo Ni Po		003	--	K1 V						0
Ghoe	A	0104		X565000-0		Ba Lo Ni		000	--	F7 V						0
Ghoe	A	0105		X445000-0		Ba Lo Ni		011	--	F6 V D						0
Ghoe	A	0106		X500000-0		Ba Lo Ni Va		012	--	M7 V						0
Ghoe	A	0204		X9C5000-0		Ba Fl Lo Ni		010	--	M5 V D						0
Ghoe	A	0205		X575000-0		Ba Lo Ni		003	--	F3 V D						0
Ghoe	A	0208		X100000-0		Ba Lo Ni Va		008	--	K2 V G0 V D						0
Ghoe	A	0210		X694000-0		Ba Lo Ni		010	--	F6 V D						0
Ghoe	A	0303		X200000-0		Ba Lo Ni Va		003	--	M3 II						0
Ghoe	A	0406		X584000-0		Ba Lo Ni		002	--	F6 V						0
Ghoe	A	0408		X410000-0		Ba Lo Ni		001	--	M7 V						0
Ghoe	A	0502		XAB7000-0		Ba Fl Lo Ni		006	--	F7 V D						0
Ghoe	A	0504		X735000-0		Ba Lo Ni		023	--	M0 V D						0
Ghoe	A	0505		X8A0000-0		Ba De Lo Ni		023	--	G1 II						0
Ghoe	A	0601		X878000-0		Ba Lo Ni		003	--	F7 V D						0
Ghoe	A	0602		X350000-0		Ba De Lo Ni Po		035	--	F7 V D						0
Ghoe	A	0606		X412000-0		Ba Ic Lo Ni		000	--	M2 V						0
Ghoe	A	0609		X986000-0		Ba Lo Ni		002	--	G2 V D						0
Ghoe	A	0610		X75A000-0		Ba Lo Ni Wa		012	--	K2 V						0
Ghoe	A	0707		X549000-0		Ba Lo Ni		000	--	F2 V						0
Ghoe	A	0709		X7A4000-0		Ba Fl Lo Ni		000	--	M8 V						0
Ghoe	A	0804		X300000-0		Ba Lo Ni Va		002	--	M2 V						0
Ghoe	B	0905		X476000-0		Ba Lo Ni		034	--	F2 V D						0
Ghoe	B	0908		X569000-0		Ba Lo Ni		027	--	F5 V D						0
Ghoe	B	0910		X986000-0		Ba Lo Ni		003	--	F9 V						0
Ghoe	B	1009		X977000-0		Ba Lo Ni		005	--	F6 V M1 V						0
Ghoe	B	1010		X667000-0		Ba Lo Ni		003	--	F7 V						0
Ghoe	B	1103		X64A000-0		Ba Lo Ni Wa		002	--	F3 V M0 V						0
Ghoe	B	1109		X89A000-0		Ba Lo Ni Wa		001	--	F8 V D						0
Ghoe	B	1201		X226000-0		Ba Lo Ni		004	--	M3 V D						0
Ghoe	B	1202		X240000-0		Ba De Lo Ni Po		002	--	G3 V						0
Ghoe	B	1204		X782000-0		Ba Lo Ni		002	--	G1 V						0
Ghoe	B	1206		X779000-0		Ba Lo Ni		003	--	K0 V D						0
Ghoe	B	1207		X495000-0		Ba Lo Ni		015	--	G0 V D						0
Ghoe	B	1208		X453000-0		Ba Lo Ni Po		000	--	F2 V						0
Ghoe	B	1209		X200000-0		Ba Lo Ni Va		000	--	M1 V						0
Ghoe	B	1210		X676000-0		Ba Lo Ni		000	--	M8 V D						0
Ghoe	B	1301		X8C5000-0		Ba Fl Lo Ni		013	--	F7 V						0
Ghoe	B	1306		X77A000-0		Ba Lo Ni Wa		002	--	F6 V						0
