Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Gush	I	0125	Hannrii	E565568-6		Ag Ni Pr O:0327		604	ImDv	M2 V	{ -2 }	(742-2)	[5356]	BcC	9	-140
Gush	I	0126	Egurgadi	A65A200-F		Lo Wa		503	ImDv	K1 V	{ 1 }	(710+1)	[131A]	B	9	14
Gush	I	0130	Praodelf	AAB687A-A		Fl Ph		600	ImDv	G4 V M1 V	{ 2 }	(A7B+2)	[AA7C]	Be	13	1760
Gush	M	0131	SIRIR	E7969AA-6		Hi In Fo	R	723	ImDv	K3 V	{ 0 }	(B88+0)	[B978]		12	792
Gush	M	0132	Aapu	D560345-6		De Lo		300	ImDv	K1 V M2 V	{ -3 }	(520-3)	[1134]	B	14	-45
Gush	M	0135	Maerol	E200774-8		Na Va Pi		102	ImDv	K1 V	{ -2 }	(B66-2)	[5536]	BD	9	-924
Gush	M	0136	Choltonrul	A587452-D	S	Ni Pa		224	ImDv	M0 V	{ 1 }	(C34+1)	[1519]	Bc	10	192
Gush	M	0137	USHULU	C7829DA-8		Hi Pr		700	ImDv	M0 V M4 V	{ 0 }	(B89+0)	[B97A]	BcE	18	891
Gush	M	0138	Roolyz	C433103-B		Lo Po		222	ImDv	G8 V M3 V M0 V	{ 0 }	(700+0)	[1128]	B	12	7
Gush	M	0140	Joutect	B768145-B	N	Lo		600	ImDv	M0 V M7 V	{ 1 }	(300+1)	[1239]	B	12	3
Gush	I	0222	Daze	C776311-9		Lo		700	ImDv	K7 V	{ -1 }	(520-1)	[1215]	B	6	-15
Gush	I	0223	Abalesk	A433541-C	N	Ni Po		713	ImDv	M0 V	{ 1 }	(B45+1)	[1618]	B	13	275
Gush	I	0227	Stoend	C86A7A9-A		Ri Wa		324	ImDv	M2 V	{ 2 }	(F6B+2)	[896B]	BC	13	2310
Gush	I	0228	Barren	E652000-0		Ba Po Fo	R	000	ImDv	M2 V M1 V	{ -3 }	(200-3)	[0000]		14	-6
Gush	I	0229	Foussough	D653634-5	S	Ni Po		300	ImDv	K0 V M5 V	{ -3 }	(851-3)	[4333]	B	14	-144
Gush	I	0230	Estos	A425653-D		Ni		405	ImDv	K2 V M6 V M1 V	{ 1 }	(D55+1)	[372A]	B	15	390
Gush	M	0231	Hentor	D503540-7		Ic Ni Va		522	ImDv	M3 V D	{ -3 }	(741-3)	[1212]	B	16	-105
Gush	M	0233	Abaelou	C695335-9	S	Lo		903	ImDv	M1 V	{ -1 }	(820-1)	[1237]	B	11	-24
Gush	M	0236	Gihmentahlish	B895573-9		Ag Ni		922	ImDv	K7 V	{ 1 }	(B45+1)	[2626]	BC	15	275
Gush	M	0237	STRAND	C548983-8		Hi In Re		502	ImDv	G4 V	{ 1 }	(D8A+1)	[6A25]	BE	9	1170
Gush	M	0239	Ounash	E420335-7		De He Lo Po Fo	R	504	ImDv	K9 V	{ -3 }	(520-3)	[1135]		8	-45
Gush	I	0327	Fay	A540620-9	N	De He Ni Po		322	ImDv	M0 V M7 V	{ 0 }	(C54+0)	[1614]	B	8	288
Gush	I	0328	Manuri	B543462-B		Ni Po O:0428		902	ImDv	K8 V M8 V	{ 1 }	(834+1)	[1517]	B	9	128
Gush	I	0329	Somit	E55A300-5		Lo Wa Fo	R	200	ImDv	M0 V	{ -3 }	(520-3)	[1111]		12	-45
