Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Gvur	A	0104	Enjtodl	C8A8100-8	Z	Fl Lo		501	ZhCo	K4 V M4 V	{ -2 }	(400-2)	[1113]		12	-8
Gvur	E	0112	Fufoekkfal	E638665-6		Ni (Katl*lalt)		312	VTzE	F9 V	{ -3 }	(851-3)	[4334]		12	-144
Gvur	E	0113	TARAENG	B00098C-A		As Hi In Na Va		212	VTzE	M1 V	{ 4 }	(E8E+4)	[CD8D]		10	7056
Gvur	I	0130	Tjenl	A683865-C		Ri Ph O:		420	ZhCo	G3 V M1 V	{ 3 }	(C7D+3)	[6B3A]		9	3744
Gvur	M	0131	Satlpenzh	B657586-B		Ag Ni Ga		205	ZhCo	K6 V	{ 2 }	(C46+2)	[474A]		11	720
Gvur	M	0137	Chench	D559426-3		Ni		214	ZhCo	K1 IV	{ -3 }	(630-3)	[3142]		12	-72
Gvur	A	0202	Zhenchve’chip	B666558-8		Ag Ni Ga Pr		902	ZhCo	K7 V M9 V	{ 0 }	(944+0)	[5558]		11	180
Gvur	A	0205	Matlmadl	B646730-8		Ag Pi		822	ZhCo	F0 V	{ 1 }	(D69+1)	[2813]		12	819
Gvur	A	0208	Dho Ega	E580653-7		De Ni Ri		510	VTzE	K4 V M7 V	{ -2 }	(852-2)	[3424]		10	-192
Gvur	E	0212	Onagzorrruell	D889737-2		Ri		601	VTzE	K4 V M0 V	{ -1 }	(964-1)	[7652]		13	-252
Gvur	E	0215	Kerkukhaeka	B888554-B		Ag Ni Pr		325	VTzE	K6 V	{ 2 }	(E46+2)	[3739]		10	840
Gvur	E	0216	SAEZGHEN	B200A72-C	K	Hi In Na Va		402	VTzE	M0 V	{ 4 }	(E9F+4)	[6E18]		11	8400
Gvur	E	0220	Telfazagnou	E7A5542-8		Fl Ni		724	VTzE	M3 V	{ -3 }	(D41-3)	[1214]		14	-195
Gvur	I	0221	Aersaedha	B98A88A-8	M	Ri Wa Ph		622	VTzE	F6 V	{ 1 }	(E79+1)	[A97A]		11	1008
Gvur	I	0223	Aedhue	E9C4000-0		Ba Fl		024	VTzE	K0 II	{ -3 }	(200-3)	[0000]		15	-6
Gvur	I	0226	Qanstanze	E73987A-6		Ph		710	ZhCo	M1 V	{ -2 }	(A75-2)	[A678]		9	-800
Gvur	I	0230	Eblonzyerefl	B434210-D		Lo		403	ZhCo	G7 V	{ 1 }	(710+1)	[1318]		13	14
Gvur	M	0231	Tseezh	B000762-B		As Na Va Pi O:		811	ZhCo	M3 V	{ 2 }	(B6C+2)	[3917]		5	1848
Gvur	M	0232	JDIPRQRAFR	B100A99-C	Z	Hi In Na Va		923	ZhCo	M4 III	{ 4 }	(H9F+4)	[BE6D]		10	10200
Gvur	M	0233	Yied	B43677B-C				721	ZhCo	G3 V	{ 2 }	(C6C+2)	[997E]		13	2016
Gvur	M	0235	Pliploranshich	B662611-7		Ni Ri		825	ZhCo	F3 IV	{ 0 }	(854+0)	[2613]		12	192
Gvur	M	0239	Tlrt	B698542-B		Ag Ni An		803	ZhCo	F5 V	{ 2 }	(A46+2)	[1717]		12	600
Gvur	M	0240	Astanch	A541410-D		He Ni Po		301	ZhCo	M0 V	{ 1 }	(734+1)	[1518]		6	112
Gvur	A	0306	Zaerrg	C674683-8		Ag Ni		103	NaVa	K3 V	{ -1 }	(B53-1)	[3525]		10	-198
Gvur	A	0309	Unoldhasaellae	B300687-9		Na Ni Va		510	VTzE	G7 V	{ 0 }	(954+0)	[6659]		4	216
Gvur	E	0317	GZOULAKHGHA	B793ACD-D		Hi In		310	VTzE	K9 V M0 V	{ 4 }	(D9G+4)	[EE9H]		7	8320
Gvur	I	0323	Llathoevaghoe	B673878-A		Ph Pi		410	NaVa	F3 V M3 V	{ 2 }	(B7B+2)	[8A5A]		5	1936
Gvur	I	0325	Dzado	B6A4896-8		Fl Ph		703	NaVa	K3 V	{ 0 }	(D78+0)	[7847]		9	832
