Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Hint	A	0101	Nahru	D100201-7		Lo Va		703	RaRa	G0 V M8 V	{ -3 }	(410-3)	[1113]		12	-24
Hint	A	0102	Halanna	D62A442-7		Ni Wa Fo	R	300	RaRa	M3 V	{ -3 }	(630-3)	[1113]		6	-72
Hint	A	0104	Adar	B100456-A		Ni Va		402	ImDg	M3 V M5 V	{ 1 }	(834+1)	[3549]	B	7	128
Hint	E	0114	Ranlm	C100630-A		Na Ni Va		503	RaRa	M2 V M4 V	{ 0 }	(B54+0)	[1615]		12	264
Hint	E	0116	Shaa	A300842-A		Na Va Ph Pi		600	NaHu	M2 V	{ 2 }	(A7B+2)	[4A16]		4	1760
Hint	E	0120	AQQLE	E9D89B9-4		Hi		822	NaHu	K4 V	{ -1 }	(B86-1)	[A865]		12	-594
Hint	I	0123	Kunlam	D551522-3		Ni Po		613	NaHu	K4 V M4 V	{ -3 }	(741-3)	[1211]		8	-105
Hint	I	0124	Relar	C567669-4		Ag Ni Ri O:		115	NaHu	K1 V M5 V	{ 0 }	(854+0)	[7665]		15	192
Hint	I	0126	Khi	A643500-B		Ni Po		805	NaHu	A4 V G6 V	{ 1 }	(C45+1)	[1616]		12	300
Hint	I	0128	Irdikur	B666777-8		Ag Ga Ri Pz	A	221	SoCf	G4 V	{ 2 }	(C6A+2)	[7958]		10	1680
Hint	M	0131	Krevor	B200686-7		Na Ni Va		115	NaHu	A2 V	{ -1 }	(853-1)	[5546]		17	-144
Hint	M	0134	Byooki	D31079A-7		Na Pi		903	NaHu	M2 V	{ -2 }	(966-2)	[9579]		9	-756
Hint	M	0137	Eki Chi	D200640-7		Na Ni Va		400	NaHu	M2 V	{ -3 }	(851-3)	[1312]		7	-144
Hint	A	0201	Kaggits	A545300-B	KM	Lo		214	RaRa	M1 V	{ 2 }	(A20+2)	[1516]		15	60
Hint	A	0210	Deymun Na	B310352-D	KM	Lo		104	RaRa	K3 V M5 V	{ 2 }	(920+2)	[1519]		11	54
Hint	M	0232	Murlum	C8A5420-8		Fl Ni Da	A	502	SoCf	G1 V M3 V	{ -2 }	(831-2)	[1213]		10	-64
Hint	M	0233	Goromas	C728787-8		Pi		620	NaHu	K1 V M4 V	{ -1 }	(B67-1)	[7658]		10	-539
Hint	M	0238	Ame	C876221-6		Lo		513	NaHu	A3 V M8 V	{ -2 }	(410-2)	[1112]		14	-16
Hint	M	0239	Famerra	E310499-7		Ni		104	NaHu	F4 V	{ -3 }	(630-3)	[5168]		15	-72
Hint	A	0306	Terbain	C98A523-6		Ni Wa Pr		603	NaHu	K3 V M9 V	{ -2 }	(742-2)	[2323]		9	-140
Hint	A	0307	Nii	C310599-B		Ni		803	NaHu	M1 V	{ 0 }	(A44+0)	[656C]		11	200
Hint	E	0311	BERANGE	C428ACB-7		Hi In		414	RaRa	M3 V	{ 1 }	(C9A+1)	[CB79]		16	1200
Hint	E	0315	Gisamuve	C9A6249-8		Fl Lo		605	RaRa	M3 V M7 V	{ -2 }	(910-2)	[3169]		17	-36
Hint	E	0316	Ravane	B7B6675-8		Fl Ni		301	RaRa	F3 V M4 V	{ -1 }	(953-1)	[4536]		8	-162
Hint	E	0317	Herann	C425473-9	S	Ni		603	CsIm	G1 V M6 V	{ -1 }	(932-1)	[1326]		7	-72
Hint	E	0318	Gaggin	D310411-7		Ni		404	NaHu	F7 III	{ -3 }	(630-3)	[1113]		12	-72
Hint	E	0320	Blessed	E20068A-7		Na Ni Va		102	NaHu	F0 V	{ -3 }	(851-3)	[8379]		11	-144
Hint	I	0322	Mire	C66859D-7		Ag Ni Pr		402	NaHu	K3 V	{ -1 }	(743-1)	[949B]		8	-105
Hint	I	0326	Aympe	A6A137A-9	KM	Fl He Lo		223	NaHu	K5 V M1 V	{ 1 }	(A20+1)	[547B]		13	30
Hint	I	0327	Strabbin	B765236-B		Lo Ga Da	A	603	NaHu	M3 V M5 V	{ 1 }	(710+1)	[134A]		11	14
Hint	I	0328	Galazii	B8A3679-8	M	Fl Ni		713	NaHu	K1 V	{ -1 }	(C53-1)	[7569]		11	-216
Hint	M	0334	Kotori	C747654-5		Ag Ni		904	NaHu	G1 IV	{ -1 }	(853-1)	[4533]		13	-144
Hint	M	0337	Tonde Monai	B200200-E	M	Lo Va		215	NaHu	F2 V M1 V	{ 1 }	(A10+1)	[1319]		15	20
Hint	A	0402	Venad	A221621-B		Na Ni Po		324	ImDg	M0 V M6 V	{ 1 }	(E55+1)	[2717]	B	14	420
Hint	A	0406	Dirmidi	E3107CE-7		Na Pi Pz	A	403	NaHu	M0 V M0 V	{ -2 }	(966-2)	[B59B]		11	-756
Hint	A	0407	Gerdane	C000110-7		As Lo Va		901	RaRa	M9 III D	{ -2 }	(300-2)	[1112]		13	-6
Hint	A	0410	Leral	D310411-9		Ni		921	RaRa	A2 V	{ -2 }	(931-2)	[1215]		16	-72
Hint	E	0413	Kandusa	B20076B-7		Na Va Pi O:		804	RaRa	G0 V M8 V	{ 0 }	(968+0)	[9779]		13	504
Hint	E	0417	Galia	D546615-5		Ag Ni		300	NaHu	K5 V M0 V	{ -2 }	(852-2)	[4433]		5	-192
Hint	E	0419	Strend	B2006AA-8		Na Ni Va		113	NaHu	F4 V	{ -1 }	(C53-1)	[857A]		14	-216
Hint	I	0423	Benson	A557200-E		Lo		702	NaHu	M0 V M7 V	{ 1 }	(610+1)	[1319]		10	12
Hint	I	0424	Arkina	B997621-7		Ag Ni		803	NaHu	K9 IV	{ 0 }	(854+0)	[2613]		10	192
Hint	M	0438	Haiiro	E799000-0		Ba		004	NaHu	K5 V	{ -3 }	(200-3)	[0000]		8	-6
