Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Hlak	E	0112	Sailrarliwaw	B554315-B		Lo		322	AsSF	K3 V	{ 1 }	(921-1)	[1439]		12	16
Hlak	E	0117	Yaktyakiy	B678644-9		Ag Ni		500	AsWc	M3 V	{ 1 }	(855-1)	[4737]		7	180
Hlak	E	0120	Akhaw	A10055A-C		Ni Va		304	AsT5	M2 V M1 V	{ 1 }	(B45+3)	[767E]		12	660
Hlak	I	0123	Aihiytiy	D525579-8		Ni		801	AsSc	G1 V	{ -3 }	(841-2)	[6269]		12	26
Hlak	I	0124	Uakhos	D100166-7		Lo Va		902	AsVc	M3 V M3 V	{ -3 }	(311-4)	[1146]		9	2
Hlak	I	0129	Euh	B100486-C	R	Ni Va		604	AsWc	K8 IV	{ 1 }	(A34+1)	[354B]		12	120
Hlak	M	0131	Waueeiweyur	B100375-B		Lo Va		700	AsSc	M2 V M1 V	{ 1 }	(521-1)	[1439]		10	9
Hlak	M	0133	Kyal	A200277-E		Lo Va		522	AsTv	M2 V M8 V	{ 1 }	(811+1)	[235E]		14	8
Hlak	M	0135	Ahryes	A100596-B		Ni Va		923	AsVc	M2 V M4 V	{ 1 }	(C45+1)	[464A]		13	240
Hlak	E	0213	Fyeseih	C548897-8		Pa Ph Pi		600	AsVc	M2 V	{ -1 }	(A77-1)	[8758]		12	441
Hlak	E	0220	Hkiya'aisos	A84568B-A		Ag Ni		310	AsVc	K6 IV M1 V	{ 2 }	(956+4)	[887C]		8	1,080
Hlak	I	0222	Ealeas	B684487-B		Ni Pa		504	AsT3	M3 V M1 V	{ 1 }	(A34+1)	[455B]		13	120
Hlak	M	0235	Hyarleah	C434785-8				104	AsT3	K4 V M5 V	{ -1 }	(D67-3)	[5636]		12	382
Hlak	M	0240	Efeih	A431498-E		Ni Po		604	AsVc	K1 V M3 V	{ 1 }	(A34+1)	[455E]		10	120
Hlak	A	0310	Eaiteweaa'	E3008B6-8		Na Va Ph Pi		423	AsMw	M2 V	{ -2 }	(F76-3)	[7647]		8	441
