Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
	A	0102		?200???-?		Va		?03	ZS	F3 V M7 V					9	0
	A	0105		?310???-?				?13	ZS	K0 V					9	0
	A	0106		?976???-?				?00	ZS	G7 V					15	0
	A	0108		?435???-?				?14	ZS	M3 V M3 V					13	0
	A	0110		?635???-?				?03	ZS	F0 V					12	0
	A	0201		?100???-?		Va		?01	ZS	M2 V K0 V					11	0
	A	0203		?545???-?				?04	ZS	M3 V					9	0
	A	0204		?553???-?		Po		?22	ZS	K5 V					8	0
	A	0208		?100???-?		Va		?04	ZS	M2 V M0 V					11	0
	A	0210		?545???-?				?01	ZS	M0 V M1 V					12	0
	A	0302		?310???-?				?00	ZS	G6 V M4 V					13	0
	A	0303		?310???-?				?00	ZS	M0 V					10	0
	A	0305	Umkarguu	?310???-?				?00	ZS	G3 V M8 V					13	0
	A	0306	Antraillia	?310???-?				?00	ZS	M2 V					11	0
	A	0402		?959???-?		Wa		?22	ZS	G1 V					13	0
	A	0405	Imka	?959???-?		Po		?22	ZS	M2 V					13	0
	A	0407	Merel	?959???-?				?22	ZS	M2 V K1 V					11	0
	A	0409	Ninmah	?959???-?		Va		?22	ZS	M1 V					9	0
	A	0502		?554???-?		Va		?22	ZS	M0 V					8	0
	A	0503		?554???-?		Fl He		?22	ZS	K4 V K4 V					6	0
	A	0509		?554???-?		Fl (Minaurians)		?22	ZS	G9 V					10	0
	A	0510	Shurregaa	?554???-?				?22	ZS	K0 V					10	0
	A	0601		?552???-?				?03	ZS	G4 V					7	0
	A	0603		?552???-?		Va		?03	ZS	M4 V M7 V					8	0
	A	0608		?552???-?		Fl		?03	ZS	M2 V					11	0
	A	0609		?552???-?				?03	ZS	G0 V M2 V					8	0
	A	0701		?544???-?		He Po		?10	ZS	M3 V M2 V					10	0
	A	0707		?544???-?		Po		?10	ZS	G4 V					9	0
	A	0801		?587???-?				?14	ZS	F5 V					13	0
	A	0804		?587???-?				?14	ZS	K2 V					16	0
	A	0805		?587???-?		Fl He		?14	ZS	M1 V K7 V					11	0
	A	0806		?587???-?				?14	ZS	K2 V					14	0
	A	0808		?587???-?				?14	ZS	K2 V M0 V M3 V					11	0
	A	0809		?587???-?				?14	ZS	M2 V					10	0
	B	0903		?632???-?		Fl		?14	ZS	K2 V M2 V					12	0
	B	1002		?559???-?		Va		?04	ZS	M1 V M2 V					9	0
	B	1004		?559???-?		He Po		?04	ZS	M3 V M5 V					13	0
	B	1006		?559???-?		Wa		?04	ZS	K0 V K6 V					15	0
	B	1101		?888???-?		Fl		?20	ZS	M1 V M9 V					14	0
	B	1104		?888???-?		Fl		?20	ZS	K4 IV					9	0
	B	1109		?888???-?		As Va		?20	ZS	M3 V					10	0
	B	1205		?434???-?				?05	ZS	M2 V M7 V					12	0
	B	1208		?434???-?		Wa		?05	ZS	F5 IV					11	0
	B	1209		?434???-?				?05	ZS	K3 V					8	0
	B	1210		?434???-?				?05	ZS	K4 V					10	0
	B	1303		?76A???-?		Va		?03	ZS	M3 V					10	0
	B	1304		?76A???-?				?03	ZS	K2 V					15	0
	B	1305		?76A???-?		Ga		?03	ZS	M3 V					13	0
	B	1401		?A99???-?				?04	ZS	G8 V M0 V					9	0
	B	1402		?A99???-?		Va		?04	ZS	K3 V M7 V					9	0
	B	1406		?A99???-?		As Va		?04	ZS	K4 V					11	0
	B	1408		?A99???-?		Va		?04	ZS	M2 V M7 V					12	0
	B	1409		?A99???-?				?04	ZS	G3 V					12	0
	B	1505		?656???-?		Va		?04	ZS	K2 V M1 V					10	0
	B	1506		?656???-?				?04	ZS	G3 V M7 V					8	0
	B	1508		?656???-?		Ga		?04	ZS	G7 V					10	0
	B	1602		?100???-?				?03	ZS	K3 V M4 V					14	0
	B	1603		?100???-?				?03	ZS	G3 V					10	0
	B	1605		?100???-?		(Mockmoles)		?03	ZS	G2 V					10	0
	B	1606		?100???-?		Va		?03	ZS	M1 V M3 V					7	0
	B	1608		?100???-?		He		?03	ZS	F3 V K5 V F1 V					10	0
	C	1701		?566???-?		Wa		?13	ZS	G4 V					17	0
	C	1703	Isdirra	?566???-?		Va		?13	ZS	M2 V					7	0
	C	1710		???????-?				?13	Na	M2 V M6 V					6	0
	C	1801		?432???-?		He		?02	ZS	K1 V M1 V					13	0
	C	1803		?432???-?				?02	ZS	G3 V					8	0
	C	1804		?432???-?				?02	ZS	K3 V M1 V					6	0
	C	1807		???????-?				?02	Na	K0 V					11	0
	C	1901		?739???-?				?14	ZS	G4 V					5	0
	C	1903		?739???-?		As Va		?14	ZS	M3 V					14	0
	C	1904		?739???-?		As Va		?14	ZS	K4 V					15	0
	C	1907		???????-?				?14	Na	K3 V K0 V					14	0
	C	1909		???????-?				?14	Na	K4 V M9 V					11	0
	C	2001		???????-?				?00	Na	M1 V					11	0
	C	2009		???????-?				?00	Na	G7 V					11	0
	C	2101		???????-?				?04	Na	G4 V M0 V					9	0
	C	2103		???????-?				?04	Na	K7 V M0 V					13	0
	C	2106		???????-?				?04	Na	K3 V					13	0
	C	2108		???????-?				?04	Na	G3 V M5 V					10	0
	C	2201		???????-?				?00	Na	K4 V					9	0
	C	2301		???????-?				?20	Na	K2 V					12	0
	C	2305		???????-?				?20	Na	K6 V					12	0
	C	2401		???????-?				?14	Na	M0 V M5 V					10	0
	C	2404		???????-?				?14	Na	K4 V K5 V					11	0
	C	2405		???????-?				?14	Na	G6 V					13	0
	C	2408		???????-?				?14	Na	K3 V					16	0
	C	2410		???????-?				?14	Na	G7 V					12	0
	D	2501		???????-?				?13	Na	M2 V					15	0
	D	2505		???????-?				?13	Na	M2 V M3 V M4 V					12	0
	D	2510		???????-?				?13	Na	M3 V M4 V					13	0
	D	2605		???????-?				?30	Na	M1 V					8	0
	D	2607		???????-?				?30	Na	F0 V M3 V					17	0
	D	2610		???????-?				?30	Na	M1 V					12	0
	D	2701		???????-?				?11	Na	K2 V					10	0
	D	2704		???????-?				?11	Na	K1 V					12	0
	D	2706		???????-?				?11	Na	F3 V					8	0
	D	2710		???????-?				?11	Na	M2 V					11	0
	D	2801		???????-?				?00	Na	G8 V M3 V					10	0
	D	2805		???????-?				?00	Na	M1 V M3 V					9	0
	D	2902		???????-?				?10	Na	M1 V					15	0
	D	2905		???????-?				?10	Na	G2 V					14	0
	D	2906		???????-?				?10	Na	K2 V					8	0
	D	2908		???????-?				?10	Na	K9 V					8	0
	D	3001		???????-?				?00	Na	K1 V M0 V					9	0
	D	3003		???????-?				?00	Na	K3 V M2 V					9	0
	D	3004		???????-?				?00	Na	K4 V					9	0
	D	3007		???????-?				?00	Na	M3 V M5 V					14	0
