Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar
0210		???????-?								?23	11	Na	M2 V
0407		???????-?								?23	16	Na	M0 V M6 V
0409		???????-?								?02	11	Na	M1 V M2 V
0410		???????-?								?03	9	Na	M2 V
0507		???????-?								?00	14	Na	M3 V
0510		???????-?								?23	8	Na	M1 V M8 V
0608		???????-?								?23	10	Na	G3 V
0705		???????-?								?04	15	Na	K3 V
0707		???????-?								?13	9	Na	M2 V
0709		???????-?								?04	11	Na	K4 V
0710		???????-?								?15	11	Na	M3 V
0805		???????-?								?12	13	Na	G2 V
0807		???????-?								?33	12	Na	M2 V
0808		???????-?								?13	17	Na	K0 V
0810		???????-?								?13	12	Na	M2 V
0904		???????-?								?00	9	Na	M2 V M2 V
0909		???????-?								?24	10	Na	K2 V
1003		???????-?								?02	7	Na	K6 V M2 V
1004		???????-?								?22	10	Na	K8 V M6 V M7 V
1006		???????-?								?22	10	Na	G4 V
1008		???????-?								?25	12	Na	K4 V
1101		???????-?								?05	11	Na	M6 III M2 V
1104		???????-?								?02	11	Na	M0 V M2 V
1107		???????-?								?04	14	Na	K3 V M5 V
1108		???????-?								?00	10	Na	M2 V
1202		???????-?								?14	10	Na	K3 V
1204		???????-?								?05	8	Na	M2 V M7 V
1206		???????-?								?03	9	Na	M3 V K0 V
1301		???????-?								?10	6	Na	M3 V
1303		???????-?								?03	8	Na	G2 V M7 V
1304		???????-?								?01	8	Na	M1 V M0 V
1308	Siikanaa	?627???-?								?13	11	ZS	M2 V
1405		???????-?								?13	11	Na	M0 V
1406		???????-?								?24	15	Na	F4 V K1 V M3 V
1408		?433???-?	Po							?02	13	ZS	M2 V M2 V
1502		???????-?								?23	9	Na	K4 V M8 V
1505		???????-?								?00	10	Na	M2 V M1 V
1506		???????-?								?04	12	Na	M0 V
1508		?300???-?	Va							?04	7	ZS	M2 V M9 V
1509	Vaarini	?556???-?								?04	16	ZS	K6 V M6 V
1510		?778???-?								?04	8	ZS	K0 V
1608		?675???-?								?23	10	ZS	M3 V
1701		?8D3???-?								?04	11	ZS	M0 V
1705		???????-?								?04	7	Na	M2 V
1708		?400???-?	Va							?02	11	ZS	M2 V M2 V
1802	Naagishda	?200???-?	Va							?15	9	ZS	M3 V K8 V
1810	Shigakham	?100???-?	Va							?04	7	ZS	M2 V
1901		?694???-?								?14	15	ZS	M1 V
1902	Ikkusham	?100???-?	Va							?02	8	ZS	K3 V M6 V
1903		?100???-?	Va							?00	8	ZS	M2 V
1904		?300???-?	Va							?13	11	ZS	M2 V
1907		?737???-?								?23	15	ZS	G2 V M2 V
1909		?310???-?								?04	7	ZS	G8 V
2001	Zazish	?63A???-?	Wa							?01	11	ZS	G0 V
2004	Zagiku	?424???-?								?15	9	ZS	K4 V
2005	Maduun	?538???-?								?04	10	ZS	K7 V
2007		?544???-?								?03	9	ZS	M3 V M2 V
2009	Epkiip	?894???-?								?12	10	ZS	G0 V
2010		?84A???-?	Wa							?13	9	ZS	K2 V
2102		?78A???-?	Wa							?11	12	ZS	M2 V
2107		?645???-?								?10	5	ZS	M2 V K7 V
2108	Botirill	?637???-?								?25	10	ZS	M3 V M1 V
2109	Shurugashad	?000???-?	As Va							?04	8	ZS	G9 V
2202	Memmmulid	?998???-?								?04	7	ZS	K8 V
2203		?84A???-?	Wa							?02	15	ZS	M2 V M3 V
2301	Seddon	?96A???-?	Wa							?05	8	ZS	G2 V
2303	Dibnah	?794???-?								?02	12	ZS	M0 V M6 V
2306		?769???-?								?12	11	ZS	G1 V M4 V
2310	Broguun	?100???-?	Va							?03	9	ZS	F1 V M0 V
2401		?100???-?	Va							?13	10	ZS	K3 V
2404	Giinaca	?581???-?								?03	10	ZS	K4 V M1 V
2405		?432???-?	Po							?05	12	ZS	M1 V
2406		?100???-?	Va							?00	10	ZS	K7 V
2408		?000???-?	As Va							?00	7	ZS	F2 V M7 V
2409	Lesiuii	?562???-?								?11	12	ZS	K2 V
2410	Maiiu	?100???-?	Va							?10	10	ZS	M7 III M5 V
2501	Alikaanii	?532???-?	Po							?00	9	ZS	M0 V
2504	Pharnaaka	?545???-?								?14	11	ZS	M2 V M6 V
2509		?766???-?	Ga							?00	8	ZS	M1 V M9 V
2603		?788???-?								?23	8	ZS	G5 V
2606		?541???-?	He Po							?03	14	ZS	M0 V
2610		?300???-?	Va							?03	12	ZS	M2 V
2702		?553???-?	Po							?05	17	ZS	M2 V
2705	Caarimii	?300???-?	Va							?03	11	ZS	M1 V
2706	Karguulam	?A97???-?								?14	8	ZS	K0 V
2708		?636???-?								?00	7	ZS	M1 V
2803		?985???-?								?14	12	ZS	K6 V
2806		?86A???-?	Wa							?23	14	ZS	K9 V M7 V
2901		?89A???-?	Wa							?02	8	ZS	M1 V M7 V
2902		?525???-?								?00	11	ZS	M1 V
2904		?678???-?								?02	8	ZS	M2 V
2908		?552???-?	Po							?02	7	ZS	K4 V M3 V
2909		?310???-?								?13	7	ZS	M1 V M7 V
3001		?869???-?								?24	9	ZS	M2 V
3003		?100???-?	Va							?05	11	ZS	M2 V M1 V
3006		?566???-?								?13	13	ZS	M0 V
3010		?593???-?								?13	9	ZS	M1 V
3108	Zuuragaath	?200???-?	Va							?02	10	ZS	K1 V
3201	Helaguuran	?000???-?	As Va							?14	14	ZS	G5 II D
3203		?996???-?								?13	12	ZS	M2 V
3204		?432???-?	Po							?21	13	ZS	K2 V
3206		?782???-?								?04	15	ZS	M0 V
3208	Aduulikgaa	?310???-?								?14	11	ZS	K2 V
3210		?985???-?								?05	8	ZS	G0 V
0112		???????-?								?03	11	Na	M0 V
0114		???????-?								?00	10	Na	K3 V
0120		???????-?								?03	13	Na	M2 V
0220		???????-?								?04	11	Na	K5 IV M3 V
0316		???????-?								?24	10	Na	F4 V M7 V
0317		???????-?								?02	11	Na	M0 V M6 V
0320		???????-?								?02	13	Na	M1 V
0411		???????-?								?03	10	Na	M2 V M0 V M0 V
0420		???????-?								?10	5	Na	M1 V
0516		???????-?								?23	10	Na	M2 V
0611		???????-?								?04	7	Na	G2 V
0613		???????-?								?02	13	Na	M1 V M9 V
0615		???????-?								?13	17	Na	M1 V
0714		???????-?								?01	9	Na	K9 V
0718		???????-?								?13	7	Na	K2 V M0 V
0720		???????-?								?03	6	Na	G3 V
0817		???????-?								?03	9	Na	M1 V M2 V
0820		???????-?								?03	15	Na	M1 V
0912		???????-?								?02	10	Na	K6 V
0913		???????-?								?14	8	Na	M2 V
0916		???????-?								?13	12	Na	M0 V
1012		???????-?								?01	13	Na	K9 V M9 V
1113		???????-?								?02	8	Na	K6 V M9 V
1114		???????-?								?14	12	Na	K1 V
1118		???????-?								?25	10	Na	K1 V
1119		???????-?								?12	9	Na	M0 V
1214		???????-?								?02	9	Na	K9 II M6 V M5 V
1216		???????-?								?00	10	Na	K7 V
1219		???????-?								?14	15	Na	M2 V
1317		???????-?								?25	12	Na	M1 V
1320		???????-?								?01	16	Na	K0 V
1411	Ulikaari	?100???-?	Va							?02	9	ZS	M1 V M2 V
1413		?772???-?	He							?13	17	ZS	K3 V
1415		???????-?								?03	10	Na	M0 V
1511		?100???-?	Va							?01	12	ZS	M0 V M2 V
1512		?A5A???-?	Oc							?02	16	ZS	M2 V M9 V
1513		?571???-?	He							?14	8	ZS	M2 V K0 V
1520		???????-?								?24	12	Na	M2 V
1612		?000???-?	As Va							?04	10	ZS	K8 IV
1614		???????-?								?14	12	Na	K1 V M0 V
1615		???????-?								?02	9	Na	M2 V
1616		???????-?								?03	13	Na	K2 V
1617		???????-?								?33	9	Na	K1 V M2 V
1618		???????-?								?03	11	Na	G6 V
1711	Kikish	?000???-?	As Va							?10	5	ZS	K1 V M2 V
1712	Kiinia	?AD9???-?								?13	8	ZS	M1 V M8 V M7 V
1716		???????-?								?05	8	Na	M2 V
1811		?769???-?								?33	14	ZS	M1 V
1812	Enlu	?544???-?								?03	13	ZS	G9 V M1 V
1818		???????-?								?00	13	Na	K2 V
1819		???????-?								?24	13	Na	M0 V
1820		???????-?								?05	9	Na	M1 V
1911	Kagusamar	?200???-?	Va							?24	9	ZS	K3 V
1916	Girgaleka	?427???-?								?25	10	ZS	M2 V
2011	Unkashe	?549???-?								?24	12	ZS	M0 V
2013	Kukisakuga	?9D4???-?								?25	10	ZS	K8 V M8 V
2014	Amdani	?865???-?	Ga							?04	13	ZS	M3 V
2015	Agukikhiga	?879???-?								?13	12	ZS	M3 V
2020		???????-?								?23	11	Na	K0 V
2111		?310???-?								?01	11	ZS	M3 V M2 V
2113	Ahmun	?100???-?	Va							?12	9	ZS	K3 V M5 V
2116		?AF5???-?								?13	10	ZS	M1 V M7 V
2119		???????-?								?23	14	Na	K3 V M5 V
2212		?541???-?	He Po							?14	14	ZS	K2 V
2214		?435???-?								?03	13	ZS	M0 V M2 V M7 V
2217		???????-?								?00	10	Na	G3 V
2311		?667???-?	Ga							?04	13	ZS	M2 V M1 V
2316		???????-?								?00	11	Na	K0 V
2319		???????-?								?22	12	Na	A1 V
2320		???????-?								?13	9	Na	M3 V
2411		?426???-?								?00	11	ZS	M2 V
2413		???????-?								?00	10	Na	F4 V G9 V
2415		???????-?								?02	12	Na	K1 V M0 V
2419		???????-?								?02	12	Na	M1 V
2611		?535???-?								?01	14	ZS	G0 V
2712		?569???-?								?00	10	ZS	M1 V
2713		?200???-?	Va							?01	14	ZS	A7 V M1 V M6 V
2714		?638???-?								?03	9	ZS	M3 V M5 V
2716		???????-?								?04	10	Na	K0 V
2718		?596???-?								?11	12	ZS	M0 V M4 V
2720		???????-?								?14	12	Na	K2 V M0 V
2815		???????-?								?22	7	Na	K1 V
2818		?100???-?	Va							?13	12	ZS	K4 V
2912		?100???-?	Va							?24	9	ZS	M0 V
2913		?542???-?	He Po							?24	9	ZS	M2 V
2915		???????-?								?00	15	Na	G1 V
2918		?754???-?								?03	13	ZS	K1 V
3012		?423???-?	Po							?20	14	ZS	M1 V M3 V
3013		?9D4???-?								?00	13	ZS	G4 V M3 V
3016		?773???-?								?15	14	ZS	K6 V
3020		?585???-?	(Evantha)							?04	13	ZS	M1 V M4 V
3115		?200???-?	Va							?33	9	ZS	K3 V
3116		?544???-?								?12	10	ZS	M2 V
3211		?100???-?	Va							?01	7	ZS	G2 V M0 V
3218		???????-?								?04	15	Na	K5 V M3 V
0122		???????-?								?02	8	Na	K3 V
0123		???????-?								?04	8	Na	M2 V
0124		???????-?								?14	8	Na	K6 V
0126		???????-?								?01	17	Na	M1 V M7 V
0127		???????-?								?03	7	Na	K0 V
0223		???????-?								?24	9	Na	M1 V M1 V
0228		???????-?								?10	9	Na	M1 V M0 V
0323		???????-?								?04	9	Na	G7 V
0324		???????-?								?20	12	Na	K0 V M1 V
0326		???????-?								?14	11	Na	M1 V M9 V
0327		???????-?								?05	15	Na	K2 V
0328		???????-?								?14	13	Na	M3 V M4 V
0330		???????-?								?04	14	Na	M1 V
0424		???????-?								?04	13	Na	K5 V
0429		???????-?								?03	10	Na	G7 V
