Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar			
0102		???????-?					-	-	-	?00	6	Na	G3 V M2 V			
0104		???????-?					-	-	-	?03	9	Na	M0 V			
0105		???????-?					-	-	-	?13	7	Na	M1 V			
0106		???????-?					-	-	-	?10	7	Na	G2 V			
0203		???????-?					-	-	-	?14	13	Na	F9 V G9 V			
0205		???????-?					-	-	-	?03	8	Na	G9 V			
0208		???????-?					-	-	-	?22	13	Na	F4 V G3 V			
0210		???????-?					-	-	-	?03	12	Na	K1 V			
0303		???????-?					-	-	-	?14	16	Na	G0 V K9 V			
0305		???????-?					-	-	-	?10	10	Na	F7 V			
0308		???????-?					-	-	-	?13	10	Na	G4 V K2 V			
0309		???????-?					-	-	-	?20	6	Na	M1 V			
0310		???????-?					-	-	-	?04	10	Na	M0 V M2 V			
0403		???????-?					-	-	-	?14	16	Na	F1 V			
0404		???????-?					-	-	-	?03	13	Na	K3 V			
0409		???????-?					-	-	-	?13	13	Na	G7 V			
0502		???????-?					-	-	-	?03	8	Na	K3 V M0 V			
0503		???????-?					-	-	-	?04	13	Na	G3 V			
0504		???????-?					-	-	-	?00	11	Na	M1 V			
0505		???????-?					-	-	-	?10	10	Na	M1 V			
0509		???????-?					-	-	-	?05	11	Na	F9 V M8 V			
0601		???????-?					-	-	-	?00	8	Na	G4 V			
0602		???????-?					-	-	-	?02	10	Na	G8 V M1 V			
0605		???????-?					-	-	-	?13	13	Na	G4 V			
0608		???????-?					-	-	-	?03	11	Na	K8 V			
0701		???????-?					-	-	-	?23	13	Na	K6 V			
0703		???????-?					-	-	-	?22	10	Na	M0 V			
0705		???????-?					-	-	-	?00	6	Na	K8 V			
0707		???????-?					-	-	-	?15	13	Na	G7 V M0 V			
0708		???????-?					-	-	-	?00	10	Na	F5 V			
0710		???????-?					-	-	-	?00	7	Na	M2 V M2 V			
0804		???????-?					-	-	-	?03	12	Na	K5 V			
0805		???????-?					-	-	-	?00	8	Na	M2 V M3 V			
0807		???????-?					-	-	-	?03	12	Na	M2 V			
0808		???????-?					-	-	-	?13	9	Na	G9 V			
0809		???????-?					-	-	-	?24	15	Na	G9 V			
0902		???????-?					-	-	-	?24	19	Na	G5 V M4 V			
0903		???????-?					-	-	-	?00	8	Na	F4 V M1 V			
0904		???????-?					-	-	-	?24	17	Na	G4 V			
0910		???????-?					-	-	-	?03	12	Na	M0 V M8 V			
1002		???????-?					-	-	-	?02	13	Na	F3 V M1 V K4 V			
