Hex	Name	UWP	Remarks	B	Z	PBG	W	A	Stellar
0105		???????-?		-	-	?12	9	ZS	M0 V M2 V
0106		???????-?		-	-	?23	11	ZS	M0 V M4 V M0 V
0110	Iddamakur	?779???-?		-	-	?03	11	Na	M1 V M0 V
0207		???????-?		-	-	?34	10	ZS	K5 V
0301		???????-?		-	-	?04	8	ZS	F7 V M3 V
0304		???????-?		-	-	?03	6	ZS	M1 V M6 V
0308		???????-?		-	-	?03	14	ZS	K4 V
0405		???????-?		-	-	?00	9	ZS	F6 V
0407		???????-?		-	-	?02	11	ZS	M1 V
0501		???????-?		-	-	?23	8	ZS	M2 V
0502		???????-?		-	-	?02	8	ZS	M1 V
0509		???????-?		-	-	?00	13	ZS	K4 V M6 V
0604		???????-?		-	-	?20	13	ZS	G3 V
0606		???????-?		-	-	?25	11	ZS	K0 III M4 V
0609		???????-?		-	-	?00	9	ZS	M3 V M1 V
0610	Nukaash	C547???-?		-	-	?20	11	ZS	M1 V M5 V
0701		???????-?		-	-	?05	11	ZS	F5 IV
0703		???????-?		-	-	?20	14	ZS	M1 V
0704		???????-?		-	-	?12	13	ZS	F6 V
0706		???????-?		-	-	?25	11	ZS	M0 V M7 V
0807		???????-?		-	-	?12	14	ZS	M2 V
0809		???????-?		-	-	?10	11	ZS	M2 V
0902		???????-?		-	-	?13	10	ZS	M3 V M8 V
0903		???????-?		-	-	?12	14	ZS	M0 V M6 V
0907		???????-?		-	-	?22	10	ZS	M3 V M8 V
0909		???????-?		-	-	?12	6	ZS	M1 V
0910	Marigan	?8AA???-?	Fl	-	-	?22	7	ZS	M3 V
1002		???????-?		-	-	?22	7	ZS	M2 V M3 V
1007		???????-?		-	-	?14	10	ZS	M0 V
1105		???????-?		-	-	?10	11	ZS	M1 V M7 V
1107		???????-?		-	-	?23	13	ZS	M1 V
1110	Shigi	?311???-?	Ic	-	-	?35	11	ZS	F2 V
1201		???????-?		-	-	?12	10	ZS	F4 V M3 V
1202		???????-?		-	-	?14	9	ZS	M1 V
1205		???????-?		-	-	?00	14	ZS	K2 V
1207		???????-?		-	-	?23	15	ZS	F6 V M3 V
1304		???????-?		-	-	?12	13	ZS	M1 V
1306		???????-?		-	-	?20	10	ZS	G5 V
1402		???????-?		-	-	?12	15	ZS	M1 V
1404		???????-?		-	-	?02	11	ZS	M2 V
1405		???????-?		-	-	?12	14	ZS	M1 V K9 V M8 V
1406		???????-?		-	-	?10	14	ZS	M1 V
1504		???????-?		-	-	?02	12	ZS	M1 V
1505		???????-?		-	-	?14	12	ZS	M1 V M0 V
1507		???????-?		-	-	?20	8	ZS	A9 V M8 V
1510	Imarir	?550???-?	De	-	-	?34	11	ZS	M3 V
1604		???????-?		-	-	?02	9	ZS	G4 V
1607		???????-?		-	-	?02	14	ZS	K0 V
1609		???????-?		-	-	?25	10	ZS	K7 V
1705		???????-?		-	-	?11	12	ZS	G0 V
