Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ilel	A	0101	Harding	B100324-E		Lo Va		120	ImDi	K4 V	{ 1 }	(720-1)	[143C]	B	8	-14
Ilel	A	0102	Lorne	B546849-8		Pa Ph Pi		600	ImDi	F5 V M5 V	{ 0 }	(A78+1)	[9869]	BcDe	9	560
Ilel	A	0108	Eufemia	B599699-B		Ni		312	ImDi	M2 V	{ 1 }	(B55+2)	[776C]	B	14	550
Ilel	A	0110	Randall	B541533-A		He Ni Po		414	ImDi	F4 V	{ 1 }	(C45-2)	[2627]	B	13	-480
Ilel	E	0113	McCoy	E42347B-7		Ni Po		901	ImDi	M2 V M3 V	{ -3 }	(630-1)	[6179]	B	11	-18
Ilel	E	0116	Fearghal	B430437-B		De Ni Po		902	ImDi	M2 V	{ 1 }	(834+1)	[455B]	B	11	96
Ilel	I	0127	Tyr	A565200-E		Lo		413	ImDi	M2 V	{ 1 }	(810-3)	[1319]	B	7	-24
Ilel	I	0128	Welles	B893249-B	NS	Lo		603	ImDi	F5 V	{ 2 }	(710+3)	[346C]	B	12	21
Ilel	M	0132	Antwerp	D994411-7	S	Ni Pa		410	ImDi	G6 V	{ -3 }	(630-5)	[1113]	Bc	13	-90
Ilel	M	0133	Rozumund	B765100-B		Lo Ga		103	ImDi	F8 V M5 V	{ 1 }	(610-3)	[1216]	B	12	-18
Ilel	A	0204	De Camsall	B546489-8		Ni Pa		720	ImDi	M3 V M6 V	{ -1 }	(832+0)	[5369]	Bc	17	48
Ilel	A	0205	Kiril	B544310-B		Lo Da	A	102	ImDi	M1 V	{ 1 }	(720-3)	[1416]	B	13	-42
Ilel	A	0206	Darven Limner	C576530-9		Ag Ni		900	ImDi	M3 V	{ 0 }	(744-4)	[1514]	BC	8	-448
Ilel	A	0207	NASI	B200986-E	N	Hi In Na Va		102	ImDi	F5 V M9 V M0 V	{ 4 }	(D8G+3)	[8D4D]	BEf	13	4992
Ilel	A	0208	Winthrop	B786540-B		Ag Ni Ga Pr		810	ImDi	F9 V	{ 2 }	(846-2)	[1716]	BcC	18	-384
Ilel	A	0209	Byrne	A552758-C		Po		302	ImDi	M2 V	{ 2 }	(B6C+2)	[795C]	B	11	1584
Ilel	E	0211	Saper	B535304-D	N	Lo		924	ImDi	M1 V	{ 1 }	(B20-1)	[143B]	B	10	-22
Ilel	E	0212	Seke	A654120-A		Lo		600	ImDi	M0 V	{ 1 }	(310-3)	[1215]	B	13	-9
Ilel	E	0217	Heridd	A310105-F		Lo		204	ImDi	M1 V M0 V	{ 1 }	(710-1)	[123D]	B	9	-7
Ilel	E	0218	Geldall	E8B48B9-8		Fl Ph		222	ImDi	F1 V	{ -2 }	(E76-1)	[9669]	Be	7	-588
Ilel	E	0220	Gons	A310331-E		Lo		300	ImDi	M1 V M3 V	{ 1 }	(520-3)	[141A]	B	8	-30
Ilel	I	0226	Allentown	CA8A230-6		Lo Oc Wa		500	ImDi	F6 V M3 V	{ -2 }	(410-5)	[1111]	B	13	-20
Ilel	I	0227	Willlelmo	A798748-C		Ag Pi		503	ImDi	K2 V	{ 3 }	(C6D+3)	[7A5C]	BCD	12	2808
Ilel	M	0231	Neala	B756464-8		Ni Ga Pa O:0532		115	ImDi	F6 V	{ -1 }	(C32-3)	[2336]	Bc	13	-216
Ilel	M	0232	Tharthar	E528555-9		Ni		103	ImDi	M2 V G4 V	{ -2 }	(A42-4)	[3337]	B	6	-320
Ilel	M	0233	Gwlsdys	A424677-B		Ni		324	ImDi	M2 V	{ 1 }	(E55+1)	[675B]	B	10	350
Ilel	A	0303	Woodlawn	B4228AB-C		He Na Po Ph Pi		520	ImDi	M1 V	{ 2 }	(C7C+4)	[AA7E]	BDe	7	4032
Ilel	A	0305	Astea	D94A79A-5		Wa Pi		404	ImDi	G2 V M4 V	{ -2 }	(965+0)	[9577]	BD	11	270
Ilel	A	0307	TYLIO	B646A75-E		Hi In		805	ImDi	M1 V	{ 4 }	(H9G+2)	[8E3C]	BEf	8	4896
Ilel	A	0309	Earnest	B5587AB-A	N	Ag		601	ImDi	F7 V M4 V	{ 3 }	(A6C+5)	[9A7C]	BC	9	3600
Ilel	E	0312	Tunis	B565598-8	N	Ag Ni Pr Da	A	204	ImDi	F9 V M5 V	{ 0 }	(B44+0)	[5558]	BcC	15	176
Ilel	E	0313	Kerim	B310677-A	N	Na Ni Da	A	204	ImDi	M1 V M4 V	{ 1 }	(C55+1)	[675A]	B	13	300
Ilel	E	0314	Serbia	E310532-9		Ni		703	ImDi	M0 III	{ -2 }	(A42-5)	[1315]	B	8	-400
Ilel	E	0315	Leuet	B542666-A		He Ni Po O:0313		604	ImDi	M0 V	{ 1 }	(C55+0)	[5749]	B	9	300
Ilel	E	0316	Byrland	D557566-7		Ag Ni O:0313		112	ImDi	M0 V M6 V	{ -2 }	(742-3)	[4346]	BC	10	-168
Ilel	E	0318	Bohemia	B879887-8		Ph Pi		802	ImDi	G7 V	{ 0 }	(C78+0)	[8858]	BDe	7	672
Ilel	E	0319	Gwenhwyvar	A795424-C	N	Ni Pa		200	ImDi	G4 V M2 V	{ 1 }	(634-1)	[253A]	Bc	11	-72
Ilel	I	0322	Allanon	DAD6331-7		Lo		504	ImDi	M1 V M7 V	{ -3 }	(520-5)	[1113]	B	13	-50
Ilel	I	0328	Irvine	B849401-C		Ni		414	ImDi	M2 V	{ 1 }	(B34-3)	[1518]	B	8	-396
Ilel	I	0330	REKAGUN	D426A85-C	S	Hi In		602	ImDi	F3 V M2 V	{ 2 }	(E9D+0)	[8C3A]	BE	7	1638
Ilel	M	0331	Ambolphudrius	B510400-B		Ni		803	ImDi	F3 V	{ 1 }	(934-3)	[1516]	B	12	-324
Ilel	A	0401	EGGII	B300979-E		Hi In Na Va		905	ImDi	F2 V M7 V	{ 4 }	(G8G+5)	[AD6F]	BEf	12	10240
Ilel	A	0402	Grannoth	B671547-B		He Ni		210	ImDi	M2 V M1 V	{ 1 }	(845+1)	[565B]	B	9	160
Ilel	A	0403	ANSHA	E5529DD-6		Hi Po		805	ImDi	F8 V	{ -1 }	(B87+3)	[D89A]	BE	9	1848
Ilel	A	0406	KKIKLA	D693AAB-A		Hi In		103	ImDi	G2 V	{ 2 }	(F9C+4)	[CC7C]	BE	6	6480
Ilel	A	0407	Salvatore	A888533-D		Ag Ni Pr		413	ImDi	F0 V M6 V	{ 2 }	(B46-1)	[272A]	BcC	13	-264
Ilel	A	0409	Wei	BAC8433-B		Fl Ni		803	ImDi	M0 V M6 V	{ 1 }	(934-2)	[1528]	B	8	-216
