Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Kfaz	A	0206	Ganknouga	C898310-6		Lo Ni		110	Va	F4 V						0
Kfaz	A	0210	Dzonue	B000554-A		As Ni		103	Va	K4 V M6 V						0
Kfaz	A	0304	Gadzokugz	C580220-2		De Lo Ni		410	Va	K0 V D						0
Kfaz	A	0306	Kirgvueng	B100699-C	C	Na Ni Va		602	Va	M0 V						0
Kfaz	A	0401	Nukodhorrg	C334668-4		Ni		210	Va	F3 V						0
Kfaz	A	0409	Lurreksoesae	B898687-7	K	Ag Ni		600	Va	F5 V						0
Kfaz	A	0505	Aegong	CA8A68B-8	K	Ni Wa		523	Va	F0 V F7 V D						0
Kfaz	A	0507	Kaeuvo	A56189B-B	K	Ri		203	Va	K4 V						0
Kfaz	A	0508	Zuengoenodhu	A55668A-8	K	Ag Ni		905	Va	F7 V						0
Kfaz	A	0509	Soefe	C655147-5		Lo Ni		710	Va	F6 V						0
Kfaz	A	0601	Ksoekadhao	B425400-E	K	Ni		504	Va	F4 V						0
Kfaz	A	0602	Llaengkusous	C552757-5	C	Po		401	Va	F8 V						0
Kfaz	A	0607	Knuougnouks	E140477-7	C	De Ni Po		504	Va	F8 V						0
Kfaz	A	0702	Suegaeknaee	B322566-9		Ni Po		110	Va	F8 V F5 II						0
Kfaz	A	0709	Koungeksdoth	C432232-5	C	Lo Ni Po		102	Va	M4 V						0
Kfaz	A	0809	Koighousaedh	C5A3545-5	K	Fl Ni		413	Va	K1 V						0
Kfaz	A	0810	Knaaedo	C210300-7	K	Lo Ni		503	Va	M6 V						0
Kfaz	B	0902	Sueksaeth	C756000-2	K	Ba Lo Ni		303	Va	F1 V D						0
Kfaz	B	0903	Zanghaerr	B662559-8		Ni		205	Va	F5 V						0
Kfaz	B	1003	Thirang	A744757-D	K	Ag		115	Va	M7 V D						0
Kfaz	B	1005	Khadhaara	D7A1872-6	CK	Fl		906	Va	F7 V D						0
Kfaz	B	1101	Noughoukgo	D755452-7		Ni		517	Va	F5 V K1 V D						0
Kfaz	B	1109	Uvuekadh	C55448A-8	K	Ni		510	Va	F4 V						0
Kfaz	B	1204	Gzetuekenoe	C223774-7		Na Po		921	Va	F0 V M8 V						0
Kfaz	B	1208	Nerzvughaers	E583100-3		Lo Ni		403	Va	F6 V						0
Kfaz	B	1309	Rarroerrtus	D264945-5	C	Hi In		804	Va	F6 V						0
Kfaz	B	1310	Vanagolarrou	C835676-2	C	Ni		701	Va	M7 II						0
Kfaz	B	1405	Saekhongukou	C95A794-6	K	Wa		308	Va	F9 V M4 V D						0
Kfaz	B	1408	Gvousognu	A000966-D	K	As Hi Na		714	Va	D						0
Kfaz	B	1503	Sugall	E4777BA-5		Ag		101	Va	F9 V						0
Kfaz	B	1504	Tizoz	B6A0327-C	C	De Lo Ni		103	Va	G0 V M4 V						0
Kfaz	B	1505	Garrunnaeng	C310473-8	C	Ni		703	Va	M1 V D						0
Kfaz	B	1605	Roungokallso	C100655-6	K	Na Ni Va		702	Va	M0 V						0
Kfaz	C	1703	Knungsuerir	B202576-9		Ic Ni Va		513	Va	M2 V						0
Kfaz	C	1710	Dzofoun	C230857-4		De Na Po		711	Va	K3 V						0
Kfaz	C	1803	Knotuoksu	E000415-9		As Ni		821	Va	F4 V D						0
Kfaz	C	1905	Agorrirrar	C633675-3	C	Na Ni Po		116	Va	K7 V M4 V D						0
Kfaz	C	1906	Lluethou	E412653-5		Ic Na Ni		901	Va	F6 V D						0
Kfaz	C	1907	Koengko	C68A69A-5	C	Ni Ri Wa		421	Va	F3 V						0
Kfaz	C	2002	Reru	A5958CB-9				906	Va	F9 V M0 V F6 V D						0
Kfaz	C	2003	Ruerrrrur	C8C3877-7		Fl		504	Va	F5 V D						0
Kfaz	C	2103	Zaluerukhs	D371205-9	K	Lo Ni		801	Va	K9 V						0
Kfaz	C	2107	Zifoenglaerr	C8A5000-8		Ba Fl Lo Ni		403	Va	G2 IV M5 V						0
Kfaz	C	2109	Khikheng	B468615-4	C	Ag Ni		804	Va	F2 V						0
Kfaz	C	2308	Lozfaerkagz	E551462-3		Ni Po		424	Va	G5 V						0
Kfaz	C	2310	Ksarrigh	D8A9411-5	C	Fl Ni		106	Va	M7 V D						0
Kfaz	D	2507		X977000-0		Ba Lo Ni		012	--	F7 V						0
Kfaz	D	2508		X240000-0		Ba De Lo Ni Po		000	--	F9 V						0
Kfaz	D	2509		X797000-0		Ba Lo Ni		010	--	F5 V						0
Kfaz	D	2606		X452000-0		Ba Lo Ni Po		010	--	F8 V						0
Kfaz	D	2608		X573000-0		Ba Lo Ni		010	--	F4 V						0
Kfaz	D	2701		X8B3000-0		Ba Fl Lo Ni		003	--	K6 V D						0
Kfaz	D	2703		X554000-0		Ba Lo Ni		002	--	M1 V D						0
Kfaz	D	2707		X626000-0		Ba Lo Ni		011	--	K9 V D						0
Kfaz	D	2708		X563000-0		Ba Lo Ni		002	--	F5 V D						0
Kfaz	D	2803		X83A000-0		Ba Lo Ni Wa		013	--	G6 V						0
Kfaz	D	2806		X140000-0		Ba De Lo Ni Po		003	--	F4 V D						0
Kfaz	D	2809		X100000-0		Ba Lo Ni Va		003	--	M6 V						0
Kfaz	D	2810		X227000-0		Ba Lo Ni		020	--	F5 IV						0
Kfaz	D	2903		XAC9000-0		Ba Fl Lo Ni		002	--	M6 V						0
Kfaz	D	2906		X9A2000-0		Ba Fl Lo Ni		001	--	M2 V						0
Kfaz	D	2910		X504000-0		Ba Ic Lo Ni Va		010	--	M8 V						0
Kfaz	D	3005		X100000-0		Ba Lo Ni Va		000	--	F3 IV						0
Kfaz	D	3010		X334000-0		Ba Lo Ni		003	--	M3 V M5 V						0
Kfaz	D	3101		X130000-0		Ba De Lo Ni Po		017	--	M0 V M5 V D						0
Kfaz	D	3107		X78A000-0		Ba Lo Ni Wa		002	--	M3 V						0
Kfaz	D	3202		X656000-0		Ba Lo Ni		003	--	F3 V M0 V F9 V						0
Kfaz	D	3207		X8D4000-0		Ba Fl Lo Ni		010	--	F1 V						0
Kfaz	E	0213	Knuengzaeseg	C13097A-D	K	De Hi In Na Po		402	Va	F9 V						0
Kfaz	E	0214	Rotegvuz	D210004-7	K	Lo Ni		201	Va	M7 V						0
Kfaz	E	0215	Sorrgeghzae	C647778-5		Ag		216	Va	F0 V D						0
Kfaz	E	0312	Gvozuengos	E330634-5		De Na Ni Po		723	Va	F1 V D						0
Kfaz	E	0318	Gnoenelngaek	A400577-8	K	Ni Va		107	Va	M3 V D						0
Kfaz	E	0411	Odhoug	C7C5A74-A	C	Fl Hi In		801	Va	F1 V						0
Kfaz	E	0511	Oduerzunong	B555897-5				813	Va	F2 V D						0
Kfaz	E	0512	Knatho	C000248-A		As Lo Ni		303	Va	F4 V						0
Kfaz	E	0516	Sarratsso	C897876-1				612	Va	F9 V D						0
Kfaz	E	0517	Aesadhkaen	C9B8588-7		Fl Ni		200	Va	M8 V						0
Kfaz	E	0519	Aethuez	D54267A-1	K	Ni Po		901	Va	F2 V						0
Kfaz	E	0520	Gnuethez	B458866-9				601	Va	M8 V D						0
Kfaz	E	0614	Aranksag	CAC9764-6		Fl		813	Va	G0 IV M6 V						0
Kfaz	E	0615	Toughraerru	C41078C-8		Na		402	Va	M3 V						0
Kfaz	E	0711	Thagnagharz	E526438-1	C	Ni		102	Va	M5 V						0
Kfaz	E	0716	Zoekhoguz	C402249-6		Ic Lo Ni Va		703	Va	M2 V						0
Kfaz	E	0818	Tsaeghouueue	C693474-8		Ni		204	Va	G1 V						0
Kfaz	F	0912	Aedhou	A100677-C	C	Na Ni Va		410	Va	M4 V						0
Kfaz	F	0918	Gagvaekag	C9C6453-4		Fl Ni		815	Va	G8 V D						0
Kfaz	F	0919	Ghedorourag	C73959D-5		Ni		702	Va	M6 V D						0
Kfaz	F	1015	Noungfaeghz	B539451-9	K	Ni		302	Va	A1 V K7 V						0
Kfaz	F	1114	Nolkoer	C355101-8		Lo Ni		800	Va	F0 V						0
Kfaz	F	1216	Voruerlaeng	D757533-2	C	Ag Ni		101	Va	F6 V						0
Kfaz	F	1312	Isouosog	C50059A-8		Ni Va		301	Va	F2 V M7 V						0
Kfaz	F	1313	Dherrgthik	C45667A-7	C	Ag Ni		704	Va	F6 V						0
Kfaz	F	1317	Aeaeksoe	C545424-5		Ni		803	Va	M5 V D						0
Kfaz	F	1414	Daksaefaz	A569477-A	K	Ni		504	Va	F4 V D						0
