Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
	A	0103	Jelniekl	C555977-A		Hi In		712	Zh	F7 V	{3}	-	-			0
	A	0106	Ovlshablde	B566663-5		Ag Lt Ni Ri	U	103	Zh	F8 V	{1}	-	-			0
	A	0108	Olzitranjonshiaplsti	C65A565-A	KM	Ni Wa		903	Zh	F9 V D	{1}	-	-			0
	A	0201	Sablzhdafrne (Kn 0201)	B310799-8		Na		902	Zh	M4 V	{0}	-	-			0
	A	0203	Chrnzhponshchti	D675244-3		Ga Lo Lt		902	Zh	M4 V	{0}	-	-			0
	A	0207	Enzhra	B4109ED-9	KM	Hi Na	U	324	Zh	F8 V D	{3}	-	-			0
	A	0302	Aeprzhdaziepr	C402488-A		Ic Ni Va		311	Zh	F7 V	{0}	-	-			0
	A	0308	Baklderiedlfrenzh	C436520-8	KM	Ni		910	Zh	F1 V D	{-1}	-	-			0
	A	0309	Fitsekr	B342442-8		Ni Po	U	204	Zh	M3 V	{-1}	-	-			0
	A	0310	Klefriaaatsidl	B355333-C		HtLo Ni		304	Zh	F8 V D	{1}	-	-			0
	A	0402	Zhdatlshtianch	A22286A-B		Na Po		813	Zh	F5 V	{2}	-	-			0
	A	0403	Plazhtlaiqrdrepl	B375687-A		Ag Ni		700	Zh	G4 V D	{2}	-	-			0
	A	0405	Eiantqia	C678423-7	KM	Ni		800	Zh	K9 V D	{-1}	-	-			0
	A	0406	Sienzhdeqrchant	B5828AB-7	KM	Ri	U	201	Zh	F9 V D	{2}	-	-			0
	A	0410	Shirnavlatlpla	A757533-9	KM	Ag Ni		804	Zh	F2 V	{2}	-	-			0
	A	0501	Inafrsti (Kn 0501)	A68868A-B	KM	Ag Ni Ri		313	Zh	F3 V	{4}	-	-			0
	A	0502	Atonshplenz	C25029D-B	KM	De Lo Po	U	313	Zh	F3 V	{4}	-	-			0
	A	0503	Zhdifrzhdozhial	E110315-7		Lo Ni		100	Zh	M6 III	{-3}	-	-			0
	A	0505	Shanchdadliayaq	B858201-C	KM	Ht Lo Ni	U	800	Zh	F0 V	{2}	-	-			0
	A	0507	Ea (Kn 0507)	C410769-8		Na		602	Zh	G7 V	{-1}	-	-			0
	A	0508	Iaiensh	E000422-A		As Ni		902	Zh	M4 V D	{-1}	-	-			0
	A	0510	Brapliaa	A553377-B		Lo Ni Po		326	Zh	F2 V D	{1}	-	-			0
	A	0601	Agghelu	E424200-7		Lo Ni		534	Va	F1 V M0 V	{-3}	-	-			0
	A	0605	Llizan	A674001-8		Lo Ni		414	Va	F2 V	{-1}	-	-			0
	A	0609	Iencharjenshsiej	B30068A-A	KM	Na Ni Va		803	Zh	F9 V	{2}	-	-			0
	A	0705	Ghingtholkoengaedh	C4126BC-A		Ic Na Ni		104	Va	M0 V D	{0}	-	-			0
	A	0707	Kaezthuerserrgh	D410545-7	K	Ni		300	Va	M8 V D	{-3}	-	-			0
	A	0710	Iezhdebdleflsha	A260301-E	KM	De Ht Lo Ni		802	Zh	F5 V D	{2}	-	-			0
	A	0804	Gnekugzkfaldorrgagh	B838412-8		Ni		216	Va	M5 II G5 V	{-1}	-	-			0
	A	0806	Aethirz	B879323-6	K	Lo Ni		901	Va	F2 V	{-1}	-	-			0
	A	0807	Theve	E414300-7	K	Ic Lo		101	Va	F2 V	{-1}	-	-			0
	B	0901	Sorrgharrgh	B000565-C	K	As Ht Ni O:1003		603	Va	K7 V	{1}	-	-			0
	B	0906	Uea (Kn 0906)	B695767-6	K	Ag Ga O:0907		222	Va	F4 V	{1}	-	-			0
	B	0907	Dhourraz	A595588-A		Ag Ga		121	Va	F4 V	{1}	-	-			0
	B	0908	Songuzgzurrganoen	B76A666-7	K	Ni O:0907 Ri Wa		503	Va	F0 V	{0}	-	-			0
	B	0910	Gnuesosoll	D4229AC-4		Hi In Lt Na Po		504	Va	G8 V D	{0}	-	-			0
	B	1003	Soegezounuets (Kn 1003)	A575453-C	K	Ht Ni		313	Va	F3 V	{1}	-	-			0
