Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar
0107	Nilson	C887443-5	Ga Ni Pa	{ -2 }	( 533+3 )	[ 8232 ]	-	-	-	301	8	SoCf	K5 V
0109	Langley	A778987-E	Hi In Cp	{ 5 }	( 88B-2 )	[ CE2F ]	-	KM	-	721	9	SoCf	K6 V M9 V
0302	Nitya	D100335-7	Va Lo Tz	{ -3 }	( 620+4 )	[ 316A ]	-	-	-	904	10	SoCf	M0 V
0303	Holme	D200356-9	Va Lo	{ -2 }	( A20+5 )	[ 4116 ]	-	-	-	120	11	SoCf	F7 V M9 V
0306	Overton 4	A400524-A	Va Ni Co Tz	{ 1 }	( G44-3 )	[ A689 ]	-	-	-	604	17	SoCf	M7 V
0308	Kaveri	A68A850-C	Wa Ph Ri Co Tz	{ 3 }	( 77B+3 )	[ 8B1E ]	-	-	-	112	8	Hn	M6 V F8 V
0408	Samyukta	A552AC9-E	Hi Po Pz	{ 3 }	( C99+1 )	[ 7D7E ]	-	-	A	204	12	Hn	F6 V
0409	Chittor	B653334-B	Lo Po	{ 1 }	( B21+1 )	[ 141C ]	-	-	-	624	12	Hn	G3 V
0509	Yamuna	A565888-8	Ph Pa Ri	{ 1 }	( 977-2 )	[ D945 ]	-	-	-	401	10	Hn	K9 V M5 V
0510	Karam	A6748AE-9	Ph Pa Pi Fo	{ 1 }	( C78-3 )	[ 8929 ]	-	-	R	110	11	Hn	K3 V
0601	Lorenz	X4A5310-7	Fl Lo Tz	{ -3 }	( 420-2 )	[ 2168 ]	-	-	-	123	13	SoCf	M2 V
0607	Heike	D776330-4	Lo Tr Lk	{ -3 }	( 420+1 )	[ 6184 ]	-	-	-	302	11	SoCf	G2 V
0610	Varanasi	B300577-A	Va Ni	{ 1 }	( 645+4 )	[ 664A ]	-	K	-	300	6	Hn	G9 V
0706	Leonia	B7CA376-C	Fl Lo	{ 1 }	( 521-4 )	[ 3468 ]	-	-	-	401	11	SoCf	K4 V M8 V
0708	Khalil	A784441-A	Ni Pa Tr	{ 1 }	( A36-3 )	[ 6587 ]	-	-	-	200	10	SoCf	G4 V
0710	Mysuru	A665879-8	Ga Ph Pa Ri Tu Lk	{ 1 }	( 376+4 )	[ 8945 ]	-	-	-	400	8	Hn	K6 V
0801	Zalman	A783854-D	Ph Ri Sa	{ 3 }	( 87A+0 )	[ 8B4H ]	-	-	-	701	5	SoCf	G6 V M6 V
0802	Gamma Mijo	E200165-9	Va Lo Co Tz O:0907	{ -2 }	( B00-1 )	[ 3177 ]	-	-	-	211	11	SoCf	M7 V
0803	Loyola	D944400-6	Ni Pa	{ -3 }	( 633-1 )	[ 213B ]	-	-	-	330	13	SoCf	G9 V M5 V
0809	Mathura	C53047B-A	De Ni Po Sa	{ 0 }	( 732+1 )	[ 144C ]	-	K	-	100	7	Hn	K4 V
0902	Ingah	C200235-7	Va Lo Tz	{ -2 }	( 510+2 )	[ 1128 ]	-	K	-	722	8	SoCf	M6 V M8 V
0905	Souafoh	A5587CD-B	Ag Ho Fo	{ 3 }	( C6A+2 )	[ 7A8A ]	-	-	R	132	15	SoCf	G4 V
0906	Limyr	A6668DE-9	Ga Ph Pa Ri Fo	{ 2 }	( 776-3 )	[ 9A35 ]	-	-	R	702	6	SoCf	G8 V K5 V
0907	Begaa	A851983-E	Hi Po Tz	{ 3 }	( 78A+1 )	[ 7C5H ]	-	-	-	602	11	SoCf	M6 V
1005	Urdrax	B564ADF-C	Hi Co Fo	{ 3 }	( A99-1 )	[ BD7C ]	-	K	R	214	16	SoCf	K8 V M1 V
1108	Ehlahcki	E400000-0	Va Ba Ho Tz	{ -3 }	( 600-5 )	[ 0000 ]	-	-	-	010	12	HvFd	M1 V
1201	Iitrejjii	C985542-9	Ni Ag Pr Tu lthk7	{ 0 }	( B41+3 )	[ 5559 ]	-	M	-	303	8	HvFd	G5 V
1304	Fehde	A599623-C	Ni Ho Tz	{ 1 }	( A52+5 )	[ 873C ]	-	K	-	712	10	HvFd	K7 V
1403	Productive	E575755-5	Ag Pi	{ -1 }	( 567-2 )	[ 9666 ]	-	-	-	403	8	HvFd	F0 V
1505	Ote	B410403-7	Ni Co Tz	{ -1 }	( C32+1 )	[ 3328 ]	-	-	-	613	12	HvFd	M5 V M1 II
1602	Farming Moon	D958766-6	Ag Sa O:1804	{ -1 }	( 364-3 )	[ 5639 ]	-	-	-	400	10	HvFd	K9 V
1607	Guhng	C9A4304-5	Fl Lo Tz	{ -2 }	( 820+4 )	[ 1153 ]	-	-	-	102	6	HvFd	M9 V F6 V
1704	Altoona	C946A8A-7	Hi In Tu Sa HumaW	{ 1 }	( 697+0 )	[ 9B6A ]	-	-	-	502	10	HvFd	G8 V
1705	De	E100000-0	Va Ba Co Lk	{ -3 }	( 800-5 )	[ 0000 ]	-	-	-	002	6	HvFd	K2 V
1802	Ajihe	B3A6305-8	Fl Lo Tz	{ -1 }	( D20+3 )	[ 1267 ]	-	-	-	412	11	HvFd	M4 V
1803	Yaiz	D410755-5	Na Pi Ho Lk (minor) Pz	{ -2 }	( 360-5 )	[ 2504 ]	-	-	A	331	10	HvFd	K1 V A5 V M0 V
1804	Kwaal	B588835-D	Ph Pa Ri Ho Tz	{ 3 }	( E79+0 )	[ 7B6D ]	-	-	-	402	6	HvFd	K3 V M9 V
1809	Aanage	A410543-C	Ni Tz	{ 1 }	( 840+3 )	[ 767D ]	-	-	-	402	13	HvFd	M9 V M5 V
1908	Caack	C545104-4	Lo Co Tz	{ -2 }	( B00-3 )	[ 4144 ]	-	-	-	430	9	HvFd	M8 V M2 V
1909	Zzii	B999204-7	Lo lthk6	{ -1 }	( 710+1 )	[ 2165 ]	-	M	-	323	15	HvFd	K3 V
2005	Daao	B410306-7	Lo Ho Tz	{ -1 }	( 320+3 )	[ 7255 ]	-	-	-	210	9	HvFd	K4 V
2007	Jzegas't	C99A966-7	Wa Hi In Co lthk7 O:2305	{ 1 }	( 986+4 )	[ BA15 ]	-	M	-	222	12	HvFd	G9 V
2201	Ihjoch	A577423-A	Ni Pa Tz	{ 1 }	( 933-3 )	[ 1549 ]	-	M	-	101	7	HvFd	M3 V
2203	Qissilu	B888525-7	Ga Ni Ag Pr Tz	{ 0 }	( 542-1 )	[ 554A ]	-	-	-	602	7	HvFd	M0 V M4 V
2209	Tah	C698203-4	Lo	{ -2 }	( 710+1 )	[ 3186 ]	-	-	-	404	14	HvFd	F6 V M4 II
2305	Veea	A884A55-F	Hi Sa	{ 3 }	( C9B-4 )	[ 9D4H ]	-	K	-	121	8	HvFd	F7 V K1 IV
2409	Pleasant	A665503-A	Ga Ni Ag Pr	{ 2 }	( C43-5 )	[ 774A ]	-	-	-	133	10	HvFd	G2 V A7 V
2503	Fochl	B100102-8	Va Lo Tz	{ -1 }	( A00+1 )	[ 1124 ]	-	-	-	302	9	HvFd	M5 V
2603	Aazyee	A200214-8	Va Lo	{ -1 }	( B10-1 )	[ 217B ]	-	-	-	104	9	HvFd	K0 V
2610	Kkiik	A855872-E	Ga Ph Pa	{ 2 }	( 97B-1 )	[ 6A4E ]	-	-	-	732	11	HvFd	G6 V
2801	Very Hot	E678501-3	Ni Ag Ho	{ -2 }	( 841+0 )	[ 6376 ]	-	-	-	214	17	HvFd	G1 V
2803	Veaou	B300102-A	Va Lo Co	{ 1 }	( B01+0 )	[ 125B ]	-	-	-	820	7	HvFd	F8 V
2805	Yanuh	B769A84-9	Hi Co Lk	{ 2 }	( D96+0 )	[ DC5A ]	-	-	-	804	9	HvFd	K8 V M7 II
2910	Va	CAB8502-5	Fl Ni	{ -2 }	( 540-5 )	[ 6305 ]	-	-	R	103	10	HvFd	A4 IV G3 V
3002	Dax	A655754-C	Ga Ag	{ 4 }	( 96B+0 )	[ 9B6E ]	-	KM	-	611	12	HvFd	F2 V
3010	Unsuitable	A621544-9	He Ni Po Fr	{ 0 }	( A45-1 )	[ 258B ]	-	E	-	302	7	HvFd	M4 V
3105	Soog	B977516-A	Ni Ag Tu	{ 2 }	( 948+0 )	[ 2799 ]	-	-	-	302	12	HvFd	G4 V
3205	Pead	D300211-8	Va Lo Ho	{ -3 }	( B10-1 )	[ 3137 ]	-	-	-	201	9	HvFd	G4 V
0113	Wintersea	X656246-6	Ga Lo Tu	{ -3 }	( 510-2 )	[ 2147 ]	-	-	-	224	16	SoCf	F9 V
0214	Lacustria	A769998-A	Hi Pr	{ 4 }	( 98F-1 )	[ 5D9C ]	-	KM	-	201	8	SoCf	F8 V
0218	Chiyo	C200201-9	Va Lo Tz	{ -1 }	( 610+2 )	[ 115A ]	-	K	-	101	7	SoCf	M7 V
0314	Alphard	D000233-9	As Va Lo	{ -2 }	( 810+0 )	[ 1137 ]	-	-	-	512	14	SoCf	K3 III
0315	Myanmar	B646410-9	Ni Pa Tr	{ 0 }	( 934+0 )	[ 2468 ]	-	-	-	101	5	SoCf	G9 V
0316	Hildegard	B688545-8	Ga Ni Ag Pr Co	{ 0 }	( 644-3 )	[ 8586 ]	-	-	-	120	9	SoCf	G5 V
0413	Kenya Nova	A568522-9	Ni Ag Pr Ho	{ 1 }	( A43+0 )	[ 5666 ]	-	-	-	421	14	SoCf	G5 V M2 V
0416	Ankh	C400343-7	Va Lo Co	{ -2 }	( 720+3 )	[ 6157 ]	-	K	-	111	9	SoCf	K3 V
0418	Obuh	A3AA103-B	Fl Lo	{ 1 }	( 901+2 )	[ 1248 ]	-	-	-	201	11	HvFd	M8 II
0512	Salvage	E530202-4	De Lo Po	{ -3 }	( 310+0 )	[ 1144 ]	-	-	-	704	10	SoCf	M7 V
0513	Dwindle	B410644-8	Ni Na Tz	{ -1 }	( E55+4 )	[ 2569 ]	-	-	-	104	12	SoCf	M0 V G8 V
0518	Qahea	A698206-9	Lo	{ 0 }	( B10+2 )	[ 124A ]	-	K	-	112	12	HvFd	K9 V
0613	Pericles IV	C510123-6	Lo Tz	{ -2 }	( 800-2 )	[ 11A7 ]	-	K	-	133	17	SoCf	M8 V
0711	Akkadevi	A763A7A-C	Hi Tr Tz Cp	{ 3 }	( 89C-1 )	[ BD5B ]	-	-	-	110	12	Hn	K2 V
0716	Giye	E200000-0	Va Ba Sa	{ -3 }	( B00-5 )	[ 0000 ]	-	-	-	022	9	HvFd	M0 V
0717	Ga	A53056C-6	De Ni Po Co Tz (minor) O:1013 Da	{ -1 }	( 640-5 )	[ 440A ]	-	-	A	214	11	HvFd	M8 V
0719	Yaga	C100605-9	Va Ni Na Co	{ -1 }	( 953+0 )	[ 6537 ]	-	-	-	100	6	HvFd	G9 V
0720	Wyee	A400206-8	Va Lo Co Tz	{ -1 }	( D10-4 )	[ 1136 ]	-	E	-	122	10	HvFd	M0 V
0818	Ahkeh	C200215-7	Va Lo	{ -2 }	( 910-1 )	[ 1166 ]	-	-	-	102	11	HvFd	F4 V
0819	Wegoujya	A100203-9	Va Lo	{ 0 }	( C10+4 )	[ 324D ]	-	-	-	501	10	HvFd	D
0917	Uyca	B830212-B	De Lo Po Co Tz	{ 1 }	( 711+3 )	[ 134D ]	-	K	-	610	9	HvFd	M3 V
0920	Nuuage	D667965-9	Ga Hi Pr Sa O:1519	{ 0 }	( A85+1 )	[ C998 ]	-	-	-	121	14	HvFd	F5 V
1013	Langere	B779976-E	Hi In Cs	{ 5 }	( 88D+1 )	[ 7E8G ]	-	KM	-	103	8	HvFd	K5 V K5 V M6 V
1017	Kkockaag	B410503-9	Ni	{ 0 }	( C42+0 )	[ 1539 ]	-	-	-	533	17	HvFd	G1 V
1018	Roopyu	B200321-8	Va Lo Sa	{ -1 }	( A20+4 )	[ 128B ]	-	-	-	111	12	HvFd	M0 V
1119	Cyee	D66A515-4	Wa Ni Pr Co Tz	{ -3 }	( 940+0 )	[ 6223 ]	-	-	-	432	16	HvFd	M5 V
1214	Guhk	C79A406-8	Wa Ni	{ -2 }	( 530+1 )	[ 4236 ]	-	-	-	201	4	HvFd	K0 V F1 V
1216	Angee	D7B8934-9	Fl Hi In Ho Tz	{ 1 }	( 980+0 )	[ 6A38 ]	-	-	-	200	9	HvFd	K6 V
1311	Ossi	D998422-7	Ni Pa lthk9	{ -3 }	( 530-2 )	[ 114A ]	-	-	-	232	15	HvFd	G4 V
1315	Idjzuu'uxuu	B887636-9	Ga Ni Ag Ri lthkW	{ 2 }	( F53+0 )	[ 3816 ]	-	M	-	221	9	HvFd	G7 V
1317	Geet	E310305-4	Lo Ho	{ -3 }	( 321+2 )	[ 4166 ]	-	E	-	601	11	HvFd	K1 IV
1416	Ehzyah	A310415-8	Ni Co Tz	{ -1 }	( 731-2 )	[ 93A4 ]	-	-	-	112	12	HvFd	M8 V
1515	Rav	E620204-6	De He Lo Po Lk	{ -3 }	( 810+0 )	[ 2168 ]	-	-	-	203	14	HvFd	M5 V
1518	Gochaawea	B76A614-C	Wa Ni Ri	{ 2 }	( C54+1 )	[ 686E ]	-	K	-	630	12	HvFd	K2 V
1519	Feayava	B687601-B	Ga Ni Ag Ri Tu	{ 3 }	( 958-4 )	[ 897E ]	-	-	-	602	12	HvFd	F9 V K0 V
1611	Kee	E000000-0	As Va Ba	{ -3 }	( 700-5 )	[ 0000 ]	-	-	-	032	10	HvFd	M7 V
1614	Quch	C555515-8	Ni Ag Ho	{ -1 }	( E43+1 )	[ 944A ]	-	-	-	933	16	HvFd	G8 V
1711	Noxeh	B6BA405-9	Fl Ni Sa	{ 0 }	( 435-2 )	[ 1488 ]	-	-	-	901	12	HvFd	M5 V M6 V
1714	Lehpep	C310104-7	Lo Tz	{ -2 }	( A00+3 )	[ 11AC ]	-	-	-	401	5	HvFd	M5 V
1717	Gihvehze	E4A2642-3	Fl He Ni	{ -3 }	( 950+5 )	[ B356 ]	-	-	-	204	11	HvFd	G1 V M4 V
1811	Ihn	D530264-3	De Lo Po Ho Lk (minor) O:2313 Da	{ -3 }	( 710-1 )	[ 4131 ]	-	-	A	801	5	HvFd	M6 V M3 V
1817	Aziyyo	A655403-B	Ga Ni Pa Lk	{ 1 }	( 933+0 )	[ 155B ]	-	E	-	123	14	HvFd	F6 V
1912	Rii	A655503-9	Ga Ni Ag Tr	{ 1 }	( 845-1 )	[ 3649 ]	-	-	-	210	12	HvFd	G0 V K2 V M5 V
1916	Kaal	B4A7302-A	Fl Lo Co Sa	{ 1 }	( A20+1 )	[ 346A ]	-	-	-	201	9	HvFd	M3 V
1918	Zaack	E100000-0	Va Ba Co Sa	{ -3 }	( 600-5 )	[ 0000 ]	-	-	-	010	7	HvFd	M0 V
2018	Teh	E7C8000-0	Fl Ba	{ -3 }	( 300-5 )	[ 0000 ]	-	-	-	011	12	HvFd	F7 V
2019	Qah	B947669-7	Ni Ag HumaW O:1821	{ 0 }	( 954+2 )	[ 4639 ]	-	K	-	303	9	HvFd	G9 V
2020	Eexye	E4A7201-4	Fl Lo Tz	{ -3 }	( 610+2 )	[ 3132 ]	-	-	-	302	12	HvFd	M6 V
2111	Fah	A500104-7	Va Lo Co Tz	{ -1 }	( 600-1 )	[ 1176 ]	-	K	-	730	10	HvFd	M9 V
2112	Eeep	E510000-0	Ba	{ -3 }	( 600-5 )	[ 0000 ]	-	-	-	002	8	HvFd	K1 V M9 V
2117	Kkyaaa	E300000-0	Va Ba Co Tz	{ -3 }	( A00-5 )	[ 0000 ]	-	-	-	002	10	HvFd	M1 V
2118	Aagah	D4A6204-5	Fl Lo Tz	{ -3 }	( B10-5 )	[ 5109 ]	-	-	-	312	15	HvFd	M4 V
2120	Unpleasant	B4A4201-A	Fl Lo Tz	{ 1 }	( 311+0 )	[ 433A ]	-	-	-	100	8	HvFd	M5 V K7 V
2313	Glyah	B563941-C	Hi Pr Tz	{ 3 }	( 88B+0 )	[ BC6B ]	-	-	-	502	11	HvFd	M7 V M8 V
2314	Adequate	C559755-6		{ -1 }	( 665-5 )	[ B654 ]	-	-	-	320	12	HvFd	G6 V
2417	Okyeuy	E300000-0	Va Ba Co Tz	{ -3 }	( 800-5 )	[ 0000 ]	-	-	-	034	11	HvFd	M1 V
2514	Ackih	C877856-8	Ph Pa Pi	{ -1 }	( F76-2 )	[ 877B ]	-	-	-	122	14	HvFd	K3 V M4 V
2519	Nyozee	C865932-C	Ga Hi Pr	{ 2 }	( 98D+1 )	[ 9B8B ]	-	-	-	100	4	HvFd	G1 V
2620	Gea	B410313-8	Lo	{ -1 }	( B20-2 )	[ 3243 ]	-	-	-	111	14	HvFd	G1 IV
2711	Urzxxyysso	A88A203-7	Wa Lo lthk9	{ -1 }	( 910-2 )	[ 1122 ]	-	-	-	402	12	HvFd	G4 V
2714	Nyaeh	B400202-A	Va Lo	{ 1 }	( 811-1 )	[ 134B ]	-	-	-	420	15	HvFd	K3 V M8 V
2811	Waap	D866A51-A	Ga Hi	{ 1 }	( 794+0 )	[ 7B3E ]	-	-	-	502	9	HvFd	F7 V
2813	Optimum	B565955-A	Hi Pr	{ 3 }	( 48D+0 )	[ BC78 ]	-	K	-	101	9	HvFd	G9 V M6 V
2815	Three Stars	B672611-B	He Ni	{ 1 }	( A57+1 )	[ A7AE ]	-	-	-	302	9	HvFd	G8 V F8 V M3 V
2816	Gohi	X620564-3	De He Ni Po (minor) O:2813 Da	{ -3 }	( 342-4 )	[ 8251 ]	-	-	A	402	8	HvFd	F9 V M5 V
2819	Wrul	E100000-0	Va Ba Ho Tz	{ -3 }	( 900-5 )	[ 0000 ]	-	-	-	001	10	HvFd	M2 V M6 V
2919	Ziiping	C546756-6	Ag Pi Co Pz HumaW	{ 0 }	( 86D+2 )	[ 8786 ]	-	-	A	933	14	HvFd	K6 V M3 V
3018	Uagya	B676301-8	Lo Tu	{ -1 }	( 920+2 )	[ 4297 ]	-	-	-	222	14	HvFd	G4 V K6 V
