Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ley	A	0101	Amikell	A545833-9	N	Pa Ph Pi Pz	A	404	ImDg	K8 V	{ 1 }	(E7A+1)	[5926]	BcDe	9	1120
Ley	A	0102	Kagemushi	D435615-6		Ni		312	ImDg	K1 V	{ -3 }	(851-3)	[4334]	B	15	-144
Ley	A	0107	LOUSANNE	C564977-5		Hi Pr		700	ImDg	M1 V M9 V	{ 0 }	(B88+0)	[9955]	BcE	5	792
Ley	A	0108	Askiimir	E79A642-7		Ni Wa		814	ImDg	K2 V M2 V	{ -3 }	(851-3)	[2313]	B	15	-144
Ley	A	0109	Khingir	C547731-6	S	Ag Pi		112	ImDg	K7 V M7 V	{ 0 }	(967+0)	[3712]	BCD	13	441
Ley	E	0111	Kalu Marasiin	AA7A526-A		Ni Oc Wa		303	ImDg	K0 V M9 V	{ 1 }	(A45+1)	[4649]	B	12	250
Ley	E	0113	Naasirka Ual	B754656-A		Ag Ni		200	ImDg	K6 V	{ 2 }	(856+2)	[5849]	BC	11	576
Ley	E	0114	Ir	C686769-6		Ag Ga Ri O:0214		800	ImDg	F9 V	{ 1 }	(968+1)	[8867]	BC	13	504
Ley	E	0118	119-404	BA9A377-A		Lo Oc Wa		412	ImDg	M1 V	{ 1 }	(820+1)	[345A]	B	9	24
Ley	E	0119	Ikstraat	C5448A6-5		Pa Ph Pi		400	ImDg	K3 V M9 V	{ -1 }	(A76-1)	[7744]	BcDe	5	-480
Ley	I	0122	Sikiir	B566437-8		Ni Pa		110	ImDg	G9 V	{ -1 }	(732-1)	[4358]	Bc	11	-56
Ley	I	0123	UREWR	C887A55-9		Hi Ga		505	ImDg	G2 V	{ 1 }	(H9B+1)	[8B37]	BE	8	1870
Ley	I	0127	720-018	C8C3575-A		Fl Ni		504	ImDg	M2 V	{ 0 }	(B44+0)	[3538]	B	10	220
Ley	I	0129	DIRIR	C8889BA-7		Hi Pr Luri1		300	ImDg	F5 V	{ 0 }	(B89+0)	[B979]	BcE	7	891
Ley	M	0139	Secundus	A403400-D		Ic Ni Va		902	ImDg	M2 V M2 V	{ 1 }	(834+1)	[1518]	B	8	128
Ley	A	0201	Econdora	A400674-E		Na Ni Va		914	ImDg	M2 V	{ 1 }	(D55+1)	[473C]	B	10	390
Ley	A	0202	Garakhu	C533666-6		Na Ni Po O:0101		103	ImDg	M2 V	{ -2 }	(852-2)	[5445]	B	10	-192
Ley	A	0204	Agalamgur	A30078A-B		Na Va Cp Pi		313	ImDg	M2 V M5 V	{ 2 }	(D6C+2)	[997D]	BD	11	2184
Ley	A	0205	Alsuy	E575520-5		Ag Ni		204	ImDg	K6 V	{ -2 }	(742-2)	[1311]	BC	7	-140
Ley	E	0213	Kaapelli	C000642-9		As Na Ni Va Luri9		121	ImLu	G0 IV M5 V	{ -1 }	(B53-1)	[2515]	B	8	-198
Ley	E	0214	RURUR	B5609BA-B		De Hi Pr Luri9		303	ImLu	G4 V	{ 3 }	(E8E+3)	[BC7D]	BcE	10	5292
Ley	E	0217	Guill En	E573659-5		Ni		105	ImDg	G1 V	{ -3 }	(851-3)	[7366]	B	8	-144
Ley	E	0219	Es Aal Insi	E573432-7		Ni		204	ImDg	G2 V	{ -3 }	(630-3)	[1113]	B	7	-72
Ley	I	0221	Silver	E424578-9		Ni		903	ImDg	M1 V	{ -2 }	(A42-2)	[5359]	B	9	-200
Ley	I	0223	Umshush	C421134-8		He Lo Po		913	ImDg	K5 V M7 V	{ -2 }	(700-2)	[1136]	B	10	-14
Ley	I	0224	Rising	B969555-A		Ni Pr		112	ImDg	G2 V	{ 1 }	(A45+1)	[3638]	Bc	8	250
Ley	I	0226	Llushtor	A774556-9		Ag Ni		812	ImDg	G7 V	{ 1 }	(A45+1)	[4648]	BC	10	250
Ley	I	0227	Dir-Lackbaad	E577887-5		Pa Ph Pi Pz	A	702	ImDg	M0 V	{ -2 }	(A75-2)	[8655]	BcDe	9	-800
Ley	I	0228	Elizibeth	C540547-5		De He Ni Po		504	ImDg	K8 V M7 V	{ -2 }	(742-2)	[5355]	B	10	-140
Ley	M	0231	L'Orient	A547644-A	N	Ag Ni		613	ImDg	F3 V	{ 2 }	(C56+2)	[4838]	BC	7	864
Ley	A	0302	Admidar	B570430-7		De He Ni		403	ImDg	K1 V	{ -1 }	(632-1)	[1312]	B	11	-48
Ley	A	0310	Zagu	B100414-B		Ni Va LuriW		911	ImLu	M1 V	{ 1 }	(834+1)	[2539]	B	11	128
Ley	E	0311	Gishuumka	B4357A8-9		Luri9		900	ImLu	K3 V	{ 1 }	(96A+1)	[7859]	B	15	630
Ley	E	0313	TILE	C7C39BD-B		Fl Hi In Luri9		213	ImLu	F9 V	{ 3 }	(F8E+3)	[DC9F]	BE	8	5670
Ley	E	0314	Tender Mercy	E547210-6		Lo LuriW		200	ImLu	K2 V M6 V	{ -3 }	(410-3)	[1111]	B	14	-24
Ley	E	0315	Shore	A545614-A		Ag Ni Luri9		304	ImLu	F5 V M4 V	{ 2 }	(C56+2)	[4838]	BC	12	864
Ley	E	0316	Luria	C522442-7		He Ni Po LuriW		402	ImLu	K7 V	{ -2 }	(631-2)	[1213]	B	7	-48
Ley	E	0318	Ithukar	B5438BF-A		Po Ph Pi		804	ImDg	G3 V	{ 2 }	(E7B+2)	[DAAF]	BDe	8	2464
Ley	I	0322	Xenophone	C88A612-7		Ni Ri Wa		504	ImDg	M0 V	{ -1 }	(853-1)	[2513]	BC	10	-144
