Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Lish	A	0101	Ishimaga	A734433-9		Ni		103	ImDa	M2 V K4 V	{ 0 }	(933+0)	[1426]	B	10	108
Lish	A	0110	Jesikara	A7988A5-C	S	Pa Ph Pi (J'sia)		103	ImDa	F7 V	{ 2 }	(D7C+2)	[6A3A]	BcDe	8	2496
Lish	E	0111	Oksanad	A569359-D		Lo		613	ImDa	M2 V	{ 1 }	(920+1)	[446E]	B	8	27
Lish	E	0112	Vakada	B100300-D	S	Lo Va		610	ImDa	M3 V	{ 1 }	(620+1)	[1418]	B	8	18
Lish	E	0116	Ropha	B410100-B	N	Lo		201	ImDa	G8 V	{ 1 }	(400+1)	[1216]	B	8	4
Lish	E	0117	Darad	B675335-A		Lo		902	ImDa	M1 V M4 V	{ 1 }	(720+1)	[1438]	B	8	21
Lish	E	0118	Solod	A310411-F		Ni		701	ImDa	M1 V M8 V	{ 1 }	(734+1)	[151B]	B	8	112
Lish	E	0119	Omshona	B420535-A	S	De He Ni Po		704	ImDa	M1 V M4 V	{ 1 }	(B45+1)	[3638]	B	8	275
Lish	I	0121	Asli	C000761-B	S	As Na Va Pi O:0221		903	ImDa	M1 V M6 V	{ 1 }	(C6B+1)	[3817]	BD	8	924
Lish	I	0122	Base Two	D584357-7	S	Lo		603	ImDa	G9 V M1 V	{ -3 }	(520-3)	[3157]	B	8	-45
Lish	I	0124	Inru	C425553-9		Ni		203	ImDa	K0 V M7 V	{ -1 }	(A43-1)	[2426]	B	8	-150
Lish	I	0125	Kiur	B9C57BB-B		Fl		614	ImDa	K1 V	{ 2 }	(E6C+2)	[997D]	B	8	2352
Lish	I	0128	Kasha	E543456-8		Ni Po		621	ImDa	G0 V M4 V	{ -3 }	(930-3)	[3147]	B	8	-108
Lish	I	0130	VOYD	C4249D8-A		Hi In		102	ImDa	K9 V M7 V	{ 3 }	(D8D+3)	[9C5A]	BE	7	4563
Lish	M	0132	Samphan	C797200-8		Lo		910	ImDa	G7 V	{ -2 }	(510-2)	[1113]	B	10	-20
Lish	M	0133	Ribunu	B655743-8	S	Ag Ga Pz	A	300	ImDa	M0 V	{ 1 }	(969+1)	[4825]	BC	7	567
Lish	M	0134	Erlukam	A437200-F	N	Lo		312	ImDa	M2 V	{ 1 }	(710+1)	[131A]	B	12	14
Lish	M	0136	Ram Sho	C675662-8		Ag Ni O:0235		104	ImDa	G0 V	{ -1 }	(C53-1)	[2514]	BC	7	-216
Lish	M	0138	Amkash	B4277AC-A		Pi		812	ImDa	M2 V	{ 2 }	(C6B+2)	[A98D]	BD	12	1848
Lish	M	0139	Polaz	C744202-A		Lo		213	ImDa	M2 V	{ 0 }	(810+0)	[1216]	B	8	16
Lish	M	0140	VODYR	B782999-A		Hi Pr		414	ImDa	G8 V	{ 3 }	(G8D+3)	[AC6B]	BcE	12	5616
Lish	A	0201	Rasan	E000689-7		As Na Ni Va		803	ImDa	G3 V M0 V	{ -3 }	(851-3)	[7368]	B	14	-144
Lish	A	0203	Ilani	E300346-9		Lo Va		222	ImDa	K1 III D	{ -2 }	(920-2)	[2148]	B	9	-54
Lish	A	0205	Shuka	BACA37B-C	S	Fl Lo Oc		303	ImDa	K8 V M1 V	{ 1 }	(820+1)	[547E]	B	9	24
Lish	A	0206	Odsad	B9A8686-A		Fl Ni		901	ImDa	M2 V	{ 1 }	(955+1)	[5749]	B	9	270
Lish	A	0210	Umilikha	B795344-B	W	Lo		604	ImDa	K6 V M0 V	{ 2 }	(920+2)	[1539]	B	9	54
Lish	E	0212	Zemud	B6868BC-7	S	Ga Ri Pa Ph		501	ImDa	K3 V	{ 1 }	(A79+1)	[B98A]	BcCe	9	720
Lish	E	0214	KASO	B200951-F		Hi In Na Va		304	ImDa	G3 V	{ 4 }	(F8G+4)	[5D1B]	BEf	9	8640
Lish	E	0217	Opnoz	C42179B-8		He Na Po Pi		103	ImDa	K3 V M6 V	{ -1 }	(C67-1)	[967A]	BD	9	-588
Lish	E	0218	Pholan	C8B7100-B	S	Fl Lo		821	ImDa	M2 III	{ 0 }	(600+0)	[1116]	B	9	6
Lish	I	0221	Parshi	B000753-E	N	As Na Va Pi		703	ImDa	K3 V	{ 2 }	(C6D+2)	[492B]	BD	9	2184
Lish	I	0222	Liiar	C677642-8		Ag Ni		111	ImDa	M0 V	{ -1 }	(A53-1)	[2514]	BC	9	-180
Lish	I	0223	Urdiki	E59988C-7		Ph Pi		510	ImDa	M2 V	{ -2 }	(A76-2)	[B68A]	BDe	9	-960
Lish	I	0227	SHUNA	A585A98-F	NS	Hi Cp		412	ImDa	G5 V M4 V	{ 4 }	(F9G+4)	[AE5F]	BEF	9	9600
Lish	I	0228	Ungik	B865130-8		Lo Ga		113	ImDa	M3 V	{ -1 }	(700-1)	[1113]	B	12	-7
Lish	M	0232	Kulas Pha	C646344-7		Lo		213	ImDa	G1 V	{ -2 }	(520-2)	[1135]	B	11	-30
Lish	M	0234	Irkila	C583504-A		Ni Pr		714	ImDa	K4 V	{ 0 }	(C44+0)	[3538]	Bc	10	240
Lish	M	0235	Gidin	B3106A9-C		Na Ni		610	ImDa	M2 V	{ 1 }	(955+1)	[776D]	B	14	270
Lish	M	0236	Sered Pha	A524367-E		Lo O:0338		513	ImDa	M3 V M8 V	{ 1 }	(920+1)	[345E]	B	7	27
Lish	M	0237	SULAI	E42299C-A		He Hi In Na Po		920	ImDa	M0 V	{ 2 }	(D8C+2)	[CB8D]	BE	13	2808
Lish	M	0239	Iidimar	C6B58BB-8		Fl Ph		104	ImDa	F2 V	{ -1 }	(E77-1)	[A77A]	Be	7	-784
Lish	A	0301	AMBON	E55098C-8		De Hi Po		502	ImDa	G4 V M1 V	{ -1 }	(D88-1)	[C88B]	BE	14	-936
Lish	A	0303	IRGUKH	E431A85-A		Hi Na Po Varg7		514	ImDa	M1 V M0 V	{ 1 }	(H9B+1)	[8B38]	BE	8	1870
Lish	A	0309	Kilikiir	A411799-D		Ic Na Pi		620	ImDa	M2 V	{ 2 }	(B6D+2)	[896E]	BD	6	2002
Lish	E	0311	Popok	A87A79B-C		Wa Pi		714	ImDa	G4 V	{ 2 }	(E6C+2)	[997E]	BD	8	2352
Lish	E	0312	HRUN	C5169C7-B	S	Hi Ic In		913	ImDa	K3 V	{ 3 }	(F8E+3)	[9C5B]	BE	7	5670
Lish	E	0315	Sima	C758757-6		Ag		900	ImDa	G3 V	{ 0 }	(967+0)	[7756]	BC	6	441
Lish	E	0316	PRYDEN	A75A956-F	N	Hi Wa Cp		702	ImDa	F3 V	{ 3 }	(D8F+3)	[8C4E]	BEF	6	5265
Lish	E	0317	Odrairo	E558673-6		Ag Ni		504	ImDa	K0 V M6 V M1 V	{ -2 }	(852-2)	[3423]	BC	7	-192
Lish	E	0318	Lakakmu	B550886-A	N	De Po Ph		712	ImDa	G9 V M3 V	{ 2 }	(D7B+2)	[7A49]	Be	6	2288
Lish	I	0321	Shela	B4248BD-C		Ph Pi		202	ImDa	G2 V M3 V	{ 2 }	(C7C+2)	[CA9G]	BDe	6	2304
