Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Alph	A	0102	Ishrushsarmi	E976000-A		Di		800	ImDs	G7 V	{ -1 }	(802-2)	[6028]		15	0
Alph	A	0105	Aamgadnishka	D435000-A		Di		414	ImDs	M3 V M3 V	{ -1 }	(D04+3)	[9028]		13	0
Alph	A	0106	Pakimgikhip	D635000-A		Di		103	ImDs	F0 V	{ -1 }	(B03-1)	[6028]		12	0
Alph	A	0108	Degi	D556000-A		Di		121	ImDs	K3 IV M0 V	{ -1 }	(903-4)	[1028]		18	0
Alph	A	0110	Iidirdakhaa	B553000-A		Po Di		704	ImDs	K2 V	{ 1 }	(801-3)	[1028]		11	0
Alph	E	0113	Gimalarlash	B000000-A		As Va Di		304	ImDs	M2 V	{ 1 }	(701-3)	[1028]		9	0
Alph	E	0115	Giikidibi	F9A4000-A		Fl Di		015	ImDs	M1 V	{ -1 }	(D01+1)	[8028]		9	0
Alph	E	0119	Kidag	C200000-A		Va Di		113	ImDs	A6 V	{ 0 }	(A04-3)	[1028]		9	0
Alph	I	0121	Ushmukhili	D645000-A		Di		602	ImDs	M1 V	{ -1 }	(A03-5)	[1028]		9	0
Alph	I	0123	Shikishurshiin	C83A000-A		Wa Di		412	ImDs	A8 V M6 V	{ 0 }	(801-2)	[1028]		12	0
Alph	I	0124	Irlasebir	B100000-7		Va Di		001	ImDs	M2 V K0 V	{ -1 }	(501-1)	[1028]		11	0
Alph	I	0125	Garkhikisha	C545000-A		Di		004	ImDs	M3 V	{ 0 }	(C06+2)	[6028]		9	0
Alph	I	0128	Iishligguma	F553000-A		Po Di		522	ImDs	K5 V	{ -1 }	(901-5)	[1028]		8	0
Alph	I	0129	Igshaku	D545000-A		Di		801	ImDs	M0 V M1 V	{ -1 }	(804-2)	[3028]		12	0
Alph	I	0130	Pargash	C100000-B		Va Di		404	ImDs	M2 V M0 V	{ 0 }	(901-2)	[1028]		7	0
Alph	A	0201	Ikadkhari	B310000-A		Di		800	ImDs	M0 V M6 V	{ 1 }	(604-2)	[1028]		16	0
Alph	A	0203	Arlumkemrash	C847000-A		Di		500	ImDs	G6 V M4 V	{ 0 }	(501+1)	[3028]		13	0
Alph	A	0204	Lamgarkegar	E435000-A		Di		803	ImDs	M2 V	{ -1 }	(801-4)	[1028]		11	0
Alph	A	0208	Ziragikuu	E423000-A		Po Di		013	ImDs	M2 V	{ -1 }	(A01-4)	[2028]		13	0
Alph	A	0210	Andaad	F310000-A		Di		202	ImDs	M2 V K1 V	{ -1 }	(801-5)	[1028]		11	0
Alph	E	0216	Shikhagidmap	D6B1000-A		Fl He Di		021	ImDs	K4 V K4 V	{ -1 }	(A04-4)	[1028]		6	0
Alph	E	0217	Khushgiinshir	FAA7000-A		Fl Di		823	ImDs	G9 V	{ -1 }	(A01-3)	[3028]		10	0
Alph	E	0220	Lirgarshasmem	B888000-A		Di		213	ImDs	G4 V	{ 1 }	(B06+4)	[7028]		7	0
Alph	I	0221	Kukda	D100000-B		Va Di		300	ImDs	M4 V M7 V	{ -1 }	(704+1)	[5028]		8	0
Alph	I	0230	Narlikingu	D8C4000-A		Fl Di		023	ImDs	M2 V	{ -1 }	(D03-5)	[1028]		11	0
Alph	A	0302	Larshalama	C663000-A		Di		410	ImDs	G0 V M2 V	{ 0 }	(906-2)	[2028]		8	0
Alph	A	0303	Dishledgergii	D423000-A		Po Di		402	ImDs	G4 V	{ -1 }	(803-4)	[1028]		9	0
Alph	A	0305	Umsishmigis	C565000-A		Di		302	ImDs	F5 V	{ 0 }	(701+2)	[4028]		13	0
Alph	A	0306	Gugashuushun	F554000-A		Di		102	ImDs	K2 V	{ -1 }	(301-3)	[1028]		14	0
Alph	A	0402	Khuunelimsha	E858000-A		Di		002	ImDs	K2 V M0 V M3 V	{ -1 }	(902-2)	[5028]		11	0
Alph	A	0405	Dimludidar	D422000-A		He Po Di		505	ImDs	M3 V M5 V	{ -1 }	(B03-4)	[1028]		13	0
Alph	A	0407	Diigiinadu	C89A000-A		Wa Di		420	ImDs	K0 V K6 V	{ 0 }	(804-3)	[1028]		15	0
Alph	A	0409	Sugzumiigii	C9A7000-A		Fl Di		324	ImDs	K4 IV	{ 0 }	(D05+4)	[8028]		9	0
Alph	A	0502	Amrir	D000000-B		As Va Di		302	ImDs	M3 V	{ -1 }	(904-4)	[1028]		10	0
Alph	A	0503	Zikagar	E310000-A		Di		804	ImDs	M2 V M7 V	{ -1 }	(B02-3)	[4028]		12	0
Alph	A	0509	Khiragursu	D54A000-A		Wa Di		503	ImDs	F5 IV	{ -1 }	(701-2)	[1028]		11	0
Alph	A	0601	Kashaa	D569000-A		Di		814	ImDs	K3 V	{ -1 }	(901-4)	[1028]		8	0
Alph	A	0603	Irkimamkam	F785000-A		Ga Di		500	ImDs	M3 V	{ -1 }	(803-5)	[2028]		13	0
Alph	A	0608	Kupmirshalan	D310000-A		Di		105	ImDs	G8 V M0 V	{ -1 }	(A01+2)	[5028]		9	0
Alph	A	0609	Gudargishir	C100000-B		Va Di		704	ImDs	K3 V M7 V	{ 0 }	(901-1)	[1028]		9	0
Alph	A	0701	Amgiidmunga	B000000-A		As Va Di		800	ImDs	K4 V	{ 1 }	(705+1)	[4028]		11	0
Alph	A	0707	Diimid	D300000-A		Va Di		602	ImDs	M2 V M7 V	{ -1 }	(501-1)	[1028]		12	0
Alph	A	0801	Irdi	F997000-A		Di		712	ImDs	G3 V	{ -1 }	(601-5)	[1028]		12	0
Alph	A	0804	Dikii	B310000-A		Di		203	ImDs	G3 V M7 V	{ 1 }	(A06+1)	[3028]		8	0
Alph	A	0805	Pakisukar	F666000-A		Ga Di		800	ImDs	G7 V	{ -1 }	(401-5)	[1028]		10	0
Alph	A	0806	Kakukuslar	F310000-A		Di		712	ImDs	K3 V M4 V	{ -1 }	(B01-1)	[8028]		14	0
Alph	A	0808	Khaken	D676000-A		Di		300	ImDs	G3 V	{ -1 }	(803-1)	[6028]		10	0
