Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Anta	A	0102	Naagesa	E756000-A		Ga Di		514	ImDa	G5 V	{ -1 }	(802-5)	[3028]		8	0
Anta	A	0103	Naagesa	F000000-8		As Va Di		123	ImDa	K8 V	{ -3 }	(301-5)	[1028]		11	0
Anta	A	0108	Uslu	CABA000-5		Fl Di		815	ImDa	M2 V M2 V	{ -2 }	(C04-1)	[2028]		12	0
Anta	A	0110	Shesii	F798000-7		Di		403	ImDa	G2 V	{ -3 }	(601-5)	[1028]		8	0
Anta	E	0112	Adirde	D525000-9		Di		702	ImDa	M1 V M7 V	{ -2 }	(501-5)	[1028]		12	0
Anta	E	0113	Alila	BA85000-A		Di		703	ImDa	M1 V	{ 1 }	(A07+3)	[5028]		13	0
Anta	E	0114	Nirkapsheliim	C87A000-5		Wa Di		804	ImDa	K2 V	{ -2 }	(801-5)	[1028]		14	0
Anta	E	0115	Waswa	C423000-6		Po Di		311	ImDa	G0 V	{ -2 }	(A03-5)	[2028]		8	0
Anta	E	0118	Kunshusidig	D428000-A		Di		304	ImDa	K5 V M9 V	{ -1 }	(A03-2)	[2028]		7	0
Anta	E	0120	Shigukimi	C8B3000-9		Fl Di		300	ImDa	K6 IV M8 V	{ -1 }	(705-1)	[3028]		9	0
Anta	I	0123	Girgushkhi	C515000-6		Ic Di		704	ImDa	M3 V M5 V	{ -2 }	(A02-2)	[3028]		15	0
Anta	I	0124	Ukhudirgi	D85A000-7		Wa Di		404	ImDa	F3 V	{ -3 }	(B02-2)	[5028]		11	0
Anta	I	0125	Dashkhagii	D510000-A		Di		700	ImDa	K4 V	{ -1 }	(803+1)	[7028]		12	0
Anta	I	0126	Lushkursig	C587000-A		Di		004	ImDa	G2 V M9 V	{ 0 }	(801-3)	[1028]		13	0
Anta	I	0127	Gukimdira	D565000-A		Di		115	ImDa	M2 V	{ -1 }	(D04+2)	[7028]		13	0
Anta	I	0128	Dagalu	B433000-9		Po Di		012	ImDa	M1 V M4 V	{ 0 }	(701+1)	[2028]		10	0
Anta	M	0131	Iddesgummid	D566000-A		Di		555	ImDa	F8 V	{ -1 }	(G02-3)	[2028]		15	0
Anta	M	0132	Immiislu	C424000-7		Di		602	ImDa	K9 V	{ -2 }	(501-3)	[1028]		11	0
