Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Core	A	0103	Shana Ma.	F551000-A		Po Di		603	ImDc	K2 IV M7 V	{ -1 }	(301-5)	[1028]		9	0
Core	A	0104	Andashkha	B673000-9		Di		703	ImDc	M0 V M0 V	{ 0 }	(904-3)	[1028]		13	0
Core	A	0106	Khishi.	D798000-A		Di		703	ImDc	M0 V	{ -1 }	(701-4)	[1028]		11	0
Core	E	0112	Khid.	C550000-A		De Po Di		620	ImDc	M1 V	{ 0 }	(805-2)	[1028]		14	0
Core	E	0113	Neki.	C664000-8		Di		510	ImDc	M0 V M9 V M4 V	{ -2 }	(805+2)	[6028]		13	0
Core	E	0114	Kein	D544000-A		Di		200	ImDc	K2 V	{ -1 }	(603-3)	[1028]		11	0
Core	E	0116	Larsaluu.	C664000-A		Di		210	ImDc	M0 V M1 V	{ 0 }	(704-3)	[1028]		4	0
Core	E	0117	Emshi.	C578000-A		Di		414	ImDc	M1 V	{ 0 }	(C07+3)	[5028]		10	0
Core	E	0120	Sheki.	C559000-A		Di		123	ImDc	K0 V	{ 0 }	(C05-2)	[2028]		13	0
Core	I	0125	Laslii Mii.	C984000-8		Di		022	ImDc	M3 V	{ -2 }	(A03-4)	[1028]		13	0
Core	I	0126	Siiaash.	F200000-A		Va Di		502	ImDc	M2 V M0 V	{ -1 }	(701-5)	[1028]		8	0
Core	I	0127	Lash.	C76A000-A		Wa Di		021	ImDc	K3 V M0 V	{ 0 }	(801-2)	[1028]		14	0
Core	I	0128	Pumuuda.	C8D7000-A		Di		015	ImDc	G5 V	{ 0 }	(B01+1)	[2028]		11	0
Core	I	0129	Miise	C421000-A		He Po Di		303	ImDc	M1 V	{ 0 }	(B05+1)	[6028]		14	0
Core	I	0130	Maish Uun.	C667000-A		Ga Di		304	ImDc	M2 V	{ 0 }	(B06+2)	[5028]		15	0
Core	M	0132	Ziris.	B873000-8		Di		302	ImDc	M2 V	{ -1 }	(804-3)	[1028]		10	0
Core	M	0133	Shardir Aagkuug.	C87A000-A		Wa Di		513	ImDc	M1 V M3 V	{ 0 }	(801-3)	[1028]		7	0
Core	M	0134	Isheg Nuuruup.	C847000-A		Di		200	ImDc	M2 V M7 V	{ 0 }	(604+1)	[4028]		13	0
Core	M	0135	Khaur Ga.	C434000-A		Di		800	ImDc	K1 V	{ 0 }	(501-1)	[1028]		9	0
Core	M	0138	Gekshiiuun.	E527000-A		Di		423	ImDc	F9 IV	{ -1 }	(C01-5)	[3028]		9	0
Core	M	0139	Uras	B797000-A		Di		801	ImDc	M2 V M7 V	{ 1 }	(906+3)	[7028]		8	0
Core	M	0140	Gir.	C645000-A		Di		703	ImDc	K6 V M7 V	{ 0 }	(904+1)	[4028]		13	0
Core	A	0202	Emuuis.	C422000-A		He Po Di		804	ImDc	M3 V M0 V	{ 0 }	(901+2)	[4028]		11	0
Core	A	0203	Inir.	E88A000-A		Wa Di		603	ImDc	G2 V	{ -1 }	(A02-2)	[5028]		7	0
Core	A	0208	Kan.	B789000-A		Di		005	ImDc	G1 V	{ 1 }	(D06+2)	[6028]		14	0
Core	A	0210	Arir Ash.	F310000-A		Di		005	ImDc	G1 V	{ -1 }	(D01-2)	[7028]		15	0
Core	E	0212	Lindbar.	F434000-8		Di		803	ImDc	M2 V	{ -3 }	(301-3)	[1028]		14	0
Core	E	0216	Ashder.	C565000-9		Di		620	ImDc	M1 V	{ -1 }	(804-3)	[1028]		13	0
Core	E	0218	Giuum Gim.	F869000-9		Di		311	ImDc	G1 V M8 V	{ -2 }	(601-5)	[1028]		13	0
Core	E	0220	Sishar.	C667000-A		Ga Di		204	ImDc	M2 V M8 V	{ 0 }	(B06-2)	[1028]		12	0
Core	I	0221	Gasha Uusar.	E671000-A		He Di		103	ImDc	G9 V	{ -1 }	(601-5)	[1028]		11	0
Core	I	0222	Kuukislumku	C587000-A		Di		400	ImDc	M2 V M7 V	{ 0 }	(706+5)	[8028]		7	0
