Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Dene	A	0108	New Ramma	E565000-9		Di		703	ImDd	K6 V G6 V M6 V	{ -2 }	(702-5)	[1028]		8	0
Dene	E	0113	Saarinen	C566000-7		Di		613	ImDd	K6 V M6 V	{ -2 }	(801-5)	[1028]		10	0
Dene	I	0123	Rena	E596000-A		Di		603	ImDd	G4 V	{ -1 }	(401-5)	[1028]		12	0
Dene	I	0124	Gulistan	DAB5000-7		Fl Di		320	ImDd	K6 III	{ -3 }	(701-2)	[3028]		12	0
Dene	I	0130	Iruku	C310000-6		Di		401	ImDd	F1 V M2 V	{ -2 }	(703+2)	[6028]		13	0
Dene	M	0138	Rubrak	D554000-8		Di		601	ImDd	K3 V M7 V	{ -3 }	(703-5)	[1028]		12	0
Dene	A	0201	Teh	E563000-8		Di		602	ImDd	M2 V	{ -3 }	(301-4)	[1028]		7	0
Dene	A	0202	Kretikaa	C200000-9		Va Di		623	ImDd	K2 V	{ -1 }	(C05+3)	[7028]		8	0
Dene	A	0203	Umiikam	EAA6000-9		Fl Di		401	ImDd	M0 V M1 V	{ -2 }	(601-5)	[1028]		15	0
Dene	A	0207	Vanzeti	D52A000-A		Wa Di		401	ImDd	M3 V M7 V	{ -1 }	(804-4)	[1028]		14	0
Dene	A	0208	Breslow	540000-8		De He Po Di		302	ImDd	K8 V M4 V	{ -3 }	(701-5)	[1028]		11	0
Dene	A	0209	Daumier	C88A000-A		Wa Di		410	ImDd	K7 V M9 V	{ 0 }	(704-3)	[1028]		10	0
Dene	E	0211	Adapam	F796000-A		Di		622	ImDd	K8 V	{ -1 }	(601-5)	[1028]		7	0
Dene	E	0214	Aziziyah	D86A000-A		Wa Di		824	ImDd	G3 V	{ -1 }	(C03-2)	[2028]		9	0
Dene	E	0217	Inkekush	B540000-A		De He Po Di		731	ImDd	F9 V M2 V	{ 1 }	(B05+1)	[5028]		14	0
Dene	E	0218	Saguenay	C438000-A		Di		324	ImDd	M0 V	{ 0 }	(A01+1)	[1028]		9	0
Dene	I	0221	Taman	F874000-7		Di		010	ImDd	G7 V M3 V	{ -3 }	(501-5)	[1028]		11	0
