Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Empt	I	0127	Inkhinirshur	C757000-A		Ga Di		534	ImDa	K0 V	{ 0 }	(F06+4)	[8028]		14	0
Empt	I	0128	Emsimgiku	B540000-9		De He Po Di		503	ImDa	G2 V	{ 0 }	(801-2)	[1028]		6	0
Empt	M	0132	Naamrurgukhi	C540000-5		De He Po Di		802	ImDa	F9 V	{ -2 }	(703+1)	[7028]		11	0
Empt	M	0134	Iddaar	B763000-A		Di		401	ImDa	G1 V	{ 1 }	(501-3)	[1028]		8	0
Empt	M	0138	Ashdem	D554000-6		Di		523	ImDa	G9 V	{ -3 }	(703-1)	[5028]		8	0
Empt	M	0139	Punishugaa	E533000-8		Po Di		723	ImDa	K8 V	{ -3 }	(501-5)	[1028]		8	0
Empt	M	0140	Arkesmager	E77A000-8		Wa Di		523	ImDa	K3 V M6 V	{ -3 }	(801-5)	[4028]		14	0
Empt	I	0227	Gishmumshupli	C300000-9		Va Di		120	ImDa	K7 V	{ -1 }	(905+1)	[5028]		12	0
Empt	I	0228	Kesa	E64A000-6		Wa Di		500	ImDa	M1 V M6 V	{ -3 }	(701-3)	[5028]		8	0
Empt	I	0229	Emuk	F566000-A		Di		024	ImDa	G1 V M0 V	{ -1 }	(803+1)	[7028]		17	0
Empt	M	0231	Akhekamuur	D559000-A		Di		122	ImDa	G4 V	{ -1 }	(701-3)	[1028]		8	0
Empt	M	0232	Kendukikha	C566000-6		Di		522	ImDa	F7 V M6 V	{ -2 }	(602-3)	[2028]		11	0
Empt	M	0234	Legi	B420000-7		De He Po Di		713	ImDa	G8 V M3 V	{ -1 }	(B05+4)	[8028]		11	0
Empt	M	0238	Gushirpaama	D656000-A		Ga Di		522	ImDa	G0 V	{ -1 }	(B04-3)	[2028]		7	0
Empt	I	0327	Shushliim	D540000-A		De He Po Di		824	ImDa	G9 V G7 V	{ -1 }	(C03-3)	[1028]		9	0
Empt	I	0329	Urrakushi	F200000-9		Va Di		025	ImDa	F2 V	{ -2 }	(B01-5)	[1028]		10	0
Empt	M	0334	Limushuude	D311000-5		Ic Di		224	ImDa	K4 III	{ -3 }	(702-5)	[1028]		9	0
Empt	M	0337	7C3-265	E57A000-6		Wa Di		623	ImDa	K9 V M1 V	{ -3 }	(601-5)	[1028]		9	0
Empt	M	0338	Uush	B432000-9		Po Di		511	ImDa	K9 V	{ 0 }	(A05-2)	[3028]		10	0
Empt	M	0339	Ekhim	E736000-9		Di		612	ImDa	M1 V M7 V	{ -2 }	(801-3)	[6028]		8	0
Empt	M	0340	Arlumrambar	D665000-A		Ga Di		110	ImDa	G1 V G5 V	{ -1 }	(904+2)	[8028]		7	0
Empt	I	0426	Ugumgerkip	E560000-A		De Di		823	ImDa	F4 V	{ -1 }	(801-5)	[1028]		12	0
Empt	M	0435	Ugumgerkip	D310000-8		Di		124	ImDa	M1 V M9 V	{ -3 }	(B01-4)	[1028]		12	0
