Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Forn	A	0102	Ukhimidii	C565000-7		Di		814	ImDc	G3 V	{ -2 }	(C05-2)	[2028]		11	0
Forn	A	0106	Karkhi	C580000-A		De Di		202	ImDc	M0 V M4 V	{ 0 }	(701-3)	[1028]		15	0
Forn	A	0107	Lushimka	C000000-A		As Va Di		415	ImDc	G1 V	{ 0 }	(E05-1)	[4028]		13	0
Forn	A	0109	Apzukiiggum	F869000-8		Di		600	ImDc	M3 V	{ -3 }	(701-2)	[6028]		8	0
Forn	E	0113	Lale	B89A000-6		Wa Di		403	ImDc	M1 V	{ -1 }	(801+1)	[3028]		13	0
Forn	E	0114	Parlummig	D692000-A		He Di		000	ImDc	G5 V M1 V	{ -1 }	(401-4)	[1028]		4	0
Forn	E	0120	Dishaganki	D654000-A		Di		702	ImDc	G2 V M5 V	{ -1 }	(701-5)	[1028]		10	0
Forn	I	0124	Lisaasash	C998000-7		Di		110	ImDc	M2 V	{ -2 }	(805-3)	[1028]		16	0
Forn	I	0127	Kaaplashdiisha	D546000-9		Di		504	ImDc	M0 V	{ -2 }	(A01-4)	[2028]		7	0
Forn	I	0128	Kikhakilin	D424000-A		Di		304	ImDc	M3 V	{ -1 }	(B04-2)	[3028]		13	0
Forn	M	0133	Arkiiki	B866000-A		Ga Di		104	ImDc	G8 V	{ 1 }	(C07-1)	[2028]		17	0
Forn	M	0134	Manuruda	B547000-A		Di		103	ImDc	K0 V M0 V	{ 1 }	(701-3)	[1028]		11	0
Forn	M	0135	Gigar	F435000-A		Di		110	ImDc	K3 V M1 V	{ -1 }	(802-2)	[5028]		9	0
Forn	M	0136	Kuusham	D200000-A		Va Di		512	ImDc	M5 III	{ -1 }	(A04-1)	[4028]		13	0
Forn	M	0140	Uminladsha	D567000-7		Di		223	ImDc	M1 V	{ -3 }	(804-2)	[4028]		10	0
Forn	A	0202	Ulikhakhir	D000000-A		As Va Di		821	ImDc	M2 V M9 V M5 V	{ -1 }	(B04-4)	[2028]		12	0
Forn	A	0203	Erdakaku	D658000-A		Di		300	ImDc	M3 V	{ -1 }	(301+1)	[2028]		13	0
Forn	A	0208	Kipku	C557000-6		Di		200	ImDc	M3 V M6 V	{ -2 }	(804-3)	[3028]		3	0
Forn	A	0209	Admisama	C424000-A		Di		200	ImDc	M2 V M7 V	{ 0 }	(705-2)	[2028]		10	0
Forn	E	0211	Pishiinkhur	D899000-A		Di		800	ImDc	K9 V	{ -1 }	(603+1)	[4028]		13	0
Forn	E	0212	Ashzirma	D782000-9		Di		023	ImDc	M1 V G4 V	{ -2 }	(803-4)	[3028]		12	0
Forn	E	0214	Girkashashi	D436000-A		Di		422	ImDc	K3 V M6 V	{ -1 }	(B04-3)	[2028]		9	0
Forn	E	0216	Kekegaka	E572000-9		He Di		022	ImDc	M1 V	{ -2 }	(501-2)	[4028]		14	0
Forn	E	0217	Agsu	B99A000-A		Wa Di		823	ImDc	K4 V	{ 1 }	(C05-1)	[3028]		13	0
Forn	I	0222	Iskugakha	C546000-A		Di		400	ImDc	M0 V	{ 0 }	(806+1)	[5028]		9	0
Forn	I	0223	Duummimkigar	C310000-9		Di		403	ImDc	M1 V	{ -1 }	(601-2)	[1028]		11	0
Forn	I	0226	Igguna	D673000-A		Di		012	ImDc	F7 V	{ -1 }	(801-3)	[1028]		10	0
Forn	M	0233	Muuka	E558000-A		Di		120	ImDc	K8 V M7 V	{ -1 }	(601-5)	[1028]		15	0
Forn	M	0236	Gagegiidar	D552000-A		Po Di		724	ImDc	M2 V	{ -1 }	(E02-4)	[4028]		9	0
Forn	M	0239	Ikhinnaka	B694000-A		Di		400	ImDc	G1 V M5 V	{ 1 }	(806+1)	[4028]		17	0
Forn	M	0240	Usmakum	C745000-7		Di		600	ImDc	F4 V M5 V	{ -2 }	(704-2)	[3028]		9	0
Forn	A	0302	8B1-884	C8B3000-A		Fl Di		704	ImDc	M2 V	{ 0 }	(A04-3)	[1028]		17	0
Forn	A	0308	Kuushazigkha	C562000-8		Di		120	ImDc	M3 V	{ -2 }	(501-4)	[1028]		10	0
Forn	A	0309	Kumdu	D76A000-9		Wa Di		201	ImDc	M2 V	{ -2 }	(904-3)	[3028]		7	0
Forn	A	0310	Dakii	E638000-A		Di		503	ImDc	K3 V	{ -1 }	(801-5)	[1028]		11	0
Forn	E	0311	Gisshiigikhir	D510000-A		Di		120	ImDc	M3 V	{ -1 }	(904-1)	[4028]		13	0
Forn	E	0313	Kirgiinkuusha	D511000-A		Ic Di		804	ImDc	M1 V M9 V	{ -1 }	(A03+1)	[4028]		14	0
Forn	E	0314	Ilidum	C000000-B		As Va Di		604	ImDc	M2 V M6 V	{ 0 }	(701-1)	[1028]		10	0
Forn	E	0317	Kashimumi	FA7A000-A		Oc Di		014	ImDc	M1 V	{ -1 }	(B01-5)	[1028]		9	0
Forn	E	0318	Alanekhi	E573000-8		Di		822	ImDc	M0 V M4 V	{ -3 }	(701-3)	[5028]		14	0
Forn	I	0322	Sheligkim	C798000-A		Di		604	ImDc	M3 V	{ 0 }	(A04-3)	[1028]		8	0
Forn	I	0324	6B0-471	B6B1000-A		Fl He Di		014	ImDc	M0 V M5 V	{ 1 }	(D05+1)	[6028]		8	0
Forn	I	0325	Khaakhikamii	C856000-7		Ga Di		412	ImDc	M0 V M0 V	{ -2 }	(801-5)	[1028]		16	0
Forn	I	0326	Aashlishuunish	C75A000-7		Wa Di		720	ImDc	K4 V	{ -2 }	(905-3)	[1028]		14	0
Forn	M	0331	Inkardin	B997000-8		Di		522	ImDc	G1 V	{ -1 }	(B06+1)	[3028]		12	0
Forn	M	0335	Gesushaman	D576000-A		Di		113	ImDc	M3 V M2 V	{ -1 }	(A02-4)	[1028]		15	0
Forn	M	0337	Ushe	C656000-7		Ga Di		004	ImDc	M1 V	{ -2 }	(A03-2)	[2028]		11	0
Forn	M	0338	Mukidkhispir	D000000-B		As Va Di		513	ImDc	M1 V M6 V	{ -1 }	(801-1)	[1028]		8	0
Forn	M	0340	Immilurkur	D200000-A		Va Di		000	ImDc	M2 V M5 V	{ -1 }	(804-1)	[5028]		7	0
Forn	A	0402	Shukhu	D752000-7		Po Di		801	ImDc	G4 V	{ -3 }	(601-2)	[4028]		8	0
Forn	A	0403	Irgirdu	D100000-B		Va Di		504	ImDc	M0 V M4 V	{ -1 }	(801-4)	[1028]		7	0
Forn	A	0408	Irgulashluu	E551000-A		Po Di		600	ImDc	M1 V	{ -1 }	(501-3)	[3028]		10	0
