Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ley	A	0101	Kaaganumge	E435000-8		Di		412	ImDg	K1 V	{ -3 }	(801-5)	[4028]		15	0
Ley	A	0102	Aaga	F79A000-9		Wa Di		714	ImDg	K2 V M2 V	{ -2 }	(801-5)	[2028]		15	0
Ley	A	0107	Kilupkukar	BA7A000-5		Oc Di		203	ImDg	K0 V M9 V	{ -1 }	(A05+1)	[4028]		12	0
Ley	A	0108	Kikagirbig	C754000-9		Di		400	ImDg	K6 V	{ -1 }	(806+1)	[5028]		11	0
Ley	A	0109	AAA-404	CA9A000-7		Oc Di		112	ImDg	M1 V	{ -2 }	(801+1)	[3028]		9	0
Ley	E	0111	Sikiir	C566000-7		Di		610	ImDg	G9 V	{ -2 }	(702-1)	[4028]		11	0
Ley	E	0113	8C3-018	D8C3000-A		Fl Di		204	ImDg	M2 V	{ -1 }	(B04-2)	[3028]		10	0
Ley	E	0114	Iigdanaa	B403000-7		Ic Va Di		502	ImDg	M2 V M2 V	{ -1 }	(804-3)	[1028]		8	0
Ley	E	0118	Arkhurkurku	B400000-A		Va Di		314	ImDg	M2 V	{ 1 }	(D05-1)	[4028]		10	0
Ley	E	0119	Gibagakhu	D533000-7		Po Di		003	ImDg	M2 V	{ -3 }	(802-3)	[5028]		10	0
Ley	I	0122	Ekipkhishkad	F575000-8		Di		604	ImDg	K6 V	{ -3 }	(702-5)	[1028]		7	0
Ley	I	0123	Kaaprili	D000000-9		As Va Di		421	ImLu	G0 IV M5 V	{ -2 }	(B03-5)	[2028]		8	0
Ley	I	0127	Gukushulak	F573000-8		Di		205	ImDg	G1 V	{ -3 }	(801-2)	[7028]		8	0
Ley	I	0129	Binaam	F573000-A		Di		404	ImDg	G2 V	{ -1 }	(601-5)	[1028]		7	0
Ley	M	0139	Zanshaseshkhiim	F424000-A		Di		503	ImDg	M1 V	{ -1 }	(A02-2)	[5028]		9	0
Ley	A	0201	Umshushmikem	D421000-7		He Po Di		413	ImDg	K5 V M7 V	{ -3 }	(701-4)	[1028]		10	0
Ley	A	0202	Undakhikle	C969000-7		Di		612	ImDg	G2 V	{ -2 }	(A05-1)	[3028]		8	0
