Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Lish	A	0101	Gakhir.	B734000-5		Di		403	ImDa	M2 V K4 V	{ -1 }	(903-3)	[1028]		10	0
Lish	A	0110	Lemishlar.	B569000-8		Di		213	ImDa	M2 V	{ -1 }	(901+2)	[4028]		8	0
Lish	E	0111	Lemishlar.	C100000-9		Va Di		310	ImDa	M3 V	{ -1 }	(601-3)	[1028]		8	0
Lish	E	0112	Lemishlar.	C410000-7		Di		101	ImDa	G8 V	{ -2 }	(401-3)	[1028]		8	0
Lish	E	0116	Lemishlar.	C675000-9		Di		702	ImDa	M1 V M4 V	{ -1 }	(701-1)	[1028]		8	0
Lish	E	0117	Lemishlar.	B310000-A		Di		001	ImDa	M1 V M8 V	{ 1 }	(704-3)	[1028]		8	0
Lish	E	0118	Lemishlar.	C420000-7		De He Po Di		104	ImDa	M1 V M4 V	{ -2 }	(B05-1)	[3028]		8	0
Lish	E	0119	Lemishlar.	E584000-9		Di		703	ImDa	G9 V M1 V	{ -2 }	(501-3)	[3028]		8	0
Lish	I	0121	Lemishlar.	D425000-7		Di		703	ImDa	K0 V M7 V	{ -3 }	(A03-4)	[2028]		8	0
Lish	I	0122	Lemishlar.	F543000-A		Po Di		821	ImDa	G0 V M4 V	{ -1 }	(901-4)	[3028]		8	0
Lish	I	0124	Khauur Kiim.	D797000-8		Di		410	ImDa	G7 V	{ -3 }	(501-5)	[1028]		10	0
Lish	I	0125	Uundas.	B437000-9		Di		712	ImDa	M2 V	{ 0 }	(701-3)	[1028]		12	0
Lish	I	0128	Galadu	D675000-A		Di		404	ImDa	G0 V	{ -1 }	(C03-5)	[2028]		7	0
Lish	I	0130	Ishuunkhiiig.	D744000-A		Di		513	ImDa	M2 V	{ -1 }	(801-4)	[1028]		8	0
Lish	M	0132	Shakha A.	F000000-9		As Va Di		603	ImDa	G3 V M0 V	{ -2 }	(801-2)	[7028]		14	0
Lish	M	0133	Shuna	F300000-A		Va Di		522	ImDa	K1 III D	{ -1 }	(901-3)	[2028]		9	0
Lish	M	0134	Shuna	CACA000-8		Fl Di		203	ImDa	K8 V M1 V	{ -2 }	(801+3)	[5028]		9	0
