Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Magy	C	1701	Idshu	E541000-A		He Po Di		703	ImDs	M2 V M6 V	{ -1 }	(701-5)	[1028]		13	0
Magy	C	1801	Duudgiliinmi	B541000-A		He Po Di		814	ImDs	F9 V	{ 1 }	(C05-3)	[1028]		12	0
Magy	C	1904	Irgu	D56A000-A		Wa Di		515	ImDs	M2 V	{ -1 }	(901-4)	[1028]		12	0
Magy	C	1905	Lashupkukish	C541000-A		He Po Di		610	ImDs	M3 V M1 V	{ 0 }	(905+5)	[A028]		12	0
Magy	C	1907	Isde	D434000-A		Di		703	ImDs	M1 V M0 V	{ -1 }	(601-2)	[1028]		10	0
Magy	C	2004	Agiklushke	F423000-A		Po Di		622	ImDs	M3 V M1 V	{ -1 }	(A01-5)	[1028]		7	0
Magy	C	2007	Pameguu	C546000-A		Di		734	ImDs	G7 V K9 V	{ 0 }	(F06-2)	[1028]		10	0
Magy	C	2008	7B6-058	E7B6000-A		Fl Di		701	ImDs	M2 V M7 V	{ -1 }	(601-4)	[2028]		11	0
Magy	C	2009	Garkagir	F998000-A		Di		403	ImDs	F8 V K1 V	{ -1 }	(401-5)	[1028]		16	0
Magy	C	2102	Geshshugkhi	F556000-A		Di		504	ImDs	G0 V	{ -1 }	(702-5)	[1028]		8	0
Magy	C	2103	Giiddi	F873000-A		Di		803	ImDs	G7 V M4 V	{ -1 }	(801-5)	[1028]		11	0
Magy	C	2104	Gumarlashki	F434000-A		Di		524	ImDs	K3 V	{ -1 }	(D02-5)	[1028]		16	0
Magy	C	2106	8CA-423	F8C9000-A		Fl Di		104	ImDs	M1 V	{ -1 }	(701-5)	[1028]		15	0
Magy	C	2205	8C9-502	D8C9000-A		Fl Di		502	ImDs	M3 V M4 V	{ -1 }	(803+2)	[6028]		15	0
Magy	C	2206	Diidishgi	D797000-A		Di		304	ImDs	G5 V K1 V	{ -1 }	(C03-1)	[6028]		13	0
Magy	C	2207	Kankikakhu	C543000-A		Po Di		400	ImDs	M2 V	{ 0 }	(604+1)	[3028]		13	0
Magy	C	2208	Ushgurmiggii	C587000-A		Di		825	ImDs	K0 V	{ 0 }	(E06-2)	[1028]		10	0
Magy	C	2209	Aarkarliiki	D540000-A		De He Po Di		603	ImDs	K1 V	{ -1 }	(601-3)	[1028]		14	0
Magy	G	2214	Kharnesushga	B522000-A		He Po Di		204	ImDs	M0 V	{ 1 }	(C05+1)	[5028]		9	0
Magy	C	2302	Ukaagbesa	B632000-9		Po Di		204	ImDs	M2 V M4 V	{ 0 }	(701-3)	[1028]		12	0
Magy	C	2303	Ursaaliku	D79A000-A		Wa Di		323	ImDs	G6 V M4 V	{ -1 }	(C04-2)	[3028]		11	0
Magy	C	2304	Esegma	B561000-9		Di		002	ImDs	G1 V G9 V	{ 0 }	(804-3)	[1028]		16	0
Magy	G	2312	Susha	D500000-A		Va Di		402	ImDs	K6 V	{ -1 }	(701-1)	[2028]		5	0
Magy	G	2316	Arkas	D541000-A		He Po Di		103	ImDs	M2 V M9 V	{ -1 }	(801-4)	[1028]		8	0
Magy	G	2319	Mugishugam	550000-6		De Po Di		612	ImDs	G0 V	{ -3 }	(401-5)	[1028]		15	0
Magy	K	2321	8CA-880	F8C9000-A		Fl Di		210	ImDs	M2 V	{ -1 }	(601-5)	[1028]		12	0
Magy	C	2403	Marshangaguur	F899000-A		Di		110	ImDs	M0 V	{ -1 }	(601-5)	[1028]		13	0
Magy	C	2406	Likiigasshan	C313000-9		Ic Di		102	ImDs	M2 V	{ -1 }	(804-3)	[1028]		11	0
Magy	C	2409	Midakikas	D687000-A		Ga Di		802	ImDs	K9 V M1 V	{ -1 }	(904+1)	[5028]		12	0
Magy	G	2411	Idzaa	B541000-A		He Po Di		415	ImDs	M1 V	{ 1 }	(C04-3)	[1028]		10	0
Magy	G	2412	6A8-745	D6A8000-A		Fl Di		013	ImDs	K9 V	{ -1 }	(C03-5)	[1028]		12	0
Magy	G	2413	Gugunaarsu	C679000-A		Di		200	ImDs	M2 V M7 V	{ 0 }	(705+2)	[6028]		16	0
Magy	G	2415	Lurkashnaga	D735000-A		Di		705	ImDs	M0 V	{ -1 }	(D03-4)	[3028]		9	0
Magy	G	2416	Kasimkaamshar	B897000-A		Di		604	ImDs	K1 V	{ 1 }	(A04+1)	[4028]		12	0
Magy	G	2418	Niiki	C552000-A		Po Di		514	ImDs	M1 V M8 V	{ 0 }	(C05-2)	[2028]		9	0
Magy	K	2421	Khalupish	F557000-A		Di		604	ImDs	G8 V	{ -1 }	(601-4)	[3028]		10	0
Magy	K	2422	Khim	B555000-A		Di		705	ImDs	M1 V M9 V	{ 1 }	(D06+3)	[7028]		10	0
Magy	K	2423	Gudirgugi	D516000-A		Ic Di		004	ImDs	G3 V	{ -1 }	(901-4)	[1028]		13	0
Magy	D	2503	Aarkagaki	D421000-A		He Po Di		204	ImDs	M1 V	{ -1 }	(C04-3)	[3028]		8	0
Magy	D	2505	Khuungardek	C621000-A		He Po Di		324	ImDs	K0 V	{ 0 }	(D06-2)	[1028]		11	0
Magy	D	2506	Lontarelli	C520000-9		De He Po Di		022	ImDs	K3 V K1 V	{ -1 }	(701-3)	[1028]		13	0
