Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Troj	C	2002	Berengaria	C566000-7		Di		604	ImDd	F7 V	{ -2 }	(806+1)	[4028]		12	0
Troj	C	2102	Doradon	B400000-6		Va Di		400	ImDd	F3 V	{ -1 }	(501+2)	[4028]		13	0
Troj	C	2105	Pax Rulin	B402000-9		Ic Va Di		713	ImDd	M8 III	{ 0 }	(801-3)	[1028]		7	0
Troj	C	2202	Rhysk	C550000-9		De Po Di		803	ImDd	G4 V M7 V	{ -1 }	(904-1)	[2028]		16	0
Troj	C	2203	Alexin	C000000-9		As Va Di		720	ImDd	F5 V	{ -1 }	(804-3)	[1028]		11	0
Troj	C	2204	Labora	D431000-A		Po Di		522	ImDd	K1 V	{ -1 }	(801-4)	[1028]		12	0
Troj	G	2211	Labora	C533000-5		Po Di		303	ImDd	M1 V M1 V	{ -2 }	(703-3)	[3028]		12	0
Troj	G	2213	Belt-9	C586000-9		Di		105	ImDd	F0 V	{ -1 }	(D06+4)	[8028]		11	0
Troj	C	2304	Belt-9	B788000-8		Di		214	ImDd	M4 V	{ -1 }	(B04-3)	[1028]		11	0
Troj	C	2306	Belt-9	C000000-B		As Va Di		013	ImDd	M1 V M5 V	{ 0 }	(801-2)	[1028]		11	0
Troj	C	2402	Corben	D574000-7		Di		304	ImDd	F4 V	{ -3 }	(803-4)	[3028]		9	0
Troj	C	2405	Corben	D868000-5		Di		403	ImDd	M5 V	{ -3 }	(804+1)	[6028]		9	0
Troj	G	2411	Corben	F545000-A		Di		414	ImDd	F5 V M9 V M7 V	{ -1 }	(B01-5)	[2028]		9	0
Troj	D	2501	Macdermont	E879000-A		Di		104	ImDd	F4 V	{ -1 }	(801-5)	[4028]		11	0
Troj	H	2513	Macdermont	C679000-A		Di		303	ImDd	G2 V M4 V	{ 0 }	(801-1)	[1028]		11	0
Troj	H	2515	Macdermont	C78A000-A		Wa Di		714	ImDd	F6 V	{ 0 }	(C05+1)	[5028]		11	0
Troj	D	2602	Fintor	C540000-6		De He Po Di		103	ImDd	F9 V	{ -2 }	(501-3)	[1028]		14	0
Troj	H	2612	Bleak	B550000-8		De Po Di		312	ImDd	F0 V	{ -1 }	(A05-2)	[2028]		7	0
Troj	H	2614	Bleak	F78A000-1		Wa Di		504	ImDd	F6 V M3 V	{ -3 }	(200-5)	[0028]		7	0
Troj	H	2616	Bleak	C550000-9		De Po Di		510	ImDd	F7 V	{ -1 }	(904-2)	[4028]		7	0
Troj	D	2704	Bleak	D9C6000-9		Fl Di		404	ImDd	M2 V	{ -2 }	(801-3)	[1028]		7	0
Troj	D	2708	Iscand	C795000-9		Di		101	ImDd	K6 V	{ -1 }	(806-1)	[2028]		11	0
Troj	D	2709	Mirage	B560000-8		De Di		303	ImDd	F0 V	{ -1 }	(B06+1)	[5028]		9	0
Troj	H	2711	000-301	E68A000-6		Wa Di		511	ImDd	F0 V	{ -3 }	(601-5)	[1028]		10	0
Troj	H	2714	000-301	FAC8000-B		Fl Di		620	ImDd	F3 V M5 V	{ -1 }	(701-5)	[1028]		10	0
