Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Verg	E	0418	Sharakhaz	C549000-A		Di		002	ImDi	K8 V M6 V	{ 0 }	(804+2)	[5028]		10	0
Verg	E	0517	Mirdeglila	C561000-A		Di		203	ImDi	M2 V M5 V	{ 0 }	(B06+2)	[6028]		14	0
Verg	E	0520	Markhenlash	F554000-8		Di		412	ImDi	K9 V	{ -3 }	(601-2)	[5028]		11	0
Verg	I	0526	Kekiishmadkhu	E667000-A		Ga Di		813	ImDi	M2 V M6 V	{ -1 }	(B02-5)	[1028]		9	0
Verg	I	0528	Saarkuu	D410000-8		Di		403	ImDi	K3 V	{ -3 }	(801-1)	[3028]		10	0
Verg	I	0622	Lakim	F433000-9		Po Di		402	ImDi	M2 V M8 V	{ -2 }	(901-5)	[2028]		12	0
Verg	I	0626	Aarme	C594000-A		Di		413	ImDi	M2 V	{ 0 }	(A04-3)	[1028]		10	0
Verg	E	0711	Kukzuushka	400000-9		Va Di		104	ImDi	K1 V	{ -2 }	(801-3)	[6028]		13	0
Verg	J	0925	Ladake	D593000-A		Di		400	ImDi	M0 V M3 V	{ -1 }	(401-4)	[1028]		13	0
Verg	J	1124	Iimiirgi	C575000-A		Di		812	ImDi	M1 V M9 V	{ 0 }	(801-1)	[1028]		9	0
Verg	J	1426	Sapkii	F766000-9		Ga Di		102	ImDi	M1 V M4 V	{ -2 }	(301-5)	[1028]		10	0
Verg	J	1630	Nakar	B424000-9		Di		004	ImDi	M0 V	{ 0 }	(C05+1)	[6028]		11	0
Verg	G	1717	Dikha	D531000-9		Po Di		210	ImDi	M1 V M8 V	{ -2 }	(601-4)	[1028]		12	0
Verg	G	1718	Kadgippiki	D996000-A		Di		702	ImDi	M2 V	{ -1 }	(A03-5)	[2028]		5	0
Verg	K	1727	Kedushumma	C420000-A		De He Po Di		504	ImDi	M2 V	{ 0 }	(C05-2)	[3028]		7	0
Verg	C	1806	Shimuukedum	B958000-A		Di		501	ImDi	G9 V M1 V	{ 1 }	(501+1)	[1028]		6	0
Verg	C	1809	Naapu	D577000-8		Di		703	ImDi	M0 V M1 V	{ -3 }	(703-3)	[3028]		12	0
Verg	C	1810	Khigagamka	D310000-A		Di		602	ImDi	M2 V	{ -1 }	(803-4)	[1028]		9	0
Verg	G	1811	Armimgu	F541000-9		He Po Di		112	ImDi	M0 V	{ -2 }	(801-5)	[1028]		9	0
Verg	G	1814	Shasashe	C575000-7		Di		201	ImDi	M3 V M0 V	{ -2 }	(804-2)	[4028]		13	0
Verg	G	1816	7A5-842	E795000-A		Di		024	ImDi	K5 V	{ -1 }	(501+1)	[6028]		10	0
