Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Afaw	A	0103	Kifnell	C653875-7		Po Ph		520	NaXX	F7 V	{ -1 }	(578+2)	[B759]		10	560
Afaw	M	0131	Eahyo	X433731-0		Na Po		400	AsTv	M7 V D	{ -2 }	(765+5)	[7541]		6	1050
Afaw	M	0132	Aiois	C310744-7		Na Pi		612	AsT1	G9 V	{ -1 }	(769+1)	[965B]		13	378
Afaw	M	0133	Yaioukh	X538620-0		Ni		200	AsMw	K6 V D	{ -3 }	(950-2)	[5371]		11	-90
Afaw	M	0134	Hraolao	C676734-3	R	Ag Pi		623	AsSc	G3 V	{ 0 }	(966-1)	[6756]		16	-324
Afaw	M	0135	Tahrahryol	C27056A-7	R	De Ni		912	AsVc	F4 V	{ -2 }	(743-3)	[2388]		11	-252
Afaw	M	0136	Akhase	C246300-7	T	Lo		314	AsT9	G4 V	{ -2 }	(820-1)	[7148]		9	-16
Afaw	I	0228	Urlich's Find	X557701-1		Ag		413	NaXX	K5 V	{ -1 }	(564+2)	[7662]		12	240
Afaw	I	0230	Hiyalrou	C458889-7		Pa Ph		212	AsMw	F6 V	{ -1 }	(879-4)	[5725]		15	-2016
Afaw	M	0232	Eahiyaiy	C799455-8		Ni		114	AsWc	G8 V D	{ -2 }	(F34+1)	[4268]		17	180
Afaw	M	0234	Khiy	C676330-7		Lo		602	AsTv	M6 V M6 V	{ -2 }	(720+3)	[31A8]		7	42
Afaw	M	0235	Esaih	C774223-5		Lo		403	AsMw	F0 V	{ -2 }	(510+3)	[4129]		9	15
Afaw	M	0239	Sewaryu	C537444-A		Ni		800	AsT2	K1 V	{ 0 }	(331+2)	[241D]		6	18
Afaw	M	0332	Hkaoiroiha	C300225-B	R	Lo Va		424	AsMw	G3 II D	{ 0 }	(E10+1)	[5297]		15	14
Afaw	M	0333	Aokta	C385664-8		Ag Ni Ri		713	AsT3	M6 V	{ 0 }	(D52+5)	[661B]		13	650
Afaw	M	0338	Yaikhekhiea	C566425-9	T	Ni Pa		804	AsT3	F7 V	{ -1 }	(834-2)	[238C]		12	-192
Afaw	M	0339	Aiuieahroa	D110541-9	T	Ni		305	AsT3	M8 V	{ -2 }	(C41-1)	[5338]		13	-48
Afaw	M	0340	Aouiyeieih	D325322-5		Lo		602	AsMw	G8 V	{ -3 }	(920+4)	[6139]		10	72
Afaw	M	0439	Hosouaoasa	D9E5322-8		Lo		403	AsT0	G2 III M8 V	{ -3 }	(620-2)	[215C]		15	-24
Afaw	M	0440	Wurl	D200100-5	T	Lo Va		904	AsTv	M9 V M9 V D	{ -3 }	(B00-3)	[1154]		11	-33
