Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ahki	A	0101	Dalanesalar	D683443-8		Ni		130	NaAs	K0 V	{ -3 }	(     )	[    ]			0
Ahki	A	0104	Wirout	E557100-8		Fo Lo	R	731	NaAs	G5 V	{ -3 }	(     )	[    ]			0
Ahki	A	0105	Ame	C346245-9		Lo		803	NaAs	K0 V	{ -1 }	(     )	[    ]			0
Ahki	A	0108	Vansomo	D635100-A		Lo		930	NaAs	M0 V	{ -1 }	(     )	[    ]			0
Ahki	A	0203	Nacashir	C628310-8		Lo		912	NaAs	M0 V	{ -2 }	(     )	[    ]			0
Ahki	A	0205	Mocet	B76A78A-B		Ri Wa		830	NaAs	K0 V	{  3 }	(     )	[    ]			0
Ahki	A	0207	Jerchend	E410000-0		Ba		002	NaAs	M7 V	{ -3 }	(600-5)	[0000]		8	-30
Ahki	A	0210	Jire	C758264-9		Lo Re		222	NaAs	G5 V	{ -1 }	(     )	[    ]			0
Ahki	A	0303	Minero	C310354-8		Lo		100	NaAs	M0 V	{ -2 }	(     )	[    ]			0
Ahki	A	0307	Dongirean	C747101-7		Lo		203	NaAs	G5 V	{ -2 }	(     )	[    ]			0
Ahki	A	0403	Thireen	D72A310-A		Lo		110	NaAs	M0 V	{ -1 }	(     )	[    ]			0
Ahki	A	0406	Ahkuihyal	C544553-C		Ag Ni		914	AsWc	G5 V	{  1 }	(     )	[    ]			0
Ahki	A	0408	Tleawlusyeoi	E647151-9		Lo		202	AsXX	K0 V M8 V	{ -2 }	(     )	[    ]			0
Ahki	A	0409	Oatehoioiy	C451576-8		Ni Po		812	AsSc	K0 V	{ -2 }	(     )	[    ]			0
Ahki	A	0503	Atrarenet	AAEA975-E		Hi Oc		722	NaAs	K0 V	{  3 }	(     )	[    ]			0
Ahki	A	0506	Fa	C000565-C		As Mr Ni Va		120	AsVc	M7 V	{  0 }	(     )	[    ]			0
Ahki	A	0507	Hlahea'a	B64379A-D		Pi Po		511	AsT3	G5 V	{  2 }	(     )	[    ]			0
Ahki	A	0508	Khteaaftea	C543455-8		Ni Po		232	AsWc	G5 V	{ -2 }	(     )	[    ]			0
Ahki	A	0510	Keuiaauyor	C110104-9		Lo		403	AsXX	M0 V	{ -1 }	(     )	[    ]			0
Ahki	A	0601	Teneentre	A77A749-B		Pi Wa		102	NaAs	K0 V	{  2 }	(     )	[    ]			0
Ahki	A	0602	Athani	D331411-8		Ni Po		404	NaAs	M7 V	{ -3 }	(     )	[    ]			0
Ahki	A	0605	Ktorlea	D234458-6		Ni		300	AsT3	M7 V	{ -3 }	(     )	[    ]			0
Ahki	A	0608	Hkeietih	C557523-C		Ag Ni		312	AsMw	G5 V	{  1 }	(     )	[    ]			0
Ahki	A	0701	Ayar	E647000-0		Ba		010	NaAs	K0 V M8 V	{ -3 }	(400-5)	[0000]			-20
