Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ahri	A	0101	Eihuaye	C78A311-7	V	Lo Wa		711	In	M5 V M7 V	{ -2 }	(720-2)	[21A8]		11	
Ahri	A	0102	Mortdale	X000000-0		As Ba Va		012	NaXX	K2 V	{ -3 }	(400-5)	[0000]		12	
Ahri	A	0201	Iyikeiw	X443000-0		Ba Po		031	NaAs	G8 V	{ -3 }	(700-5)	[0000]		10	
Ahri	A	0203	Uyahkaw	X300000-0		Ba Va		003	NaXX	M0 V	{ -3 }	(500-5)	[0000]		14	
Ahri	A	0301	Hrahkiyer	C431443-9		Po Ni		600	NaAs	M2 V BD M5 V	{ -1 }	(733+2)	[2346]		9	
Ahri	A	0303	Satu	C9C7235-A		Lo Fl		221	NaAs	K0 V	{  0 }	(910-2)	[225A]		10	
Ahri	A	0304	Najashju	E422465-7		He Lk Ni Po Re		531	NaAs	K4 V M4 V M7 V M7 V	{ -3 }	(A30+1)	[4116]		14	
Ahri	A	0308	Laplace	E452212-3		Lo Lt Po Rs Tz Huma5 Inyx5		521	Ip	K8 V	{ -3 }	(510+2)	[1111]		10	
Ahri	A	0406	Vector	C537523-8	S	Ni Dolp2 Huma3 Inyx4		904	Ip	G6 V	{ -2 }	(841+1)	[2356]		10	
Ahri	A	0509	Finite	B765963-A		Ga Hi Pr O:0510 Huma6 Inyx1		101	Ip	G9 V K3 V	{  3 }	(886-2)	[BC5C]		5	
Ahri	A	0510	Matrix	A66992A-C		Cx Hi Ht Pr Dolp3 Huma4 (Inyx)3		704	Ip	G7 V	{  3 }	(D8D+1)	[DD5B]		10	
Ahri	A	0601	Mortal	E674447-4		Lt Ni Pa		433	NaHu	K9 V	{ -3 }	(630-2)	[5253]		19	
Ahri	A	0607	Elementary	D673214-5		Lo Lt Dolp3 Huma4 Inyx3		100	Ip	G6 V	{ -3 }	(510+1)	[3169]		9	
Ahri	A	0608	Unitary	B98AA8B-C		Hi Ht Wa Dolp3 Huma4 Inyx2		121	Ip	F8 V	{  3 }	(899+1)	[DD5G]		11	
Ahri	A	0802	Aorleakh	X000000-0		As Ba Va		020	NaXX	K8 V	{ -3 }	(A00-5)	[0000]		8	
Ahri	A	0804	Absolute	A56A997-B	N	Hi Pr Wa		422	NaAs	M7 V BD	{  3 }	(789-2)	[DC2F]		14	
Ahri	A	0806	Quark	D987410-7		Ni Pa Dolp3 Huma1 Inyx6		300	Ip	K4 III	{ -3 }	(831-2)	[7117]		6	
Ahri	B	0902	Uilelye	X201000-0		Ba Ic Va		001	NaXX	K0 V M3 V	{ -3 }	(900-5)	[0000]		9	
Ahri	B	1007	Tloeiftiyrh	C623616-8	MS	Na Ni Po Px Dolp3 Huma4 Inyx2		101	Ip	G5 V	{ -2 }	(554-3)	[547B]		8	
Ahri	B	1201	Siyeaa	X200000-0		Ba Va		010	NaXX	K6 V	{ -3 }	(900-5)	[0000]		9	
Ahri	B	1208	Ewyelreh	A697998-B		Hi In		211	NaAs	M2 V	{  4 }	(988-5)	[DD1A]		10	
Ahri	B	1210	Htoui	D587435-6		Ni Pa		502	NaAs	G9 V	{ -3 }	(930+2)	[1163]		7	
Ahri	B	1303	Tateaawa	B854551-A		Ag Ni		433	NaAs	M0 V M9 V	{  2 }	(D47+1)	[775E]		14	
Ahri	B	1307	Wahtoi	D300320-9		Co Lo Va		501	NaAs	M3 V	{ -2 }	(920-4)	[113D]		13	
Ahri	B	1308	Mean	D795566-3	C	Ag Lt Ni Mr(Vargr) Varg1		801	NaHu	K4 IV M8 V	{ -2 }	(844+1)	[8393]		10	
Ahri	B	1310	Kaifafah	C522466-6		He Ni Po Px		903	NaAs	K9 V	{ -2 }	(632-4)	[3235]		13	
Ahri	B	1403	Kiwifruit	A78789E-8	KV	Ga Pa Ph Ri		510	NaHu	K8 V	{  2 }	(977+4)	[BA39]		11	
Ahri	B	1406	Yelyeyah	C000344-8	MV	As Lo Va		332	NaAs	K8 V	{ -2 }	(820-2)	[1139]		12	
Ahri	B	1407	Earuilea	E96A220-7		Lo Wa		123	NaAs	M5 V	{ -3 }	(910-1)	[1113]		11	
Ahri	B	1504	Melon	E567122-2		Lo Lt		422	NaHu	G9 V	{ -3 }	(A00-3)	[5167]		15	
Ahri	B	1506	Aiis	C62048C-A	M	De He Ni Po		720	NaAs	G4 V	{  0 }	(B33+1)	[748B]		11	
Ahri	B	1510	Hlorai'o	C555837-6		Pa Ph		111	NaAs	M2 V	{ -1 }	(877-4)	[C746]		9	
Ahri	C	1704	Toladon	X87A000-B		Di Fo Wa	R	003	NaXX	K5 V	{ -1 }	(600-5)	[0000]		10	
Ahri	C	1705	Aseah	E642123-5		He Lo Po		224	NaAs	K9 V	{ -3 }	(800-2)	[5194]		18	
Ahri	C	1804	Karo	B79A555-B		Da Ni Wa	A	902	NaAs	K0 V	{  1 }	(746-1)	[4628]		5	
Ahri	C	1808	Matilda	ACF5502-B	N	Cx Ni KXrr7		400	Ic	A9 V	{  1 }	(844+1)	[964G]		4	
Ahri	C	1904	Dragonfruit	C757635-6	V	Ag Ga Ni		123	NaHu	F6 V	{ -1 }	(A55+3)	[7543]		15	
Ahri	C	1907	Van Diemen	D632676-5		Lt Na Ni Po KXrr8		900	Ic	A7 IV D	{ -3 }	(650-1)	[1373]		4	
Ahri	C	2007	Maxwell	C79A465-7		Ni Re Wa KXrr7		232	Ic	K2 V	{ -2 }	(B32+2)	[5256]		15	
Ahri	C	2009	Snowy	D651677-7		Ni Po KXrr7		722	Ic	A9 V	{ -3 }	(753+4)	[439A]		14	
Ahri	C	2102	Lemon	A88A753-A	M	Ri Wa		310	NaHu	K8 V	{  3 }	(96D+1)	[8A7A]		10	
Ahri	C	2202	Banana	X452000-0		Ba Po		031	NaHu	K9 V	{ -3 }	(700-5)	[0000]		14	
Ahri	C	2203	Raspberries	X7A1000-0		Ba Fl He		031	NaHu	K8 V	{ -3 }	(600-5)	[0000]		14	
Ahri	C	2301	Tangerine	C867420-6	M	Ga Ni Pa		220	NaHu	K3 V	{ -2 }	(B33+1)	[1226]		10	
Ahri	C	2403	Watermelon	D544111-7		Lo		230	NaHu	K5 V M1 V	{ -3 }	(900+2)	[2144]		14	
Ahri	C	2409	Oeaaoh	X401000-0		Ba Ic Va		010	NaXX	M7 V	{ -3 }	(700-5)	[0000]		10	
Ahri	D	2503	Taloiko	E657000-0		Ba Ga		030	NaXX	K1 V	{ -3 }	(700-5)	[0000]		11	
Ahri	D	2505	Yuhwiy	X7A9000-0		Ba Fl		000	NaXX	M0 V M5 V	{ -3 }	(400-5)	[0000]		10	
Ahri	D	2601	Aeilyu	X302000-0		Ba Ic Sa Va		001	NaXX	M3 V M3 V	{ -3 }	(900-5)	[0000]		9	
Ahri	D	2609	Raehiyr	X543000-0		Ba Po		001	NaXX	M5 V M5 V	{ -3 }	(500-5)	[0000]		10	
Ahri	D	2610	Ehkas	X743000-0		Ba Po		012	NaXX	M0 V M5 V	{ -3 }	(900-5)	[0000]		13	
Ahri	D	2701	Yarleia	A6797BD-B	KV	Pi		100	NaAs	K8 V	{  3 }	(A68-3)	[8A46]		10	
Ahri	D	2703	Eahis	X302000-0		Ba Ic Va		000	NaXX	M9 V	{ -3 }	(300-5)	[0000]		13	
Ahri	D	2706	Shindig	A797774-B	M	Ag Pi Pz Huma3 Asla5	A	704	NaHu	K4 V K7 V M6 V	{  3 }	(G6D+1)	[2AAE]		12	
Ahri	D	2707	Avocado	D459100-5		Lo Lt		100	NaHu	M9 V	{ -3 }	(600+1)	[1124]		6	
Ahri	D	2801	Strawberrie	DDD7164-8		Lo Re		433	NaHu	G3 V	{ -3 }	(E00+1)	[4168]		15	
Ahri	D	2802	Blackberrie	D300114-8		Lo Va		311	NaHu	M1 V	{ -3 }	(B00+1)	[1139]		8	
Ahri	D	2803	Pear	C673112-7		Lo Rs		331	NaHu	K7 V	{ -2 }	(800+1)	[4118]		13	
Ahri	D	2806	Yooahriy	X675000-0		Ba		002	NaXX	M2 V M8 V M8 V	{ -3 }	(700-5)	[0000]		9	
Ahri	D	2807	Coconut	D411421-8		Ic Ni		211	NaHu	M0 V	{ -3 }	(730+1)	[619C]		6	
Ahri	D	2810	Yaha	C7A6345-8		Da Fl Lo	A	231	NaAs	M7 V	{ -2 }	(820+1)	[7159]		11	
Ahri	D	2901	Passionfruit	D100123-9		Lo Lk Va		814	NaHu	K8 V M6 V	{ -2 }	(F00-3)	[3139]		18	
Ahri	D	2902	Papaya	E77A485-6		Ni Wa		932	NaHu	G8 V	{ -3 }	(533-4)	[518A]		15	
Ahri	D	2904	Arloirl	D554352-2		Lo Lt Asla4 Dolp3 Inyx3		301	In	K2 V	{ -3 }	(C20-1)	[1155]		7	
Ahri	D	2905	Pineapple	C000421-9		As Ni Va		210	NaHu	K3 V	{ -1 }	(C32-2)	[43A9]		11	
Ahri	D	2907	Stuha	X849000-0		Ba		003	NaXX	M8 V	{ -3 }	(600-5)	[0000]		15	
Ahri	D	2908	Eiweaeih	X658146-0		Fo Lo	R	132	NaAs	G4 V	{ -3 }	(600+1)	[3141]		16	
Ahri	D	2909	Uisyar	D510341-8		Lo		800	NaAs	K1 V	{ -3 }	(920+5)	[1133]		9	
Ahri	D	2910	Grape	D201264-9		Da Lo Ic Re Va	A	110	NaHu	M2 V	{ -2 }	(810-2)	[518A]		8	
Ahri	D	3001	Blueberry	X643000-0		Ba Po		000	NaXX	M1 V	{ -3 }	(700-5)	[0000]		5	
Ahri	D	3002	Apple	E741169-8	C	Da He Lo Lt Mr Po	A	912	NaHu	K8 V M6 V	{ -3 }	(E00+1)	[517C]		13	
Ahri	D	3003	Udinglu	E9A5144-8		Lo Fl		621	NaHu	K4 V	{ -3 }	(D00+1)	[1158]		14	
Ahri	D	3005	Mandarin	B89A785-A		Pi Wa		402	NaHu	A3 V	{  2 }	(B67+1)	[C93A]		7	
Ahri	D	3006	Tallinn	E45A000-0		Ba Wa		020	NaHu	F5 V	{ -3 }	(B00-5)	[0000]		9	
Ahri	D	3008	Taileaiy	X534000-0		Ba		024	NaXX	K5 V	{ -3 }	(600-5)	[0000]		19	
Ahri	D	3009	Luik	A8D7956-C	N	Hi Ht (Voksepp)1		332	Sa	G2 V G8 V K9 V M7 V	{  3 }	(B88-1)	[BCAH]	BE	12	
Ahri	D	3010	Rebane	A999A88-B		Hi In Voks0		123	Sa	G2 V	{  4 }	(89F+3)	[AE79]	BEf	13	
Ahri	D	3102	Ahiyeata	X877000-0		Ba		033	NaAs	M2 V M5 V	{ -3 }	(900-5)	[0000]		15	
Ahri	D	3103	Kumquat	C510421-9	V	Ni		532	NaHu	M4 V M9 V M6 V	{ -1 }	(A34+4)	[4359]		12	
