Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Amdu	A	0103	Akaerrg	E400000-0		Ba Va		000	JuPr	M1 V M1 V	{ -3 }	(200-5)	[0000]		4	0
Amdu	A	0104	Kashur	C8B3144-8		Fl Lo		723	JuPr	M1 V M3 V	{ -2 }	(801-4)	[1136]		9	0
Amdu	A	0105	Kiiminu	D679340-5		Lo		402	JuPr	G8 V	{ -3 }	(521-5)	[1111]		13	5
Amdu	A	0107	Mikag	B895266-6	M	Lo O:0209		101	JuPr	F2 V	{ -1 }	(411-2)	[1145]		12	3
Amdu	A	0109	Egkhudide	C000149-8		As Lo Va		710	JuPr	K1 V M0 V	{ -2 }	(401-1)	[2169]		7	0
Amdu	A	0110	Udhon	D10026A-7		Lo Va Da O:0209	A	504	JuPr	M3 V K4 V	{ -3 }	(411-1)	[4179]		13	4
Amdu	E	0112	Daghoull	B79A110-C	KM	Lo Wa		220	JuPr	G3 V	{ 2 }	(501-2)	[1317]		11	0
Amdu	E	0113	Adzang	C559666-8	M	Ni O:0115		403	JuPr	F1 V	{ -2 }	(B52-3)	[5447]		10	77
Amdu	E	0115	Aghzoghz	B575853-9		Pa Ph Pi Pz	A	603	JuPr	F7 V	{ 1 }	(D7A-2)	[5926]		11	728
Amdu	E	0116	Chaput	C9C537A-9		Fl Lo		701	JuPr	M1 V	{ -1 }	(621+1)	[527B]		9	12
Amdu	E	0117	Ko Vaedza	E8CA204-9		Fl Lo		404	JuPr	M2 V	{ -2 }	(811-4)	[1137]		15	5
Amdu	E	0120	Lisinar	A42569A-A	KM	Ni		410	JAsi	M2 V	{ 2 }	(956+4)	[887C]		8	1,080
Amdu	I	0123	Fedhueto	A779746-8	M	Pi		124	JAsi	F0 V M4 V	{ 0 }	(F68-1)	[6747]		15	648
Amdu	I	0124	Gho Ungzok	B9D6855-7	M	Ph		103	JAsi	F2 V	{ 0 }	(A78-2)	[6835]		11	448
Amdu	I	0125	Ignaamar	C576520-8		Ag Ni		522	JAsi	F2 V	{ -1 }	(B43-5)	[1413]		12	66
Amdu	I	0126	Aekhsoull	A572102-A	KM	He Lo		303	JAsi	K0 V	{ 2 }	(601-2)	[1316]		13	0
Amdu	I	0127	Panorama	B66988A-7	M	Ri Ph		910	JAsi	K9 V M5 V	{ 1 }	(A79+3)	[A979]		11	1,890
Amdu	I	0128	Nigigag	C435545-7	M	Ni		523	JAsi	M2 V	{ -2 }	(742-4)	[3335]		11	34
Amdu	M	0131	Ilaekhs	C556332-6	M	Lo		923	JAsi	F9 V M1 V	{ -2 }	(521-5)	[1112]		12	5
Amdu	M	0134	Caduceus	B542401-C	KM	He Ni Po		424	JuRu	F3 V	{ 2 }	(C35-2)	[1618]		16	144
Amdu	M	0135	Aezouruz	C673240-7		Lo		804	JuRu	K8 V	{ -2 }	(411-5)	[1112]		13	2
Amdu	M	0137	Mamshuli	C564567-7	M	Ag Ni Pr Di (Kaanen) O:0639		522	JuRu	K3 V M6 V	{ -1 }	(743-1)	[5457]		9	76
Amdu	M	0138	Kongeng	C634658-6		Ni		600	JuRu	M2 V M2 V	{ -2 }	(852-2)	[6456]		8	64
Amdu	M	0139	Agksang	C540455-7	M	De He Ni Po		902	JuRu	F6 V	{ -2 }	(631-4)	[2235]		12	11
Amdu	M	0140	Kakhan	C566200-8		Lo		402	JuRu	G0 V	{ -2 }	(611-5)	[1113]		8	3
Amdu	A	0205	Geiger	X540346-5		De He Lo Po Fo	R	613	JuPr	F0 V M8 V	{ -3 }	(521-4)	[2144]		8	6
Amdu	A	0207	Kue Urzue	C6568AB-5		Ga Pa Ph Pz	A	100	JuPr	F2 V	{ -1 }	(A76+1)	[A777]		7	420
Amdu	A	0209	ZIMIGSIKA	A77399B-C	KM	Hi In Pz	A	412	JuPr	F0 V	{ 5 }	(E8G+5)	[BE7E]		11	8,960
Amdu	A	0210	Ghaezaen	A766542-9	K	Ag Ni Ga Pr		933	JuPr	F2 V M5 V	{ 1 }	(D45-3)	[1615]		15	182
Amdu	E	0211	Packer	C899863-6	M	Ph Pi O:0209		623	JuPr	F5 V M9 V	{ -1 }	(A76-4)	[5723]		12	252
Amdu	E	0212	Ueghuekh	B876331-8	M	Lo		400	JuPr	F7 V	{ -1 }	(521-5)	[1214]		6	5
Amdu	E	0213	Oekhel	A552423-C	K	Ni Po		803	JuPr	F9 V M2 V	{ 1 }	(934-2)	[1529]		14	86
Amdu	E	0216	Gukuus	C4337A7-6	M	Na Po Pz	A	525	JuPr	G3 V	{ -1 }	(966-1)	[7656]		18	292
Amdu	E	0219	Ugzue	E679665-5		Ni O:Mend-3119		404	JAsi	F0 V M4 V	{ -3 }	(851-5)	[4333]		14	20
Amdu	I	0221	Amidu	C644365-5		Lo O:0223		502	JAsi	F4 V	{ -2 }	(521-4)	[1133]		13	6
Amdu	I	0222	Fracas	B42748B-C	K	Ni		304	JAsi	M2 V	{ 1 }	(A34+3)	[657E]		15	360
Amdu	I	0223	ASIMIKIGIR	A684A87-E	KM	Hi Cp		300	JAsi	G1 V	{ 4 }	(C9G+4)	[AE5E]		9	6,912
Amdu	I	0225	Aerr Ogo	E5477A8-5		Ag Pi		423	JAsi	G7 V	{ -1 }	(966-1)	[7655]		16	292
Amdu	M	0237	Ueksou	A426434-B		Ni		304	JuRu	A4 III G7 V	{ 1 }	(A34-1)	[2539]		15	108
Amdu	M	0240	Upash	E56657A-6		Ag Ni Pr		102	JuRu	F9 V M3 V	{ -2 }	(742+1)	[7378]		10	56
Amdu	A	0301	Ongeg	B669232-7		Lo Da	A	900	NaHu	M1 V M5 V	{ -1 }	(411-5)	[1113]		8	2
Amdu	A	0304	IMANIK	E834965-6		Hi O:0502		200	JuPr	F4 V	{ -1 }	(B87-3)	[7834]		5	431
Amdu	A	0305	Ughikhs	A567101-A	KM	Lo Da	A	405	JuPr	F2 V	{ 2 }	(801-2)	[1316]		11	0
Amdu	A	0308	Saskwa	B31077A-9		Na Pi		314	JuPr	M3 V M6 V	{ 1 }	(E6A+3)	[987B]		10	2,520
Amdu	A	0309	Sodhsiz	E8478CB-5		Pa Ph Pi Pz	A	903	JuPr	F8 V M0 V	{ -2 }	(A75+1)	[A677]		13	350
Amdu	E	0313	Tukhsaell	B000331-A	K	As Lo Va		315	JuPr	G5 V	{ 1 }	(B21-3)	[1416]		13	15
Amdu	E	0315	Tulloz	E66A841-7		Ri Wa Ph		724	JuPr	F3 V	{ -1 }	(A77-5)	[4713]		14	245
Amdu	E	0316	Rongu	A550599-8	M	De Ni Po Da	A	522	JuPr	F5 V	{ -1 }	(B43+1)	[6469]		12	132
Amdu	I	0327	Ilus	A663762-7	M	Ri O:0223		604	JAsi	F6 V	{ 1 }	(969-3)	[3813]		16	340
Amdu	M	0331	Advent	C000556-A		As Ni Va		534	JAsi	M1 V	{ 0 }	(E44-1)	[4549]		18	202
Amdu	M	0335	Roemer	B79A236-A		Lo Wa		322	JuRu	G0 V M4 V	{ 1 }	(811+1)	[1349]		15	8
