Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Arzu	A	0106	Rutagh	E6A6112-9	-	Fl Lo Varg1	-	810	JuPr	M4 V	{ -2 }	(601+1)	[1199]		9	0
Arzu	A	0109	Carrarn	B100759-C	-	Na Va Pi Varg3	-	502	JuPr	G7 V	{ 2 }	(C6B+1)	[9999]		11	792
Arzu	E	0116	Imkha	C547420-6	M	Ni Pa	-	304	JHhk	M6 V	{ -2 }	(332-2)	[127A]		10	-36
Arzu	E	0119	Kulirzir	X540000-0	-	Ba De He Po	-	001	JHhk	F0 V	{ -3 }	(700+0)	[0000]		8	0
Arzu	I	0121	NENN	C64499E-8	-	Hi In	-	613	JuHl	F1 V	{ 1 }	(B89-1)	[6A44]		14	-792
Arzu	I	0123	KUUNE	A452A63-D	K	Hi Po Varg1 O:XXXX	-	203	JuHl	F5 V	{ 3 }	(C97+0)	[7D5C]		11	756
Arzu	I	0124	Mirashidi	A66668B-8	-	Ag Ni Ga Ri Varg2	-	323	JuHl	F3 V	{ 1 }	(C57+2)	[9758]		11	840
Arzu	M	0135	Sjin	E423100-9	-	Lo Po Varg3	-	205	JuHl	M0 V	{ -2 }	(901-3)	[1159]		12	0
Arzu	M	0136	UERZKSASNOETH	A749A96-C	-	Hi In Varg1	-	200	JuHl	F4 V M0 V	{ 4 }	(999-1)	[AE9D]		7	-729
Arzu	M	0140	Runggvoeknue	B682897-7	-	Ri Ph	-	905	JuHl	F3 V M2 V	{ 1 }	(775-3)	[498A]		13	-735
Arzu	A	0201	Khakarrgh	B677737-9	-	Ag Pi	-	912	JuPr	F2 V M4 V	{ 2 }	(B6E+0)	[B915]		14	924
Arzu	A	0203	Rahar	C695634-5	-	Ag Ni	-	704	JuPr	K3 V	{ -1 }	(453+3)	[7551]		12	180
Arzu	A	0206	Rrurrgur	B311267-B	-	Ic Lo Varg1 O:XXX	-	405	JuPr	K6 V M9 V	{ 1 }	(911+2)	[634C]		11	18
Arzu	A	0207	Agha	C210635-D	-	Na Ni Varg5	-	213	JuPr	F9 V	{ 0 }	(E53+0)	[264A]		14	210
Arzu	A	0210	Shaka	C4455D7-A	-	Ag Ni Varg1	-	322	JuPr	F9 V	{ 1 }	(G43+3)	[564C]		15	576
Arzu	E	0211	Gisanal	A778778-7	-	Ag Pi Varg1	-	523	JuPr	F7 V	{ 1 }	(A67+0)	[385A]		12	420
Arzu	E	0213	Kaspur	D437438-9	-	Ni Varg1	-	001	JuPr	K9 V	{ -2 }	(833-1)	[4256]		13	-72
Arzu	I	0223	Gzaek	B97A562-C	-	Ni Wa O:XXXX	-	112	JuHl	F0 V	{ 1 }	(642+3)	[7668]		11	144
