Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Cano	A	0107	Xuan	B554444-A	KM	Ni Pa		200	SoCf	K3 V	{ 2 }	(834+5)	[26AE]		10	480
Cano	A	0109	Edifice	E520125-7		De He Lo Po		402	SoCf	M1 V G5 V	{ -3 }	(801-2)	[3143]		8	0
Cano	A	0110	Novosibirsk	B665610-8		Ag Ni Ga Ri Tz		103	SoCf	M2 V M9 V	{ 1 }	(D52+1)	[9779]		11	130
Cano	E	0111	Sahuarita	B520698-7	KM	De He Na Ni Po		832	SoCf	F1 V	{ 0 }	(851+1)	[4676]		15	40
Cano	E	0112	Shiver	E648214-5		Lo Fr		713	SoCf	M1 V	{ -3 }	(511+0)	[1117]		8	0
Cano	E	0118	HIPPONAX	A889A8A-E	KM	Hi Cp Sa		221	SoCf	K0 V M0 V	{ 4 }	(B9F+2)	[7E4A]		11	2,970
Cano	I	0123	Mariya	E200111-7		Lo Va Sa		632	SoCf	M6 V A2 IV	{ -3 }	(501+0)	[5149]		15	0
Cano	I	0124	Cain	X300000-0		Ba Va Fo Tz	R	022	SoCf	M8 V M6 V	{ -3 }	(700-5)	[0000]		14	0
Cano	I	0126	Lemain	E410000-0		Ba Tz		011	SoCf	K9 V	{ -3 }	(700-5)	[0000]		12	0
Cano	M	0134	Hwilrea	E756549-6		Ag Ni Ga		401	AsOf	G6 V	{ -2 }	(543+0)	[7325]		10	0
Cano	M	0137	Asalah	B587558-B		Ag Ni Pr Fr		202	NaAs	M9 V	{ 2 }	(C43+1)	[575D]		8	144
Cano	A	0204	Dezerta	D630144-6		De Lo Po		203	SoCf	K9 V	{ -3 }	(701-1)	[2163]		13	0
Cano	A	0208	Gliklik	C68A553-A		Ni Wa Pr Dolp4		530	SoCf	G5 V M3 V	{ 0 }	(942-1)	[454B]		12	65
Cano	E	0213	Nuember	E410000-0		Ba Tz		002	SoCf	M6 V	{ -3 }	(300-5)	[0000]		10	0
Cano	E	0218	Sulabha	D410361-8		Lo AslaW Tz Mr		102	SoCf	M7 V	{ -3 }	(E21+2)	[2175]		12	56
Cano	I	0221	Ambit	E100333-8		Lo Va		201	SoCf	K9 V	{ -3 }	(821+1)	[7189]		12	16
