Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W
0103	Iaprpef-70	X110000-0		Ba		014	NaXX	G5 V	{ -3 }	(800-4)	[0000]		13
0109	Ilbriadl-3	X878000-0		Ba		023	NaXX	K1 V	{ -3 }	(900+2)	[0000]		12
0204	Zhdia-61	X997000-0		Ba		002	NaXX	K5 V	{ -3 }	(700-2)	[0000]		9
0303	Dleiabl	X55A879-4		Wa Ph	R	133	NaHu	K9 V	{ -2 }	(276-1)	[7686]		15
0304	Zhienzneshr	E553530-4		Ni Po		724	NaHu	F7 III	{ -3 }	(840-4)	[A257]		15
0401	Arebr	C65A440-9		Wa Ni		112	NaHu	K4 V	{ -1 }	(D31+0)	[4328]		9
0405	Freleblklinch	E533526-8		Ni Po		524	CsZh	G6 II	{ -3 }	(C40+2)	[5299]		15
0410	Zdiaqrd-13	X459000-0		Ba		000	NaXX	G6 V	{ -3 }	(600+2)	[0000]		6
0501	Densiarep	C657444-7		Ga Ni Pa		224	NaHu	G0 V	{ -2 }	(930+1)	[1278]		15
0509	Zdezdr'strr	C626540-A	KM	Ni		133	CsZh	M0 V M1 VI	{ 1 }	(H42+4)	[964D]		13
0602	Banzo	X969000-0		Ba		010	NaXX	G4 V	{ -3 }	(900-4)	[0000]		6
0606	Zetkro	E200473-9		Va Ni		424	CsZh	A8 IV G0 V	{ -2 }	(E30+0)	[5247]		11
0607	Tlasheze	X610000-0		Ba		024	NaXX	M6 V M0 VI	{ -3 }	(A00-3)	[0000]		12
0608	Ozhdezhidl	C100435-8		Va Ni		223	NaHu	A0 V G5 VI	{ -2 }	(A32-5)	[6258]		17
0707	Iafljik-88	X766000-0		Ga Ba		023	NaXX	K3 III	{ -3 }	(B00-2)	[0000]		13
0802	Ilzhdienchiel	B544421-6	KM	Ni Pa		220	CsZh	G6 II	{ 0 }	(831+3)	[2436]		10
0805	R'idlji-22	XAB5000-0		Fl Ba		024	NaXX	A3 V G4 VI	{ -3 }	(600+1)	[0000]		15
0908	Shiedav	C98A837-8	KM	Wa Ph Ri		110	ZhMe	F4 V F9 VI K5 VI	{ 1 }	(67A+0)	[796B]		10
0910	Inshdia	C49A441-A	KM	Wa Ni		425	ZhMe	G7 III	{ 1 }	(F32+0)	[3528]		14
1004	Noplemaqr	C677688-8	KM	Ni Ag		102	ZhMe	F3 V D	{ 0 }	(853+0)	[5657]		11
1101	Orenze	C579420-9		Ni		400	ZhMe	G6 V	{ -1 }	(B32-2)	[6358]		4
1104	Ra-759	B49A644-D	KM	Wa Ni		323	ZhMe	M1 II	{ 2 }	(G58+0)	[781F]		9
1106	Kriase	C5418BB-5		He Ph Pi Po		124	ZhMe	G5 V M1 VI	{ -1 }	(877+4)	[B758]		13
1109	Stiekdlriav	C667953-9		Ga Hi Pr		514	ZhMe	M5 VI M7 VI	{ 1 }	(B89-2)	[8A4B]		17
1206	Rielshizsev	X779000-0		Ba	F	024	ZhMe	M5 V BD	{ -3 }	(400-3)	[0000]		13
1207	Breiensh	C466623-6		Ni Ag Ri		700	ZhMe	G2 IV K5 V M1 V	{ 0 }	(752+1)	[4653]		5
1209	Avzhdientsdl	B610798-A		Na Pi		802	ZhMe	G4 V M3 V	{ 2 }	(A64+2)	[693B]		9
1210	Iapchti	A200647-C		Va Ni Na		602	ZhMe	K6 V K6 V	{ 1 }	(D52+3)	[575G]		6
1301	Stieblech	D427543-8		Ni		725	ZhMe	G4 V	{ -3 }	(E40-1)	[5226]		17
1302	Evavrzek	XAB4000-0		Fl Ba	F	021	ZhMe	A1 V	{ -3 }	(300+0)	[0000]		10
1304	Enekzats	X658000-0		Ba	F	000	ZhMe	K1 V D	{ -3 }	(800+4)	[0000]		6
1310	Idle	B748420-7		Ni Pa		125	ZhMe	M6 V BD	{ -1 }	(831-5)	[3343]		18
1403	Iabrliaiep	A79A753-C	KM	Wa Pi Cp		102	ZhMe	F8 V G4 VI	{ 3 }	(865+4)	[7A5A]		8
1404	Tliedroch	X302000-0		Ic Va Ba	F	014	ZhMe	G5 V M9 VI	{ -3 }	(500+1)	[0000]		12
1407	Zdaflmiatpafr	B789A66-B		Hi		723	ZhMe	M5 VI BD BD	{ 3 }	(B99+0)	[CD67]		10
1409	Abple	X458000-0		Ba	F	023	ZhMe	G1 V	{ -3 }	(500-1)	[0000]		14
1502	Tlichjda'ich	X768000-0		Ba	F	012	ZhMe	F3 V K7 VI F8 VI	{ -3 }	(700+1)	[0000]		10
1504	Shekrej	C6858A7-3		Ga Ph Pa Ri		713	ZhMe	K8 V K2 VI M6 VI	{ 0 }	(37A-1)	[4826]		10
1507	Stizhkropr	E000536-9		As Va Ni		110	ZhMe	F8 V	{ -2 }	(741+3)	[734B]		13
1508	Rfflefl	X658000-0		Ba	F	002	ZhMe	F2 V	{ -3 }	(800-2)	[0000]		10
1510	Aqlpa	B10087A-8	KM	Va Ph Na Pi		124	ZhMe	G4 V	{ 1 }	(D77-1)	[D96A]		14
1601	Vralieblent	D889420-7		Ni		122	ZhMe	M2 V M5 VI	{ -3 }	(832-2)	[1148]		15
1604	Iliable	C634678-6		Ni	U	800	ZhMe	K3 VI	{ -2 }	(650-5)	[8427]		9
1605	Rianjqenspleb	A764466-B		Ni Pa		402	ZhMe	G2 V	{ 1 }	(B33-1)	[153B]		9
1606	Edvo	C669786-8		Ri		120	ZhMe	G5 IV M8 V	{ 0 }	(968+0)	[8737]		12
1609	Ezh Shtiacht	A433679-D	KM	Ni Na Po		123	ZhMe	K7 V BD	{ 2 }	(953+0)	[283D]		17
1704	Renshdraprzh	A548633-C	KM	Ni Ag		204	ZhMe	F4 V F9 VI F5 V	{ 3 }	(A54-3)	[A96G]		13
1705	Stinsqranshi	A0006A8-F		As Va Ni Na		502	ZhMe	M7 II	{ 1 }	(754-1)	[373E]		10
1801	Rpit	E535643-7		Ni		322	ZhMe	G9 IV D	{ -3 }	(550+0)	[2314]		13
1901	Dratldinch	C314988-C	KM	Ic Hi In		504	ZhMe	M9 V BD	{ 4 }	(C8F-4)	[AD3C]		8
1902	Ezh Steshenc	C77A998-C		Wa Hi In		413	ZhMe	G3 V M8 V	{ 3 }	(E87+5)	[9C4B]		10
1904	Ierl	A100765-E		Va Na Pi		100	ZhMe	F2 III	{ 2 }	(C69+2)	[A92E]		3
1907	Kianchi'	B64189D-8	KM	He Ph Pi Po		200	ZhMe	G9 V D G8 VI	{ 1 }	(67C+2)	[7948]		8
2001	Abdiak	C756620-4	KM	Ga Ni Ag		623	ZhMe	A6 Ia G3 V F4 V	{ 0 }	(B51+0)	[8653]		10
2003	Tatsazstaqr	A546686-A	KM	Ni Ag		210	ZhMe	G9 V	{ 3 }	(856-2)	[A949]		12
2107	Padjonz	A877776-B	D	Ag Pi		524	ZhMe	F2 V G4 VI	{ 4 }	(E6C-3)	[6B8A]		15
2201	Estie	B200994-D	KM	Va Hi Na In Cp		113	ZhMe	K2 V	{ 5 }	(C8D+0)	[8E8E]		14
2202	Ibrepldial	A52658A-D	KM	Ni		124	ZhMe	M0 II M7 V M7 V	{ 2 }	(G43+0)	[5729]		11
2205	Pliapltlatsz	A85779B-C	KM	Ga Ag		103	ZhMe	F3 V	{ 4 }	(567+5)	[7B6G]		9
2209	Fechtief	C88A751-9		Wa Ri		823	ZhMe	M9 V	{ 1 }	(F6A-3)	[9849]		12
2309	Qriadeprianj	C0009CD-C		As Va Hi Na In		300	ZhMe	F8 V D	{ 3 }	(58A+1)	[AC6G]		9
2310	Paliei	A77A530-D		Wa Ni		123	ZhMe	F0 V M2 VI	{ 1 }	(C42+1)	[468F]		14
2401	Drenzha	X699000-0		Ba	F	002	ZhMe	M2 V	{ -3 }	(600+4)	[0000]		11
2410	Irjienshiep	A7A7686-B	KM	Fl Ni		323	ZhMe	A7 Ib	{ 2 }	(C56+3)	[A838]		15
2809	Zoshqlak	A787676-C		Ga Ni Ag Ri	F	102	ZhMe	K7 V M6 VI M8 VI	{ 3 }	(E56+5)	[694B]		13
3009	Dleents	C63289B-9	KM	Ph Na Po		333	ZhMe	G1 V	{ 1 }	(H7C+2)	[B96D]		15
3109	Vlijiel	A79359E-D		Ni		114	ZhMe	K9 III	{ 1 }	(C42+0)	[566E]		17
0215	Zhdelshtanzh	D000522-9		As Va Ni		724	NaHu	F7 V K8 VI	{ -2 }	(D44-1)	[4346]		10
0417	Jeptsaqrzda	C7C2479-9	KM	Fl He Ni		600	ZhMe	A3 V F9 VI A9 V	{ 0 }	(732+4)	[243E]		9
0418	Dliaple	A84A976-C		Wa Hi In Cp		922	ZhMe	G5 V G2 VI	{ 4 }	(A8A-2)	[5D4G]		8
0420	Qrieshlenzh	C588420-4		Ni Pa		524	ZhMe	G2 IV M2 V G9 V	{ -2 }	(731+3)	[2265]		15
0516	Zhablstepl	C100599-7		Va Ni		104	ZhMe	G8 V K8 VI	{ -2 }	(640+1)	[8315]		14
0519	Ienzhiezh	X8A4000-0		Fl Ba	F	024	ZhMe	F7 V G6 VI G5 VI K5 VI	{ -3 }	(300+3)	[0000]		12
0520	Iena'iebl	C9B5632-8		Fl Ni		323	ZhMe	F7 V	{ -2 }	(954-3)	[843A]		11
0611	Aldlivkiash	B68A75A-8	KM	Wa Ri		925	ZhMe	A8 V	{ 2 }	(C68+3)	[7997]		17
0612	Enshdliepzdi	X556000-0		Ba	F	024	ZhMe	A9 II	{ -3 }	(B00+2)	[0000]		17
0613	Broshzhensh	B41089A-B	KM	Ph Na Pi		520	ZhMe	G7 V	{ 3 }	(779+3)	[8B5D]		9
0614	Zhdiechplia	C7A6988-9		Fl Hi In		100	ZhMe	K1 V K4 V	{ 2 }	(88E-2)	[AB35]		11
0616	Plabrkier	C66487C-7	KM	Ph Pa Ri		122	ZhMe	G9 V	{ 1 }	(87B-2)	[8959]		11
