Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar
0916		X676000-0	Ba	{ -3 }	(800-5)	[0000]	-	-	-	003	11	AsXX	K4 V K5 V
2812	Uiseawo	C684A7C-C	Hi Fo	{ 2 }	(E9B+3)	[AC6B]	-	R	R	115	16	AsSc	M1 V
2818	Yaeahiyha	D865452-6	Ga Ni Pa Tu	{ -3 }	(930+3)	[1157]	-	-	-	302	11	AsWc	G1 V K3 V
2819	Ao'awyu	C584362-9	Lo Co O:3118	{ -1 }	(C20-1)	[8256]	-	-	-	113	10	AsMw	K3 V
2917	Hluaasaw	B877575-A	Ag Ni	{ 2 }	(846-4)	[7747]	-	-	-	702	7	AsSc	K5 V K7 V
2918	Huiehur	C764696-8	Ag Ni Ri	{ 0 }	(C53+5)	[7664]	-	R	-	124	16	AsWc	K1 V
3012	Iea	C524685-9	Ni	{ -1 }	(554-3)	[A54A]	-	-	-	202	8	AsWc	K1 V M2 V
3013	Alasiwekh	DA8A6A5-8	Ni Oc Ri	{ -2 }	(A50-2)	[6436]	-	-	-	223	9	AsT5	G1 V K1 V M1 V
3015	Oiyo	C569353-A	Lo	{ 0 }	(A20-4)	[232A]	-	R	-	205	16	AsVc	F2 V M3 V
3020	Oh	B975858-B	Pa Ph Pi	{ 2 }	(D75+1)	[8A26]	-	-	-	105	11	AsWc	G1 V
3111	Aiyalao	D636494-6	Ni	{ -3 }	(B32+2)	[31A9]	-	-	-	503	12	AsVc	M1 V M1 V
3116	Arlew	D610885-7	Na Ph Pi Tz	{ -2 }	(674-3)	[96A7]	-	-	-	804	10	AsMw	M0 V
3117	Htoirlawyeo	D743553-8	Ni Po Tz	{ -3 }	(C40+1)	[928A]	-	R	-	405	14	AsTv	M3 V
3118	Taiktaye	D200855-8	Na Ph Pi Va Sa	{ -2 }	(875+2)	[8647]	-	R	-	303	11	AsMw	G8 V G8 V
3120	Ktuiktiys	B9A6576-B	Fl Ni Tz	{ 2 }	(A44+1)	[3748]	-	RT	-	304	10	AsSc	M2 V
3211	Htouiheiftya	D588559-8	Ag Ni Pr	{ -2 }	(C40-1)	[536A]	-	R	-	313	15	AsTv	G4 V K2 V
3212	Teiryol	C767785-8	Ag Ga Ri	{ 1 }	(C68+1)	[9858]	-	-	-	614	10	AsWc	K9 V
3214	Ureikheilr	D845A85-A	Hi In	{ 2 }	(H9B+4)	[DC58]	-	R	-	514	15	AsVc	K4 V
3215	Kuiauekeah	D982694-6	Ni Ri	{ -2 }	(852-2)	[341B]	-	-	-	504	11	AsWc	M2 V M3 V
