Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar
0103	Auuilaohu	C66997A-B	Hi Pr	{ 2 }	(B89+1)	[9B7C]	-	-	-	832	8	AsSc	G7 V
0108	Yaoii	E684899-6	Pa Ph Ri Sa	{ -1 }	(C7A-4)	[798A]	-	-	-	424	15	AsMw	G9 V M2 V
0204	Koitei	C654165-9	Lo Sa O:0305	{ -1 }	(700+4)	[1186]	-	-	-	301	5	AsVc	K3 V K9 V
0205	Eaktaihyo	E877348-4	Lo	{ -3 }	(520+3)	[3162]	-	-	-	203	13	AsWc	G6 V
0206	Hkaorlakhteifaul	C20064B-A	Na Ni Va	{ 0 }	(C54+4)	[1679]	-	R	-	603	11	AsVc	G7 V
0207	I'eisois	C55757A-9	Ag Ni Sa	{ 0 }	(B45-3)	[2628]	-	-	-	602	10	AsSc	G4 V M4 V
0208	Khtasi	A987877-C	Pa Ph Ri	{ 4 }	(979-3)	[7B4D]	-	RT	-	801	7	AsSc	G0 V K2 V
0301	Oleihwo	C587698-8	Ag Ni Ri	{ 0 }	(854-1)	[286C]	-	R	-	823	18	AsMw	K6 V M4 V
0304	Eakha	B874854-B	Pa Ph Pi	{ 2 }	(876-1)	[AA5G]	-	R	-	422	8	AsMw	K8 V
0305	Uhah	CAA8959-C	Fl Hi In	{ 3 }	(C8E-1)	[BC6F]	-	R	-	532	13	AsTv	G0 V
0401	Fitaa	X5105A6-7	Ni Fo	{ -3 }	(840-4)	[6266]	-	-	R	831	7	AsT1	K0 V
0402	Siywahakh	C87A676-7	Ni Wa Co	{ -2 }	(951-3)	[8465]	-	R	-	711	8	AsSc	G1 V M0 V
0501	Hyaou	D88A368-9	Lo Wa O:0103	{ -2 }	(B20+1)	[523D]	-	-	-	102	15	AsSc	G9 V M9 V
0503	Aiui	B76A149-9	Lo Wa	{ 0 }	(B00+3)	[112B]	-	R	-	202	11	AsVc	F1 V
0504	We'ilaoh	B4A8596-9	Fl Ni	{ 0 }	(945+4)	[3549]	-	R	-	123	13	AsTv	G1 V
0505	Ou'eal	A400119-D	Lo Va Co Tz	{ 1 }	(E01+1)	[121A]	-	T	-	122	11	AsT0	M5 V
0508	Ailrehohekh	A3A2785-E	Fl He	{ 2 }	(C67-5)	[793F]	-	T	-	402	8	AsTv	G2 V
