Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Gash	A	0110	Saasaame	C150787-5	S	De Po		400	VDrN	M9 V	{ -1 }	(864-1)	[6667]		5	-192
Gash	E	0113	Lamunke	D677510-2		Ag Ni		903	VDrN	K8 III	{ -2 }	(943-3)	[6371]		10	-324
Gash	E	0115	Ligikagin	C785200-9	S	Lo Ga		622	NaHu	M3 V	{ -1 }	(A10+1)	[119B]		9	10
Gash	E	0116	Mumbiinur	C201623-9	S	Ic Na Ni Va		502	NaHu	M5 V	{ -1 }	(855+3)	[659C]		10	600
Gash	E	0118	Irgilakhii	B787AAB-A	N	Hi Ga		503	3EoG	K2 V	{ 3 }	(E9D-1)	[DD19]		9	-1638
Gash	E	0119	Shupikasii	C584766-3		Ag Ri O:0118		500	3EoG	F4 V K4 V	{ 1 }	(668+1)	[2871]		11	288
Gash	E	0120	Uderakhii	B100843-C		Na Va Ph Pi		704	3EoG	M1 V M9 V	{ 2 }	(C7A+1)	[8A3C]		14	840
Gash	I	0121	Khikhakam	D565972-8	S	Hi Pr		703	3EoG	G4 V	{ -1 }	(B88-4)	[7815]		11	-2816
Gash	I	0122	Liizakum	D342001-5		He Po Di		002	3EoG	M8 V	{ -3 }	(700+3)	[0000]		8	21
Gash	I	0123	Amlizigar	B7859A8-C	N	Hi Ga Pr		204	3EoG	K2 V M4 V	{ 3 }	(F8E+1)	[7C7D]		7	1680
Gash	I	0124	Gisu	A432533-C	N	Ni Po		314	3EoG	G6 V	{ 1 }	(A46-3)	[7619]		14	-720
Gash	I	0129	Ipardiri	D11066A-8	S	Na Ni Mr		715	3EoG	F9 V	{ -3 }	(D52+1)	[B346]		14	130
Gash	M	0131	Uudikaas	B6A4204-A	S	Fl Lo		703	3EoG	K0 V	{ 1 }	(711-3)	[139A]		16	-21
Gash	M	0132	Kargaru	X648757-0		Ag Pi		400	3EoG	K0 V K0 V K4 V	{ -1 }	(966-1)	[B681]		13	-324
Gash	M	0133	Giishzi	C100665-8		Na Ni Va Mr		213	3EoG	M2 V M3 V	{ -2 }	(E50+3)	[4415]		9	210
Gash	M	0134	Rikhizi	X756846-0		Ga Pa Ph		800	3EoG	M0 V M9 V M3 V	{ -2 }	(A74+2)	[C661]		8	560
Gash	M	0136	Kulerekha	B698768-8	N	Ag Pi O:0240		700	3EoG	G7 V	{ 1 }	(666-2)	[984C]		5	-432
Gash	A	0201	Irbirarmame	C877202-5	S	Lo		920	NaHu	G3 V K4 V	{ -2 }	(A10+1)	[1152]		5	10
Gash	A	0206	Isurgaa	B110A76-C		Hi In Na		400	NaHu	K0 V	{ 4 }	(99A-2)	[BE38]		9	-1620
Gash	A	0207	Mukukuge	E666550-4		Ag Ni Ga Pr		314	NaHu	M6 V	{ -2 }	(741-2)	[1359]		10	-56
Gash	A	0208	Galirduri	A454442-B		Ni Pa		624	NaHu	M9 V	{ 1 }	(G36-3)	[453D]		15	-864
Gash	E	0211	Ikaarmaa	X84759A-2		Ag Ni		404	VDrN	M8 V	{ -2 }	(540-4)	[4363]		9	-80
Gash	E	0212	Igiluumune	E436463-8		Ni O:0512		125	VDrN	M0 V	{ -3 }	(B31-4)	[311B]		18	-132
Gash	E	0213	Kamkhiir	B9A2301-B		Fl He Lo		610	VDrN	K8 V	{ 1 }	(921+2)	[247A]		8	36
Gash	E	0218	Shamushu	B697620-7	S	Ag Ni		124	3EoG	G4 V K4 V D	{ 0 }	(B51-3)	[9647]		15	-165
Gash	E	0219	Uguurge	C66A654-7	S	Ni Ri Wa		302	3EoG	M0 V M6 V	{ -1 }	(554-3)	[659B]		5	-300
Gash	E	0220	Gami	C66A57B-8	S	Ni Wa Pr		720	3EoG	M6 V	{ -2 }	(A41-2)	[4359]		9	-80
Gash	I	0221	Lagudishur	C2616AB-6		Ni Ri		203	3EoG	M7 V	{ -1 }	(B54-2)	[3563]		12	-440
Gash	I	0222	Iisilish	B564787-7		Ag Ri		211	3EoG	M8 V	{ 2 }	(B67-1)	[7965]		11	-462
Gash	I	0223	Mikhu	D350831-5	S	De Po Ph		904	3EoG	F8 V	{ -2 }	(778-1)	[C665]		14	-392
Gash	I	0225	Ekkhi	A86A98D-8		Hi Wa Pr		904	3EoG	K1 V	{ 1 }	(B88+1)	[BA56]		11	704
Gash	M	0231	Linadkadun	B331559-B	NS	Ni Po		404	3EoG	F5 V	{ 2 }	(848+2)	[876B]		17	512
Gash	M	0233	Iirdikiik	C456455-A	S	Ni Pa		200	3EoG	M4 V	{ 0 }	(236+2)	[144A]		6	72
Gash	M	0234	Ganidinriir	BA8A513-C	N	Ni Oc Pr		704	3EoG	M4 V	{ 1 }	(845+2)	[467A]		13	320
Gash	M	0235	Irzi	B886432-8	S	Ni Ga Pa		600	3EoG	A0 V	{ -1 }	(533+1)	[3376]		11	45
Gash	M	0240	Khakhampu	A4248A9-9		Ph Pi		600	3EoG	M2 II	{ 1 }	(574+2)	[495B]		13	280
Gash	A	0301	Iigii	B611676-A	S	Ic Na Ni		603	NaHu	G4 V M8 V	{ 1 }	(752+3)	[673F]		11	210
Gash	A	0304	Mulukhedmi	B444103-8	S	Lo		112	NaHu	M1 V	{ -1 }	(D00-1)	[111B]		9	-13
Gash	A	0310	Aran	D492576-8		He Ni		502	VDrN	G6 V	{ -3 }	(740+4)	[6296]		7	112
Gash	E	0315	Inenam	C435103-C		Lo		400	VDrN	M0 V M7 V	{ 0 }	(200-1)	[1149]		5	-2
Gash	E	0317	Emuum	E7495A7-6		Ni		802	3EoG	K9 V M3 V	{ -3 }	(743-1)	[1237]		9	-84
Gash	E	0319	Nishisha	C675322-8		Lo		902	3EoG	K4 V M9 V M7 V	{ -2 }	(A20-2)	[2159]		12	-40
Gash	E	0320	Ushar	A471625-C		He Ni		802	3EoG	M3 V BD	{ 1 }	(557-1)	[971H]		11	-175
Gash	I	0321	Akur	C978621-8	S	Ag Ni		313	3EoG	F7 IV	{ -1 }	(E53+4)	[5559]		11	840
Gash	I	0322	Ilar	B4257AE-A	S	Pi		925	3EoG	K7 V	{ 2 }	(C6A-3)	[6945]		15	-2160
Gash	I	0323	Shigakdarur	E688340-5		Lo		703	3EoG	F1 V K6 V	{ -3 }	(820+3)	[1158]		8	48
Gash	I	0324	Kaasham	C320669-5		De He Na Ni Po O:0424		110	3EoG	K0 III	{ -2 }	(550-4)	[6412]		9	-100
Gash	I	0326	Uugkakapalu	B66458B-6		Ag Ni Pr		203	3EoG	K3 V	{ 0 }	(744+1)	[9529]		11	112
Gash	M	0331	Manige	C300411-B	S	Ni Va		503	3EoG	G3 IV	{ 0 }	(B31-3)	[14AB]		12	-99
Gash	M	0332	Kuskakhigan	C624752-7	S	Pi		420	3EoG	G7 V	{ -1 }	(A67-3)	[2674]		13	-1260
Gash	M	0335	Shiismur	X253685-0		Ni Po		724	3EoG	M7 V	{ -3 }	(750+2)	[6351]		15	70
Gash	M	0336	Kikhiishad	C301212-7		Ic Lo Va		210	3EoG	A6 V D	{ -2 }	(410-2)	[5118]		9	-8
Gash	A	0405	Nuge	C625330-8		Lo		615	NaHu	M9 V	{ -2 }	(820+1)	[4118]		14	16
Gash	A	0406	Urduduk	A575533-A	S	Ag Ni		213	NaHu	K4 IV	{ 2 }	(844-4)	[378D]		9	-512
Gash	A	0407	Imkarga	X6A1352-1		Fl He Lo		602	NaHu	M4 V BD	{ -3 }	(520+1)	[5183]		9	10
Gash	E	0411	Kigigiika	E336476-8		Ni		403	VDrN	M8 V	{ -3 }	(931+1)	[1126]		13	27
Gash	E	0412	Dakhari	B665546-6	NS	Ag Ni Ga Pr		220	VDrN	G9 V	{ 1 }	(544+1)	[4618]		14	80
Gash	E	0413	Shigarasida	X99468A-0		Ag Ni		800	VDrN	K4 V	{ -2 }	(654+2)	[4481]		11	240
Gash	E	0419	Ibamumenara	C4409C9-7	S	De He Hi In Po		502	3EoG	M5 V	{ 1 }	(A8B-1)	[6A63]		8	-880
Gash	I	0421	Aala	E4419B8-8		He Hi In Po		203	VYoe	K0 IV M2 V	{ 0 }	(984+3)	[B99B]		10	864
Gash	I	0422	Umimasiir	D210838-5		Na Ph Pi		504	VYoe	M7 V	{ -2 }	(974-1)	[6659]		10	-252
Gash	I	0424	Kikusharde	B688874-A	N	Ri Pa Ph		414	3EoG	F3 V	{ 3 }	(C77+1)	[8B6B]		13	588
Gash	I	0426	Kadalikhi	D656514-4	S	Ag Ni Ga		923	3EoG	M7 V	{ -2 }	(944+1)	[6392]		18	144
Gash	I	0427	Ladi	C684689-7		Ag Ni Ri		702	3EoG	G7 V G8 V	{ 0 }	(A54-1)	[5613]		6	-200
Gash	I	0429	Irkigika	C311765-5		Ic Na Pi Mr		224	3EoG	M7 V	{ -1 }	(363-3)	[3646]		13	-162
Gash	M	0433	Mushdaaduri	E426100-6		Lo		413	3EoG	M7 III	{ -3 }	(B00+1)	[1152]		15	11
Gash	M	0435	Imad	C473444-A	S	Ni		703	3EoG	M2 V	{ 0 }	(A32-1)	[244B]		13	-60
Gash	M	0436	Ikun	A76A462-A	N	Ni Wa O:0736		313	3EoG	K9 V	{ 1 }	(C37+1)	[8569]		9	252
Gash	M	0437	Lenlashirsu	E563734-2		Ri		220	3EoG	M3 V M7 V	{ -1 }	(868+1)	[2663]		8	384
Gash	M	0439	Kakukardi	B756211-8	NS	Lo Ga		905	3EoG	A4 V	{ 0 }	(C10-1)	[2219]		12	-12
Gash	M	0440	Eshadi	C866000-6	S	Ga Di		023	3EoG	M5 V	{ -2 }	(800+3)	[0000]		15	24
Gash	A	0504	Niikhurimi	B272A86-B		Hi In		800	NaHu	K1 V	{ 4 }	(69A+1)	[9E8C]		8	540
Gash	A	0505	Kemikamer	B234847-C		Ph		711	NaHu	G6 V M9 V	{ 2 }	(477-2)	[5A2B]		11	-392
Gash	A	0507	Lilarushi	X651452-1		Ni Po		704	NaHu	M7 V	{ -3 }	(A33+1)	[8153]		12	90
