Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W
0102	Maiden	XAD7000-0		Ba		034	NaHu	K1 V M4 V	{ -3 }	(500-5)	[0000]		14
0103	Flotsam Station	D561112-6		Lo		524	NaHu	G2 V G0 IV	{ -3 }	(700+3)	[1147]		15
0127	Kagragha	C89A3QK-B	K	Wa Lo		534	Kk	G8 V	{ 0 }	(D20+1)	[236F]		17
0128	Ookraua	C6539RK-D		Hi Po		324	Kk	M3 V BD	{ 2 }	(G89+1)	[8B4E]		16
0129	Reeaxkkrukkta	D300000-0		Va Ba		000	Kk	K2 V	{ -3 }	(700+1)	[0000]		9
0131		B6145QK-C	K	Ic Ni		223	Kk	M7 V	{ 1 }	(B47-2)	[661B]		13
0132		A7786RK-F		Ni Ag		515	Kk	M2 V M8 V M1 V	{ 2 }	(E53+3)	[688J]		15
0134		E110000-0		Ba		025	Kk	M5 V BD	{ -3 }	(A00+2)	[0000]		15
0135		D6344QK-A	K	Ni		813	Kk	M1 V	{ -1 }	(930-2)	[634D]		13
0136		A0004QK-F	K	As Va Ni		210	Kk	M9 V	{ 1 }	(735+3)	[459F]		10
0139	Anrakeenee	C5346RK-D	K	Ni		304	Kk	M3 V M8 V	{ 0 }	(D51+3)	[568G]		14
0140		A3103QK-E		Lo		123	Kk	G0 V	{ 1 }	(A21-2)	[741G]		14
0201	Twaroy	B776737-6		Ag Pi (Twaro)		225	NaHu	A9 V	{ 1 }	(969-2)	[7845]		18
0203	Nouf	D673440-0		Ni		300	NaVa	G2 V	{ -3 }	(731+4)	[6145]		7
0214		E53325A-3		Lo Po	A	725	NaHu	G1 V	{ -3 }	(310+1)	[31A4]		14
0222	Eer Kikare	E401000-0		Ic Va Ba	A	003	NaHu	K2 V M4 V	{ -3 }	(800+3)	[0000]		13
0227	Iorrikru	D5746RK-A	K	Ni Ag		824	Kk	K2 V	{ 0 }	(C53+3)	[4698]		13
0228	Traraooa	D300000-0		Va Ba		001	Kk	M0 V	{ -3 }	(400+3)	[0000]		4
0230	Rakaeexkak	C6794QK-A	K	Ni		503	Kk	M8 V	{ 0 }	(933-1)	[4497]		6
0231		B5366RK-D	K	Ni		524	Kk	M9 V	{ 1 }	(D55+1)	[575F]		17
0232		B7678RK-F		Ga Ph Pa Ri		421	Kk	F9 V G2 V	{ 3 }	(87A+1)	[8B9C]		11
0234		A9796RK-F	K	Ni		103	Kk	G9 V	{ 1 }	(B54+1)	[774D]		11
0238		B9B44QK-C		Fl Ni		524	Kk	K7 V	{ 1 }	(E33+3)	[2578]		17
0240		B7937RK-E	K	Pi		820	Kk	K6 V	{ 2 }	(96C+3)	[59AD]		10
0302	Fargh	D240555-8		De Ni Po		123	NaVa	K6 V	{ -3 }	(D43+2)	[5274]		16
0303	Skun	E553112-6		Lo Po		624	NaVa	G5 V	{ -3 }	(C00-3)	[1177]		11
0324	Aennudh	E38065A-7		De Ni Ri		502	NaVa	M5 V M8 V	{ -2 }	(652+2)	[6428]		9
0329	Naeerau	B7A04QK-D		He Ni		412	Kk	M2 V M3 V M4 V	{ 1 }	(932-4)	[651C]		10
0331		C8659RK-E	K	Ga Hi Pr		602	Kk	M8 V	{ 2 }	(78A+1)	[6B1E]		10
0333		C5676RK-D		Ni Ag Ri		101	Kk	M5 V	{ 2 }	(758+2)	[385C]		9
0335		E400000-0	K	Va Ba		023	Kk	K7 V M1 V	{ -3 }	(800+4)	[0000]		15
0338		C4345QK-B	K	Ni		712	Kk	M5 V	{ 0 }	(845-3)	[954B]		11
0339		A6476RK-F		Ni Ag		100	Kk	M7 V	{ 2 }	(955-3)	[889H]		10
0340		D7A35QK-A		Fl Ni		401	Kk	G0 V	{ -1 }	(740+1)	[745B]		12
0401	Clelannus	A789686-B		Ni Ri		325	NaHu	K5 V	{ 2 }	(A58-3)	[381E]		16
0402	Avink	D553455-6		Ni Po		423	NaVa	K1 III M8 V	{ -3 }	(730-1)	[4156]		10
0410	Tugagh	E5A0000-0		He Ba		021	NaHu	M2 V	{ -3 }	(500-2)	[0000]		12
0423	Chandesti	E657300-5		Ga Lo		324	NaHu	M0 III M7 V	{ -3 }	(920+3)	[6167]		17
0426	Ubkurrrui	B87A457-B	K	Wa Ni Giru6 Ciru4		100	Kk	G4 V	{ 1 }	(736-1)	[157B]		4
0427	Ghootkarr	A556ARK-F		Hi		114	Kk	M5 V M3 V	{ 3 }	(996+1)	[8DAC]		12
0430	Eeiik Nu	E000000-0	K	As Va Ba		002	Kk	G7 V	{ -3 }	(B00-5)	[0000]		6
0431		C9D14QK-A	K	Ni		211	Kk	K0 V M6 V	{ 0 }	(734+3)	[745A]		11
0433		D9A44QK-B	K	Fl Ni		620	Kk	M3 V BD	{ -1 }	(D33+4)	[432D]		12
0435		B84A4QK-E		Wa Ni		200	Kk	M6 V M8 V M4 V	{ 1 }	(B36-2)	[158E]		10
0438		E200000-0		Va Ba		023	Kk	G5 V	{ -3 }	(A00+2)	[0000]		12
0439		B4724QK-D	K	He Ni		613	Kk	A6 V	{ 1 }	(C35+5)	[354A]		12
0440		E400000-0	K	Va Ba		024	Kk	G1 V	{ -3 }	(900+3)	[0000]		16
0521	L'thon	EA8A487-8		Oc Ni		810	NaHu	K7 V M3 V	{ -3 }	(830+1)	[415B]		11
0527	Argi Natan	B5678RK-E	K	Ph Pa Ri		103	Kk	G9 V	{ 3 }	(77D+1)	[6B5D]		12
0529	Kapueragh	C6686RK-C	K	Ni Ag Ri		202	Kk	F1 III	{ 2 }	(854+1)	[286C]		13
0532		A8367RK-F	K			122	Kk	M4 V M3 V	{ 2 }	(A69+1)	[996D]		10
0534		A5888RK-F		Ph Pa Ri		701	Kk	K3 V M5 V	{ 3 }	(77C+5)	[7B6J]		9
0535		A5315QK-E	K	Ni Po		224	Kk	M5 V BD	{ 1 }	(E45+1)	[862D]		15
0537		B8937RK-E		Pi		412	Kk	M1 V	{ 2 }	(966-3)	[492J]		8
0538		A5448RK-D		Ph Pa Pi		312	Kk	K5 V	{ 2 }	(978-1)	[BA6H]		12
0539		E310000-0	K	Ba		024	Kk	M9 V	{ -3 }	(A00-1)	[0000]		16
0540		A76A6RK-E	K	Wa Ni Ri		323	Kk	G3 V	{ 2 }	(C55+1)	[789G]		14
0618		E577110-1		Lo	A	123	NaHu	M2 V M5 V	{ -3 }	(800+1)	[2111]		10
0621	Egrux	D574746-5		Ag Pi (Nan-E-Grux)	A	214	Kc	F9 V	{ -1 }	(76B-2)	[A637]		14
0623	Casir	E583775-4		Ri		624	NaHu	M6 V BD	{ -1 }	(467+1)	[4638]		12
0631		C4518RK-C		Ph Po		315	Kk	M4 V M5 V BD	{ 1 }	(D7B+4)	[5919]		14
0632		A6985QK-D		Ni Ag		704	Kk	M4 V	{ 2 }	(846+1)	[575H]		10
0633		E210000-0	K	Ba		003	Kk	K7 V M8 V	{ -3 }	(600-1)	[0000]		10
0634		C5935QK-C		Ni		214	Kk	G2 V	{ 0 }	(B42+1)	[257F]		15
0635		B210557-C	K	Ni Giru6 Ciru4		524	Kk	M3 V M9 V M3 V M3 V	{ 1 }	(A47-4)	[763B]		12
0636		C8975QK-B		Ni Ag		312	Kk	A8 V K4 V	{ 1 }	(743+4)	[562F]		9
0638		C5456RK-D	K	Ni Ag		112	Kk	G3 V M3 V G2 V K1 V	{ 1 }	(854+2)	[471D]		16
0723	Animus	E410300-7		Lo		423	NaHu	K8 V	{ -3 }	(420+2)	[8188]		16
0730	Niurkruta	B5274QK-D	K	Ni		601	Kk	M5 V	{ 1 }	(733-3)	[55AF]		10
0731		B7736RK-F	K	Ni		120	Kk	K3 IV M6 V	{ 1 }	(A55+2)	[776E]		10
0732		C5454QK-B		Ni Pa		803	Kk	M6 V M1 V	{ 0 }	(935+1)	[649F]		13
0733		E100000-0	K	Va Ba		004	Kk	K3 V	{ -3 }	(900+1)	[0000]		9
0735		A7976RK-E	K	Ni Ag		422	Kk	A5 V K3 V	{ 2 }	(B53-1)	[889G]		13
0737		B5795QK-D		Ni		704	Kk	G4 V	{ 1 }	(B47-1)	[769B]		11
0740		C6859RK-F	K	Ga Hi Pr		400	Kk	M2 V M3 V	{ 2 }	(985+3)	[9B8E]		6
0809	Blue Lung	E6A1000-0		Fl He Ba		035	NaHu	M5 V	{ -3 }	(900-2)	[0000]		15
0828	Ana Rabrar	A686ARK-F	K	Ga Hi		714	Kk	G3 V	{ 3 }	(F98+2)	[9D4B]		15
0830	K'rkaknaurr	E8C4000-0		Fl Ba		003	Kk	G4 V	{ -3 }	(700+2)	[0000]		13
0833		A5486RK-E	K	Ni Ag		215	Kk	K6 V	{ 2 }	(857-1)	[684G]		19
0834		B5475QK-D		Ni Ag		610	Kk	K0 V M1 V M4 V M2 V	{ 2 }	(B47+3)	[476G]		6
0836		A88A6RK-F		Wa Ni Ri		114	Kk	M1 V	{ 2 }	(755+1)	[884F]		10
0906	Reliquary	D21057A-9		Ni		313	NaHu	M6 V	{ -2 }	(944+1)	[138A]		9
0921	Reghe	E459665-3		Ni O:1023		503	NaHu	M8 V	{ -3 }	(A50+1)	[5331]		15
0928	Akkr!'karun	A5416RK-E	K	He Ni Po		324	Kk	M2 V	{ 1 }	(B52-2)	[571A]		15
0929	Reerhkaauui	A5727RK-F		He Pi		312	Kk	K7 V	{ 2 }	(768-4)	[598E]		15
0930	Laikakro	B6466RK-E	K	Ni Ag		423	Kk	G6 V	{ 2 }	(C56+1)	[483G]		13
0931		E510000-0	K	Ba		003	Kk	M9 V	{ -3 }	(600+2)	[0000]		11
0932		X7A4874-1		Fl Ph (Sonraki)	R	523	Kk	M0 V BD	{ -2 }	(275+1)	[B624]		17
0935		E3605QK-A		De Ni Pr		522	Kk	K1 V M5 V	{ -1 }	(C43+1)	[9458]		10
0937		B5062PK-B	K	Ic Va Lo		300	Kk	M4 V	{ 1 }	(311-3)	[234B]		9
0938		A7A45QK-D	K	Fl Ni		600	Kk	M4 V	{ 1 }	(847+1)	[867C]		9
0940		C4354QK-C		Ni		402	Kk	K6 V K6 V	{ 0 }	(B34+3)	[844C]		7
1023	Hulme	B534876-B		Ph		512	NaHu	M8 V	{ 2 }	(776+1)	[69AB]		11
1028	Gzeelakgaxu	B554ARK-E		Hi		102	Kk	M7 V	{ 3 }	(A99-2)	[7D6E]		13
1029	Keauuaat	C8966RK-D	K	Ni Ag		521	Kk	F3 V	{ 1 }	(954+2)	[375H]		9
