Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Heak	A	0208	Eailrayereal	E636866-A	R	Mr Ph		502	AsMw	M0 V	{  0 }	(773+1)	[984C]		10	147
Heak	A	0401	Kiyoirai	A955899-E	R	Pa Ph		221	AsVc	G6 V	{  2 }	(678-3)	[8A5C]		10	-1008
Heak	A	0407	Ilaw	C8A16B9-B	T	Fl He Ni		232	AsT5	M1 V	{  0 }	(B55-5)	[861C]		14	-1375
Heak	A	0409	Aeaaw	E303000-0		Ba Co Ic Va		024	AsXX	M2 V	{ -3 }	(600-5)	[0000]		18	-30
Heak	A	0610	Iiyhtakh	C79A97C-A	R	Fr Hi In Pz Wa	A	231	AsSc	K4 V M7 V	{  3 }	(D8C+2)	[8C6C]		10	2496
Heak	A	0706	Ieeiris	C336448-A		Ni		304	AsMw	A7 V	{  0 }	(A32+1)	[246A]		15	60
Heak	A	0801	Auouearlei	C222889-C		Na Ph Pi Po Sa		331	AsVc	M2 V	{  1 }	(B77+5)	[594C]		11	2695
Heak	A	0803	Liyeasaual	C695563-7	R	Ag Ni O:1002		403	AsMw	K2 V	{ -1 }	(541+2)	[546A]		9	40
Heak	B	1002	Waea	B539743-C				722	AsMw	M0 V	{  2 }	(A67+1)	[893E]		12	420
Heak	B	1008	Ieeil	B42168A-9		He Na Ni Po		210	AsT0	M0 V	{  0 }	(652+3)	[8639]		10	180
Heak	B	1010	Ikhuieasta	C798448-E		Ni Pa Rs		300	AsXX	K0 V	{  0 }	(333-3)	[14A9]		9	-81
Heak	B	1102	Hfeiftuieih	E99A688-A		Ni Wa		300	AsVc	K0 V	{ -1 }	(755+1)	[1549]		6	175
Heak	B	1104	Iywaoleh	E55A58B-7		Da Ni Wa	A	300	AsMw	K2 V	{ -3 }	(440+2)	[627A]		3	32
Heak	B	1106	Earer	BAD6985-B	R	Hi		533	AsWc	G6 V	{  3 }	(D8C-1)	[8C1A]		19	-1248
