Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Hfiy	A	0101	Nanplesluna	C658554-8		Ag Ni		202	NaAs	G6 V	{ -1 }	(     )	[    ]		5	
Hfiy	A	0105	Ayosoied	C000542-C		As Ni Va		310	NaAs	M0 V	{  0 }	(     )	[    ]		9	
Hfiy	A	0203	Tacoma	C443334-6		Lo Po		201	NaAs	K0 V	{ -2 }	(     )	[    ]		7	
Hfiy	A	0205	Ichar	E340220-4		De He Lo Po		411	NaAs	F1 V	{ -3 }	(     )	[    ]		10	
Hfiy	A	0207	Ifo	B8A26A9-9		Fl He Ni	R	100	NaAs	M1 V	{  0 }	(     )	[    ]		11	
Hfiy	A	0304	Rothe	C97A213-B		Lo Wa		402	NaAs	K2 V	{  0 }	(     )	[    ]		9	
Hfiy	A	0310	Sharauut	B100876-E		Na Ph Pi Va		602	NaAs	M1 V	{  2 }	(     )	[    ]		13	
Hfiy	A	0408	Varathe	C769400-C		Ni		110	NaAs	G2 V	{  0 }	(     )	[    ]		10	
Hfiy	A	0505	Oep	D657544-7		Ag Ga Ni		112	NaAs	G8 V	{ -2 }	(     )	[    ]		8	
Hfiy	A	0507	Pleycheo	A876689-A		Ag Ni		131	NaAs	G3 V	{  2 }	(     )	[    ]		10	
Hfiy	A	0508	Isachund	C687587-5		Ag Ga Ni Pr		803	NaAs	K7 V	{ -1 }	(     )	[    ]		15	
Hfiy	A	0606	Thounaa	B000635-9		As Na Ni Va		320	NaAs	M5 V	{  0 }	(     )	[    ]		12	
Hfiy	A	0609	Isdo	D455563-7		Ag Ni EtakW O:0712		102	NaXX	K5 V	{ -2 }	(     )	[    ]		11	
Hfiy	A	0701	Ibunglineck	D457222-7		Lo		101	NaAs	K3 V	{ -3 }	(     )	[    ]		10	
Hfiy	A	0703	Hedlid	D110500-9		Ni		801	NaAs	M1 V	{ -2 }	(     )	[    ]		11	
Hfiy	A	0709	Eten	A4348DJ-9		Ph		120	NaAs	M1 V	{  1 }	(     )	[    ]		10	
Hfiy	A	0710	Greposhandir	E341100-7		He Lo Po		211	NaAs	K3 V	{ -3 }	(     )	[    ]		12	
Hfiy	A	0801	Abe	A748687-B		Ag Ni		202	NaAs	G1 V	{  2 }	(     )	[    ]		14	
Hfiy	A	0804	Wechen	E9B2165-7		Fl He Lo O:1004		422	NaAs	M1 V	{ -3 }	(     )	[    ]		9	
Hfiy	A	0805	Saa	C220473-B		De Ni Po		501	NaAs	M2 V	{  0 }	(     )	[    ]		13	
Hfiy	A	0809	Ain	A440740-B		De Di He Pi Po		233	NaAs	F3 V	{  2 }	(     )	[    ]		16	
Hfiy	B	0901	154	C473202-6		Lo		503	NaAs	K9 V	{ -2 }	(     )	[    ]		15	
Hfiy	B	0905	Cindtra	D447200-A		Lo		202	NaAs	K4 V	{ -1 }	(     )	[    ]		6	
Hfiy	B	1003	Thithi	B689752-C		Ri		301	NaAs	K2 V	{  3 }	(     )	[    ]		5	
Hfiy	B	1004	Afroe	B683689-E		Ni Ri		311	NaAs	K8 V	{  2 }	(     )	[    ]		11	
Hfiy	B	1007	Sefet	D447321-A		Lo		220	NaAs	K7 V	{ -1 }	(     )	[    ]		14	
Hfiy	B	1110	Ehe	C764542-C		Ag Ni Pr		121	NaAs	G7 V	{  1 }	(     )	[    ]		11	
Hfiy	B	1202	Chene	A532646-E		Na Ni Po		701	NaAs	M5 V	{  1 }	(     )	[    ]		11	
Hfiy	B	1203	Ledadiipunea	C553444-9		Ni Po		212	NaAs	G9 V	{ -1 }	(     )	[    ]		7	
Hfiy	B	1204	Eethefe	E230000-0		Ba De Po		001	NaAs	M7 V	{ -3 }	(800-5)	[0000]		9	
Hfiy	B	1301	Roi	B786661-9		Ag Ga Mr Ni Ri Eide1		510	NaAs	K1 V	{  2 }	(     )	[    ]		7	
Hfiy	B	1306	Hraiu	B785576-A		Ag Ga Ni Pr		203	AsSc	K5 V	{  2 }	(     )	[    ]		9	
Hfiy	B	1404	Eafelrah	B88777A-E		Ag Ga Ri		501	AsSc	K3 V	{  4 }	(     )	[    ]		5	
Hfiy	B	1406	Tealorhtei	C200354-B		Lo Va		730	AsTv	M1 V	{  0 }	(     )	[    ]		9	
Hfiy	B	1408	Aieirei	D776444-7		Ni Pa		331	AsVc	G5 V	{ -3 }	(     )	[    ]		11	
Hfiy	B	1502	Rontbot	C695430-7		Ni Pa		601	NaAs	K0 V	{ -2 }	(     )	[    ]		9	
Hfiy	B	1503	Epepehild	AA6AABA-E		Hi Oc Sa		401	NaHu	G2 V	{  3 }	(59A-2)	[ED7F]		10	
Hfiy	B	1509	Teayu	A300894-C		Na Ph Pi Va		631	AsWc	M0 V	{  2 }	(     )	[    ]		17	
Hfiy	C	1702	Epi	C410000-0		Ba		031	NaAs	M4 V	{ -2 }	(500-5)	[0000]		14	
Hfiy	C	1705	Eafeikheal	C21147B-B		Ic Ni		310	AsSc	M3 V	{  0 }	(     )	[    ]		8	
Hfiy	C	1903	Kholao	C412343-E		Ic Lo		500	AsWc	M6 V	{  0 }	(     )	[    ]		6	
Hfiy	C	1904	Kaia	DAB2000-0		Ba He Fl		021	AsWc	M8 V	{ -3 }	(500-5)	[0000]		12	
Hfiy	C	1908	Eaftayeya	A522998-E		He Hi In Na Po Sa		901	AsT4	M5 V	{  4 }	(     )	[    ]		5	
Hfiy	C	2002	Chadthar	B000778-E		As Na Pi Va		131	NaAs	M3 V	{  2 }	(     )	[    ]		16	
Hfiy	C	2004	Foei	A867AA6-E		Ga Hi		601	AsTv	G3 V	{  3 }	(     )	[    ]		8	
Hfiy	C	2005	Tea'oi	C340000-0		Ba De He Po		001	AsXX	F5 V	{ -2 }	(900-5)	[0000]		11	
Hfiy	C	2006	Hroueye	C571465-C		He Ni Re	A	102	AsVc	K0 V	{  0 }	(     )	[    ]		9	
Hfiy	C	2010	Irealakh	D758000-7		Di		020	AsWc	G4 V	{ -3 }	(A00-5)	[0000]		8	
Hfiy	C	2103	Theyang	C524445-8		Ni		102	NaAs	M0 V	{ -2 }	(     )	[    ]		10	
Hfiy	C	2107	Kteieaiy	B99A622-B		Ni Wa		400	AsTv	K1 V	{  1 }	(     )	[    ]		11	
Hfiy	C	2109	Yafya'iy	C000A62-C		As Hi In Mr Na Va Eide2		111	AsTv	M4 V	{  3 }	(     )	[    ]		8	
Hfiy	C	2201	Ithendu	C7A7341-A		Fl Lo		311	NaAs	M5 V	{  0 }	(     )	[    ]		13	
