Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Irla	A	0101	Prarshon	C66889E-C		Pa Ph Ri		602	NaAs	K0 V	{  2 }	(     )	[    ]			0
Irla	A	0103	Keldiese	C447420-9		Ni Pa		600	NaAs	K0 V	{ -1 }	(     )	[    ]			0
Irla	A	0206	Thedutom	A645555-A		Ag Ni		620	NaAs	G5 V	{  2 }	(     )	[    ]			0
Irla	A	0207	Ewadatir	D000330-9		As Lo Va		420	NaAs	M0 V	{ -2 }	(     )	[    ]			0
Irla	A	0210	Siop	B686996-C		Ga Hi Pr		402	NaAs	K0 V	{  3 }	(     )	[    ]			0
Irla	A	0308	Lara	EAC4120-A		Fl Lo		323	NaAs	M0 V	{ -1 }	(     )	[    ]			0
Irla	A	0309	Oso	D200000-9		Di Va	R	032	NaAs	M0 V	{ -2 }	(800-5)	[0000]			-40
Irla	A	0310	Hotero	C536332-9		Lo		501	NaAs	M0 V	{ -1 }	(     )	[    ]			0
Irla	A	0406	Shestangald	D357533-B		Ag Ni		920	NaAs	K0 V	{  0 }	(     )	[    ]			0
Irla	A	0407	Aegh	C769574-8		Ni Pr		630	NaAs	G5 V	{ -2 }	(     )	[    ]			0
Irla	A	0409	Menos	C532100-9		Lo Po		201	NaAs	K0 V	{ -1 }	(     )	[    ]			0
Irla	A	0503	Deas	A785785-C		Ag Ga Ri (Etak'auhew)		600	Na	K0 V	{  4 }	(     )	[    ]		7	0
Irla	A	0507	Ermi	C8C3310-A		Fl Lo		201	NaAs	M7 V	{  0 }	(     )	[    ]			0
Irla	A	0601	Shitarewi	B696678-A		Ag Ni EtakW		430	Na	M7 V	{  2 }	(     )	[    ]		10	0
Irla	A	0609	Vesa	C5486AC-A		Ag Ni		921	NaAs	G5 V	{  1 }	(     )	[    ]			0
Irla	A	0610	Yerimat	C9A3342-A		Fl Lo		302	NaAs	M7 V	{  0 }	(     )	[    ]			0
Irla	A	0706	Oraen	C692850-9		He Ph Pi		423	NaHu	K0 V	{  0 }	(     )	[    ]			0
Irla	A	0801	Fobre	D786661-A		Ag Ga Ni Ri O:1002		333	NaAs	K0 V	{  1 }	(     )	[    ]			0
Irla	A	0807	Iwan	E337103-6		Lo		330	NaAs	M0 V	{ -3 }	(     )	[    ]			0
Irla	A	0810	Limo	C995488-A		Ni Pa		612	NaAs	G5 V	{  0 }	(     )	[    ]			0
Irla	B	0906	Keruin	DAD2102-5		Lo		300	NaAs	G5 V	{ -3 }	(     )	[    ]			0
Irla	B	1002	Yunofi	D86668A-C		Ag Ga Ni Ri		602	NaAs	G5 V	{  1 }	(     )	[    ]			0
Irla	B	1004	Oundoir	B66966A-B		Da Mr Ni Ri Etak6	A	501	NaAs	K0 V	{  2 }	(     )	[    ]		13	0
Irla	B	1005	Ouse	C346333-6		Lo		902	NaAs	K0 V	{ -2 }	(     )	[    ]			0
Irla	B	1007	Obis	X473000-2		Da Di	A	024	NaAs	K0 V	{ -3 }	(A00-5)	[0000]		16	-50
Irla	B	1008	Aoerah	C789A7A-9		Hi Etak6		420	AsSc	K0 V	{  1 }	(     )	[    ]			0
Irla	B	1009	Uauaha	A437574-A		Ni		112	AsSc	M7 V	{  1 }	(     )	[    ]			0
Irla	B	1105	Gamef	C777687-A		Ag Ni		800	NaAs	G5 V	{  1 }	(     )	[    ]			0
Irla	B	1106	Dothont	D695778-A		Ag Pi		733	NaAs	K0 V	{  1 }	(     )	[    ]			0
Irla	B	1107	Watir	C467763-9		Ag Ri O:1106		220	NaAs	K0 V	{  2 }	(     )	[    ]			0
Irla	B	1201	Yuto	A7756B9-C		Ag Ni		200	NaAs	G5 V	{  2 }	(     )	[    ]			0
Irla	B	1203	Ahather	B899520-9		Ni		101	NaAs	K0 V	{  0 }	(     )	[    ]			0
Irla	B	1205	Eren	C465511-B		Ag Ni Pr		412	NaAs	K0 V	{  1 }	(     )	[    ]			0
Irla	B	1206	Thetha	D788000-B		Di		004	NaAs	K0 V	{ -1 }	(C00-5)	[0000]			-60
Irla	B	1208	Aihsteaalr	C000225-6		As Lo Va		321	AsWc	M0 V	{ -2 }	(     )	[    ]			0
Irla	B	1209	Keasual	D310440-B		Ni		802	AsWc	M0 V	{ -1 }	(     )	[    ]			0
Irla	B	1301	Potvur	E774220-9		Lo		602	NaAs	K0 V M8 V	{ -2 }	(     )	[    ]			0
Irla	B	1303	Ouir	C883420-8		Ni		230	NaAs	K0 V	{ -2 }	(     )	[    ]			0
Irla	B	1306	Enfothecote	A7856AB-C		Ag Ga Ni Ri		412	NaAs	K0 V	{  3 }	(     )	[    ]			0
Irla	B	1310	Sewyes	A694988-D		Hi In		901	AsT8	K0 V	{  4 }	(     )	[    ]			0
Irla	B	1402	Eani	B471533-A		He Ni		730	NaAs	K0 V	{  1 }	(     )	[    ]			0
Irla	B	1403	Fanronsa	E510000-9		Di		002	NaAs	M0 V	{ -2 }	(A00-5)	[0000]		8	-50
Irla	B	1404	Ule	C300275-B		Lo Va		602	NaAs	M0 V	{  0 }	(     )	[    ]			0
Irla	B	1409	Ahyasarayeei	B7A3744-A		Fl		300	AsVc	M0 V	{  2 }	(     )	[    ]			0
Irla	B	1501	Dalde	E000536-6		As Ni Va		412	NaAs	M0 V	{ -3 }	(     )	[    ]			0
Irla	B	1505	Abopeif	D456000-4		Di		001	NaAs	K0 V	{ -3 }	(A00-5)	[0000]			-50
Irla	B	1506	Midnight	B987589-A		Ag Ni Pr		101	NaHu	K0 V M8 V	{  2 }	(     )	[    ]			0
Irla	B	1508	Aeteregoland	C210440-8		Ni		322	NaAs	M0 V	{ -2 }	(     )	[    ]			0
Irla	B	1509	Deocer	E647333-8		Lo		500	NaAs	G5 V	{ -3 }	(     )	[    ]			0
Irla	B	1602	Bedca	C849464-A		Ni Re		101	NaAs	G5 V	{  0 }	(     )	[    ]			0
Irla	B	1603	Thapeto	EA9A100-6		Lo Oc		100	NaAs	K0 V	{ -3 }	(     )	[    ]			0
Irla	B	1604	Aneshe	C000437-7		As Ni Va		710	NaAs	M0 V	{ -2 }	(     )	[    ]			0
Irla	B	1606	Ifoeldead	C634443-7		Ni		323	NaAs	M7 V	{ -2 }	(     )	[    ]			0
Irla	C	1704	Dundersewed	C462130-8		Lo		600	NaAs	K0 V	{ -2 }	(     )	[    ]			0
Irla	C	1707	Tivitou	D100453-6		Ni Va		412	NaAs	M0 V	{ -3 }	(     )	[    ]			0
Irla	C	1708	Voido	C646000-5		Di		001	NaAs	G5 V	{ -2 }	(A00-5)	[0000]		13	-50
Irla	C	1802	Cier	E77749D-A		Ni Pa		101	NaAs	G5 V	{ -1 }	(     )	[    ]			0
Irla	C	1806	Beoucer	C445544-A		Ag Ni		322	NaAs	K0 V	{  1 }	(     )	[    ]			0
Irla	C	1905	Endren	C354597-B		Ag Ni		500	NaAs	K0 V	{  1 }	(     )	[    ]			0
Irla	C	1906	Retwanee	A342798-9		He Pi Po		503	NaAs	K0 V	{  1 }	(     )	[    ]			0
