Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Iwah	A	0105	Etre'	B431783-C		Na Po		704	AsT2	M7 II	{ 2 }	(D6C-1)	[4929]		11	-936
Iwah	A	0106	Auoul	C537238-8		Lo		123	AsTv	A6 V M5 V	{ -2 }	(910-2)	[2158]		9	-18
Iwah	A	0107	Eirla'	EAB9AAC-C		Fl Hi In Pz	A	622	AsWc	K9 V M0 V	{ 2 }	(G9D+5)	[DC8F]		7	9360
Iwah	A	0109	Traiaie	B31048A-B		Ni		100	AsVc	K6 V	{ 1 }	(634+3)	[657D]		12	216
Iwah	E	0117	Ha'ukh	C657549-8		Ag Ni Ga		603	AsMw	M2 V	{ -1 }	(A43+1)	[6469]		9	120
Iwah	I	0124	Yewuahiwa	C9D6574-A		Ni		804	AsSc	K3 V M2 V	{ 0 }	(B44-2)	[3538]		14	-352
Iwah	M	0133	Kerawiyrl	X544358-5		Lo Fo	R	103	AsTv	G8 V	{ -3 }	(520-3)	[3155]		14	-30
Iwah	A	0210	Khyehyulol	C20098C-C		Hi In Na Va Pz	A	803	AsWc	M0 V	{ 3 }	(E8E+5)	[CC8F]		12	7840
Iwah	E	0212	Kah	C100254-8		Lo Va		824	AsWc	G4 V M1 V	{ -2 }	(A10-4)	[1136]		14	-40
Iwah	E	0217	Weeuiyu	E5367A5-7				810	AsVc	K2 V	{ -2 }	(966-4)	[5535]		12	-1296
Iwah	I	0221	Keaoaaorlyal	B98A389-A		Lo Wa		723	AsVc	G9 V	{ 1 }	(A21+2)	[446B]		12	40
Iwah	I	0222	Esiy	C859694-9		Ni		300	AsWc	K7 III M6 V	{ -1 }	(853-3)	[4537]		13	-360
Iwah	I	0226	Fyoe	A867314-D		Lo Ga		200	AsMw	M0 V	{ 1 }	(521-1)	[143B]		8	-10
Iwah	M	0232	Foiwaliri	A798547-D		Ag Ni		114	AsT1	M0 V	{ 2 }	(C46+2)	[575D]		11	576
Iwah	M	0237	Htaookh	A55769B-B		Ag Ni Da	A	403	AsT3	M0 II	{ 2 }	(B56+4)	[887D]		10	1320
Iwah	M	0238	Elosoirl	C557896-8		Pa Ph		103	AsVc	G1 V	{ -1 }	(D77-2)	[7747]		12	-1274
Iwah	A	0304	Eawaiuaa	A675366-D	R	Lo O:0105		300	AsT2	K9 V	{ 1 }	(521+1)	[244C]		8	10
Iwah	A	0305	Eisuiyl	A774437-D		Ni Pa		314	AsMw	F1 V	{ 1 }	(B34+1)	[455D]		15	132
Iwah	A	0307	Hiaoyoheah	C100886-A		Na Va Ph Pi		300	AsWc	M1 V	{ 1 }	(A7A+1)	[7949]		6	700
Iwah	E	0313	Ehlea	C87A977-B		Hi In Wa		903	AsSc	M3 V	{ 3 }	(E8E+3)	[9C5B]		12	4704
Iwah	I	0325	Touiytaiew	C310833-9		Na Ph Pi		605	AsTv	M0 V M2 V	{ 0 }	(F79-3)	[5826]		18	-2835
Iwah	I	0326	E'ealois	B548478-B		Ni Pa		714	AsSc	M2 V	{ 1 }	(B34+1)	[455B]		15	132
Iwah	I	0327	Aireahuyu	C89A249-7		Lo Wa		910	AsVc	M0 V M1 V	{ -2 }	(410-1)	[3168]		6	-4
Iwah	I	0328	Teaeawyulrao	X427165-7		Lo Fo O:0424	R	514	AsT3	M2 V M5 V	{ -3 }	(300-5)	[1135]		14	-15
Iwah	I	0330	Hkiyarliytea	B648878-A	T	Pa Ph Pi		803	AsSc	M1 V M2 V	{ 2 }	(D7B+2)	[8A5A]		10	2002
Iwah	M	0332	Ktetlauea	C8A3686-9		Fl Ni		400	AsVc	K6 II D	{ -1 }	(853-2)	[5548]		8	-240
Iwah	M	0333	Oahahlauaih	C787167-8		Lo Ga O:0330		410	AsSc	K3 V	{ -2 }	(400-2)	[1158]		6	-8
Iwah	M	0336	Toawaoyatal	C200246-A		Lo Va		500	AsWc	M1 V	{ 0 }	(410-1)	[1249]		8	-4
Iwah	M	0337	Eaiy	B621269-C		He Lo Po O:0237		512	AsT3	G5 V	{ 1 }	(711+2)	[336D]		9	14
Iwah	M	0338	Fiyhreae	C566686-7		Ag Ni Ri		421	AsT9	K4 V M8 V	{ 0 }	(854-1)	[5646]		6	-160
Iwah	M	0339	Eyuwailiyh	E7B616A-8		Fl Lo Da O:0237	A	200	AsT3	M2 V	{ -3 }	(300-1)	[317A]		7	-3
Iwah	A	0403	Eahahau	A559478-A		Ni		213	AsSc	K3 V	{ 1 }	(A34+1)	[455A]		14	120
Iwah	A	0407	Alrarl	A562438-D		Ni		104	AsMw	G1 V M5 V	{ 1 }	(A34+1)	[455D]		10	120
Iwah	A	0410	Kyukh	C100115-B		Lo Va		202	AsMw	M1 V M6 V	{ 0 }	(500-2)	[1139]		9	-10
Iwah	E	0413	Eye	C40047C-9		Ni Va		400	AsSc	K2 V M3 V	{ -1 }	(632+2)	[738C]		6	72
Iwah	E	0417	Khtaseaei	D200784-8		Na Va Pi		424	AsVc	M2 V M7 V M3 V	{ -2 }	(F66-4)	[5536]		19	-2160
Iwah	E	0420	Urlousas	E77A486-9		Ni Wa		824	AsWc	M2 V	{ -2 }	(C31-3)	[3248]		12	-108
Iwah	I	0424	Staten	B575A8D-E		Hi In Pz Huma8	A	434	AsTz	F0 V	{ 4 }	(K9G+5)	[EE9J]		14	13680
Iwah	I	0426	Monterey	C879889-9		Ph Pi Huma9		924	AsTz	M2 V M3 V	{ 0 }	(G79+1)	[986A]		17	1008
Iwah	I	0428	Waye	C69A48B-8		Ni Wa		704	AsT3	M2 V M6 V	{ -2 }	(A31+1)	[627A]		12	30
Iwah	I	0430	Sail	C300443-9		Ni Va		512	AsMw	M1 V M2 V	{ -1 }	(932-4)	[1326]		12	-216
Iwah	M	0431	Tlaarleaheas	BA97167-A		Lo O:0330		302	AsSc	G2 V M3 V	{ 1 }	(501+1)	[125A]		14	5
Iwah	M	0432	Eaeityeh	C574584-8		Ag Ni		114	AsVc	M2 V	{ -1 }	(C43-3)	[3436]		18	-432
Iwah	M	0434	Aeliywesaol	B595446-B	T	Ni Pa		112	AsTv	K0 IV	{ 1 }	(934+1)	[354A]		12	108
Iwah	M	0437	Ya	C556778-8		Ag		915	AsSc	F0 V M7 V	{ 0 }	(F68+1)	[7758]		11	720
Iwah	A	0501	Stouikhah	B310159-A	R	Lo		502	AsVc	K9 V	{ 1 }	(501+2)	[226B]		10	10
Iwah	A	0503	Khohauawouw	D99A772-8		Wa Pi		812	AsSc	M1 V	{ -2 }	(C66-5)	[3514]		8	-2160
Iwah	A	0505	Eehikh	X566610-1		Ag Ni Ri Fo ChirW	R	812	AsMw	M1 V	{ -1 }	(853-5)	[1511]		8	-600
Iwah	A	0507	Yetriaiktai	E666648-6		Ag Ni Ga Ri		700	AsTv	M1 V M3 V	{ -1 }	(853-1)	[6556]		3	-120
Iwah	A	0509	Roaeah	D431898-8		Na Po Ph		500	AsVc	M6 III M0 V	{ -2 }	(A76-2)	[8658]		8	-840
Iwah	E	0514	Eioeh	AAD5476-A		Ni		620	AsSc	M2 V	{ 1 }	(834+1)	[3549]		11	96
Iwah	E	0519	Lorearah	B7855A6-9		Ag Ni Ga Pr		403	AsVc	M1 V	{ 1 }	(A45+1)	[4648]		15	200
